Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,141,4,0,274,0.339759036145,1.0,43032.9999924,72.9999542236
2,5,67,4,0,348,0.161445783133,1.0,54342.0000076,82.9999446869
3,5,0,3,0,414,0.0,1.0,57254.999876,93.0001735687
4,5,29,3,0,385,0.0700483091787,1.0,46890.0001049,89.9999141693
5,5,353,1,2,61,0.852657004831,0.333333333333,43346.9998837,36.9999408722
6,5,76,3,0,338,0.183574879227,1.0,41113.9998436,81.0000896454
7,5,410,0,3,4,0.990338164251,0.0,38473.0000496,28.0001163483
8,5,355,1,2,59,0.857487922705,0.333333333333,27171.0000038,36.9999408722
9,5,237,2,1,177,0.572463768116,0.666666666667,37721.9998837,55.0000667572
10,5,310,2,1,104,0.748792270531,0.666666666667,31426.9998074,44.0001487732
1,8,141,4,0,274,0.339759036145,1.0,58037.9998684,105.000019073
2,8,67,4,0,348,0.161445783133,1.0,77457.9999447,123.000144958
3,8,0,3,0,414,0.0,1.0,82247.0002174,140.999794006
4,8,29,3,0,385,0.0700483091787,1.0,64481.9998741,134.999990463
5,8,353,1,2,61,0.852657004831,0.333333333333,58345.9999561,43.9999103546
6,8,76,3,0,338,0.183574879227,1.0,54398.0000019,118.999958038
7,8,410,0,3,4,0.990338164251,0.0,49644.0000534,27.9998779297
8,8,355,1,2,59,0.857487922705,0.333333333333,30117.000103,43.9999103546
9,8,237,2,1,177,0.572463768116,0.666666666667,48749.0000725,75.9999752045
10,8,310,2,1,104,0.748792270531,0.666666666667,37659.0001583,55.999994278
1,11,141,4,0,274,0.339759036145,1.0,73038.9997959,138.000011444
2,11,67,4,0,348,0.161445783133,1.0,101496.999979,167.999982834
3,11,0,3,0,414,0.0,1.0,108220.999956,191.999912262
4,11,29,3,0,385,0.0700483091787,1.0,82426.9998074,181.000232697
5,11,353,1,2,61,0.852657004831,0.333333333333,73934.0000153,52.0000457764
6,11,76,3,0,338,0.183574879227,1.0,68358.9999676,164.000034332
7,11,410,0,3,4,0.990338164251,0.0,61296.9999313,29.000043869
8,11,355,1,2,59,0.857487922705,0.333333333333,33226.0000706,50.999879837
9,11,237,2,1,177,0.572463768116,0.666666666667,59868.0000305,99.9999046326
10,11,310,2,1,104,0.748792270531,0.666666666667,44084.0001106,69.9999332428
1,14,141,4,0,274,0.339759036145,1.0,87864.000082,171.999931335
2,14,67,4,0,348,0.161445783133,1.0,123622.999907,209.000110626
3,14,0,3,0,414,0.0,1.0,132882.000208,241.999864578
4,14,29,3,0,385,0.0700483091787,1.0,100332.999945,225.999832153
5,14,353,1,2,61,0.852657004831,0.333333333333,88916.0001278,59.0000152588
6,14,76,3,0,338,0.183574879227,1.0,81490.0000095,201.999902725
7,14,410,0,3,4,0.990338164251,0.0,72631.000042,29.9999713898
8,14,355,1,2,59,0.857487922705,0.333333333333,36525.9997845,58.000087738
9,14,237,2,1,177,0.572463768116,0.666666666667,70744.0001965,118.000030518
10,14,310,2,1,104,0.748792270531,0.666666666667,50516.0000324,82.9999446869
1,17,141,4,0,274,0.339759036145,1.0,102492.999792,201.000213623
2,17,67,4,0,348,0.161445783133,1.0,146476.000071,246.999979019
3,17,0,3,0,414,0.0,1.0,157519.000053,289.000034332
4,17,29,3,0,385,0.0700483091787,1.0,117665.999889,272.000074387
5,17,353,1,2,61,0.852657004831,0.333333333333,103507.999897,65.9999847412
6,17,76,3,0,338,0.183574879227,1.0,94931.9999218,243.000030518
7,17,410,0,3,4,0.990338164251,0.0,84156.0001373,29.9999713898
8,17,355,1,2,59,0.857487922705,0.333333333333,39511.0001564,65.9999847412
9,17,237,2,1,177,0.572463768116,0.666666666667,81763.0000114,141.000032425
10,17,310,2,1,104,0.748792270531,0.666666666667,56589.9999142,94.0001010895
