Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,222,4,0,193,0.534939759036,1.0,142822.999954,59.9999427795
2,5,91,4,0,324,0.219277108434,1.0,175684.999943,80.0001621246
3,5,0,3,0,414,0.0,1.0,199007.000208,93.9998626709
4,5,80,3,0,334,0.193236714976,1.0,171332.000017,80.9998512268
5,5,362,1,2,52,0.874396135266,0.333333333333,139967.000008,36.0000133514
6,5,0,3,0,414,0.0,1.0,132381.000042,94.0001010895
7,5,409,0,3,5,0.987922705314,0.0,128381.999969,28.0001163483
8,5,0,3,0,414,0.0,1.0,108256.000042,94.0001010895
9,5,206,2,1,208,0.497584541063,0.666666666667,106716.00008,59.9999427795
10,5,298,2,1,116,0.719806763285,0.666666666667,97609.9998951,46.0000038147
1,8,222,4,0,193,0.534939759036,1.0,194546.999931,81.0000896454
2,8,91,4,0,324,0.219277108434,1.0,252644.000053,118.999958038
3,8,0,3,0,414,0.0,1.0,292683.000088,141.999959946
4,8,80,3,0,334,0.193236714976,1.0,243628.000021,118.999958038
5,8,362,1,2,52,0.874396135266,0.333333333333,189923.000097,43.9999103546
6,8,0,3,0,414,0.0,1.0,177072.000027,142.999887466
7,8,409,0,3,5,0.987922705314,0.0,170200.999975,29.000043869
8,8,0,3,0,414,0.0,1.0,135081.00009,143.999814987
9,8,206,2,1,208,0.497584541063,0.666666666667,132489.000082,83.9998722076
10,8,298,2,1,116,0.719806763285,0.666666666667,116789.999962,59.9999427795
1,11,222,4,0,193,0.534939759036,1.0,247569.000006,106.999874115
2,11,91,4,0,324,0.219277108434,1.0,329937.000036,154.99997139
3,11,0,3,0,414,0.0,1.0,397919.000149,200.999975204
4,11,80,3,0,334,0.193236714976,1.0,325611.000061,161.999940872
5,11,362,1,2,52,0.874396135266,0.333333333333,241776.000023,49.0000247955
6,11,0,3,0,414,0.0,1.0,222608.999968,194.000005722
7,11,409,0,3,5,0.987922705314,0.0,212288.000107,29.000043869
8,11,0,3,0,414,0.0,1.0,163043.99991,194.000005722
9,11,206,2,1,208,0.497584541063,0.666666666667,159022.000074,109.999895096
10,11,298,2,1,116,0.719806763285,0.666666666667,136871.999979,75.0000476837
1,14,222,4,0,193,0.534939759036,1.0,300021.000147,128.000020981
2,14,91,4,0,324,0.219277108434,1.0,407762.000084,195.999860764
3,14,0,3,0,414,0.0,1.0,483207.999945,243.999958038
4,14,80,3,0,334,0.193236714976,1.0,392365.999937,206.000089645
5,14,362,1,2,52,0.874396135266,0.333333333333,291868.000031,53.9999008179
6,14,0,3,0,414,0.0,1.0,267066.999912,241.000175476
7,14,409,0,3,5,0.987922705314,0.0,254509.000063,30.9998989105
8,14,0,3,0,414,0.0,1.0,189935.99987,242.000102997
9,14,206,2,1,208,0.497584541063,0.666666666667,184098.999977,140.000104904
10,14,298,2,1,116,0.719806763285,0.666666666667,155634.000063,88.0000591278
1,17,222,4,0,193,0.534939759036,1.0,351163.999796,151.000022888
2,17,91,4,0,324,0.219277108434,1.0,483022.000074,233.000040054
3,17,0,3,0,414,0.0,1.0,575230.000019,289.000034332
4,17,80,3,0,334,0.193236714976,1.0,465288.999796,240.000009537
5,17,362,1,2,52,0.874396135266,0.333333333333,341523.000002,60.9998703003
6,17,0,3,0,414,0.0,1.0,312164.000034,289.999961853
7,17,409,0,3,5,0.987922705314,0.0,296623.999834,31.0001373291
8,17,0,3,0,414,0.0,1.0,217628.000021,305.000066757
9,17,206,2,1,208,0.497584541063,0.666666666667,210679.000139,157.999992371
10,17,298,2,1,116,0.719806763285,0.666666666667,175168.99991,103.000164032
