Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,327,4,0,88,0.787951807229,1.0,41774.0001678,43.9999103546
2,5,351,3,1,64,0.84578313253,0.75,42203.0000687,39.999961853
3,5,326,2,1,88,0.787439613527,0.666666666667,42059.9999428,45.0000762939
4,5,327,2,1,87,0.789855072464,0.666666666667,41137.0000839,42.9999828339
5,5,321,3,0,93,0.775362318841,1.0,40888.0000114,45.0000762939
6,5,332,2,1,82,0.80193236715,0.666666666667,42185.9998703,42.9999828339
7,5,346,2,1,68,0.835748792271,0.666666666667,41967.9999352,40.0002002716
8,5,344,0,3,70,0.830917874396,0.0,40130.0001144,39.999961853
9,5,335,2,1,79,0.809178743961,0.666666666667,42279.9999714,42.0000553131
10,5,324,3,0,90,0.782608695652,1.0,41821.0000992,42.9999828339
1,8,327,4,0,88,0.787951807229,1.0,52772.0000744,55.999994278
2,8,351,3,1,64,0.84578313253,0.75,52664.0000343,49.0000247955
3,8,326,2,1,88,0.787439613527,0.666666666667,52430.0000668,54.0001392365
4,8,327,2,1,87,0.789855072464,0.666666666667,51697.9999542,54.0001392365
5,8,321,3,0,93,0.775362318841,1.0,50947.0000267,55.999994278
6,8,332,2,1,82,0.80193236715,0.666666666667,51884.9999905,52.9999732971
7,8,346,2,1,68,0.835748792271,0.666666666667,52549.9999523,41.0001277924
8,8,344,0,3,70,0.830917874396,0.0,49651.0000229,50.0001907349
9,8,335,2,1,79,0.809178743961,0.666666666667,53150.0000954,52.0000457764
10,8,324,3,0,90,0.782608695652,1.0,52046.0000038,55.0000667572
1,11,327,4,0,88,0.787951807229,1.0,63328.9999962,67.0001506805
2,11,351,3,1,64,0.84578313253,0.75,63324.0001202,56.9999217987
3,11,326,2,1,88,0.787439613527,0.666666666667,63099.9999046,65.9999847412
4,11,327,2,1,87,0.789855072464,0.666666666667,61719.0001011,66.999912262
5,11,321,3,0,93,0.775362318841,1.0,60815.0000572,67.9998397827
6,11,332,2,1,82,0.80193236715,0.666666666667,62342.9999352,64.0001296997
7,11,346,2,1,68,0.835748792271,0.666666666667,62826.0002136,57.9998493195
8,11,344,0,3,70,0.830917874396,0.0,58743.0000305,57.9998493195
9,11,335,2,1,79,0.809178743961,0.666666666667,63861.000061,63.9998912811
10,11,324,3,0,90,0.782608695652,1.0,62769.0000534,66.999912262
1,14,327,4,0,88,0.787951807229,1.0,73775.0000954,76.9999027252
2,14,351,3,1,64,0.84578313253,0.75,74145.9999084,65.9999847412
3,14,326,2,1,88,0.787439613527,0.666666666667,73703.0000687,92.0000076294
4,14,327,2,1,87,0.789855072464,0.666666666667,71612.000227,75.9999752045
5,14,321,3,0,93,0.775362318841,1.0,70784.0001583,80.9998512268
6,14,332,2,1,82,0.80193236715,0.666666666667,72855.0000191,75.9999752045
7,14,346,2,1,68,0.835748792271,0.666666666667,73348.9999771,65.9999847412
8,14,344,0,3,70,0.830917874396,0.0,68259.0000629,65.9999847412
9,14,335,2,1,79,0.809178743961,0.666666666667,74901.9999504,72.0000267029
10,14,324,3,0,90,0.782608695652,1.0,73555.0000668,78.9999961853
1,17,327,4,0,88,0.787951807229,1.0,84868.0000305,92.0000076294
2,17,351,3,1,64,0.84578313253,0.75,85063.9998913,74.000120163
3,17,326,2,1,88,0.787439613527,0.666666666667,84223.9999771,88.0000591278
4,17,327,2,1,87,0.789855072464,0.666666666667,81874.0000725,88.9999866486
5,17,321,3,0,93,0.775362318841,1.0,80848.9999771,92.0000076294
6,17,332,2,1,82,0.80193236715,0.666666666667,83213.0000591,85.9999656677
7,17,346,2,1,68,0.835748792271,0.666666666667,83881.9999695,75.0000476837
8,17,344,0,3,70,0.830917874396,0.0,77386.9998455,75.0000476837
9,17,335,2,1,79,0.809178743961,0.666666666667,85696.0000992,80.9998512268
10,17,324,3,0,90,0.782608695652,1.0,83922.9998589,90.0001525879
