Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,196,3,1,219,0.472289156627,0.75,16478.9998531,64.0001296997
2,5,99,4,0,316,0.238554216867,1.0,23230.9999466,76.9999027252
3,5,5,3,0,409,0.012077294686,1.0,25104.0000916,92.9999351501
4,5,62,3,0,352,0.149758454106,1.0,21312.9999638,83.9998722076
5,5,396,0,3,18,0.95652173913,0.0,20003.9999485,29.9999713898
6,5,79,3,0,335,0.190821256039,1.0,20292.9999828,81.0000896454
7,5,410,0,3,4,0.990338164251,0.0,17911.0000134,27.9998779297
8,5,366,1,2,48,0.884057971014,0.333333333333,13828.9999962,36.0000133514
9,5,250,2,1,164,0.6038647343,0.666666666667,16167.0000553,53.9999008179
10,5,308,2,1,106,0.743961352657,0.666666666667,14467.0000076,44.9998378754
1,8,196,3,1,219,0.472289156627,0.75,20986.9999886,88.9999866486
2,8,99,4,0,316,0.238554216867,1.0,32437.0000362,115.000009537
3,8,5,3,0,409,0.012077294686,1.0,36097.0001221,145.999908447
4,8,62,3,0,352,0.149758454106,1.0,29434.0000153,125.999927521
5,8,396,0,3,18,0.95652173913,0.0,27187.9999638,32.9999923706
6,8,79,3,0,335,0.190821256039,1.0,27575.9999752,118.999958038
7,8,410,0,3,4,0.990338164251,0.0,23650.9997845,28.0001163483
8,8,366,1,2,48,0.884057971014,0.333333333333,16442.9998398,41.0001277924
9,8,250,2,1,164,0.6038647343,0.666666666667,20647.0000744,72.9999542236
10,8,308,2,1,106,0.743961352657,0.666666666667,17608.9999676,56.9999217987
1,11,196,3,1,219,0.472289156627,0.75,25591.0000801,125.0
2,11,99,4,0,316,0.238554216867,1.0,41907.9999924,155.000209808
3,11,5,3,0,409,0.012077294686,1.0,47131.9999695,189.0001297
4,11,62,3,0,352,0.149758454106,1.0,37804.9998283,167.000055313
5,11,396,0,3,18,0.95652173913,0.0,34248.000145,35.0000858307
6,11,79,3,0,335,0.190821256039,1.0,34821.0000992,159.999847412
7,11,410,0,3,4,0.990338164251,0.0,29310.9998703,29.000043869
8,11,366,1,2,48,0.884057971014,0.333333333333,19097.0001221,46.9999313354
9,11,250,2,1,164,0.6038647343,0.666666666667,25054.9998283,95.0000286102
10,11,308,2,1,106,0.743961352657,0.666666666667,21027.9998779,70.0001716614
1,14,196,3,1,219,0.472289156627,0.75,30133.0001354,141.999959946
2,14,99,4,0,316,0.238554216867,1.0,51349.9999046,191.999912262
3,14,5,3,0,409,0.012077294686,1.0,57858.0000401,234.999895096
4,14,62,3,0,352,0.149758454106,1.0,45856.9998741,210.000038147
5,14,396,0,3,18,0.95652173913,0.0,41749.0000725,36.9999408722
6,14,79,3,0,335,0.190821256039,1.0,42216.0000801,198.999881744
7,14,410,0,3,4,0.990338164251,0.0,35526.0000229,29.000043869
8,14,366,1,2,48,0.884057971014,0.333333333333,21720.0000286,52.0000457764
9,14,250,2,1,164,0.6038647343,0.666666666667,29491.0001755,112.999916077
10,14,308,2,1,106,0.743961352657,0.666666666667,24040.9998894,83.0001831055
1,17,196,3,1,219,0.472289156627,0.75,35420.0000763,170.000076294
2,17,99,4,0,316,0.238554216867,1.0,61851.9999981,235.000133514
3,17,5,3,0,409,0.012077294686,1.0,70111.9999886,292.999982834
4,17,62,3,0,352,0.149758454106,1.0,54983.0000401,254.999876022
5,17,396,0,3,18,0.95652173913,0.0,49552.9999733,39.0000343323
6,17,79,3,0,335,0.190821256039,1.0,50526.9999504,241.000175476
7,17,410,0,3,4,0.990338164251,0.0,41179.0001392,30.9998989105
8,17,366,1,2,48,0.884057971014,0.333333333333,24819.9999332,59.0000152588
9,17,250,2,1,164,0.6038647343,0.666666666667,34437.0000362,138.000011444
10,17,308,2,1,106,0.743961352657,0.666666666667,27602.9999256,96.9998836517
