Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,308,4,0,107,0.742168674699,1.0,174383.000135,88.9999866486
2,5,327,4,0,88,0.787951807229,1.0,175963.000059,81.0000896454
3,5,315,2,1,99,0.760869565217,0.666666666667,166186.000109,86.9998931885
4,5,322,2,1,92,0.777777777778,0.666666666667,160142.999887,81.0000896454
5,5,314,2,1,100,0.75845410628,0.666666666667,169283.99992,92.0000076294
6,5,317,2,1,97,0.765700483092,0.666666666667,164095.000029,83.9998722076
7,5,331,2,1,83,0.799516908213,0.666666666667,170660.000086,77.999830246
8,5,339,0,3,75,0.81884057971,0.0,155685.000181,71.9997882843
9,5,324,2,1,90,0.782608695652,0.666666666667,168715.000153,81.9997787476
10,5,313,3,0,101,0.756038647343,1.0,171546.999931,88.9999866486
1,8,308,4,0,107,0.742168674699,1.0,257104.000092,121.000051498
2,8,327,4,0,88,0.787951807229,1.0,262671.999931,109.999895096
3,8,315,2,1,99,0.760869565217,0.666666666667,246593.999863,113.000154495
4,8,322,2,1,92,0.777777777778,0.666666666667,237449.999809,106.999874115
5,8,314,2,1,100,0.75845410628,0.666666666667,251513.000011,115.000009537
6,8,317,2,1,97,0.765700483092,0.666666666667,243794.000149,110.999822617
7,8,331,2,1,83,0.799516908213,0.666666666667,253765.000105,99.9999046326
8,8,339,0,3,75,0.81884057971,0.0,229542.000055,92.9999351501
9,8,324,2,1,90,0.782608695652,0.666666666667,252473.999977,108.000040054
10,8,313,3,0,101,0.756038647343,1.0,256199.999809,117.000102997
1,11,308,4,0,107,0.742168674699,1.0,351076.999903,173.000097275
2,11,327,4,0,88,0.787951807229,1.0,392911.999941,142.000198364
3,11,315,2,1,99,0.760869565217,0.666666666667,367319.000006,154.000043869
4,11,322,2,1,92,0.777777777778,0.666666666667,351513.999939,153.000116348
5,11,314,2,1,100,0.75845410628,0.666666666667,339762.000084,141.000032425
6,11,317,2,1,97,0.765700483092,0.666666666667,323398.999929,141.000032425
7,11,331,2,1,83,0.799516908213,0.666666666667,339256.999969,123.999834061
8,11,339,0,3,75,0.81884057971,0.0,304225.000143,110.999822617
9,11,324,2,1,90,0.782608695652,0.666666666667,334509.99999,131.999969482
10,11,313,3,0,101,0.756038647343,1.0,346174.000025,152.99987793
1,14,308,4,0,107,0.742168674699,1.0,427759.000063,178.999900818
2,14,327,4,0,88,0.787951807229,1.0,436805.000067,156.999826431
3,14,315,2,1,99,0.760869565217,0.666666666667,408226.000071,164.999961853
4,14,322,2,1,92,0.777777777778,0.666666666667,390976.000071,154.99997139
5,14,314,2,1,100,0.75845410628,0.666666666667,415740.00001,171.000003815
6,14,317,2,1,97,0.765700483092,0.666666666667,402640.999794,165.000200272
7,14,331,2,1,83,0.799516908213,0.666666666667,421888.999939,147.000074387
8,14,339,0,3,75,0.81884057971,0.0,378500.0,130.000114441
9,14,324,2,1,90,0.782608695652,0.666666666667,417354.000092,157.00006485
10,14,313,3,0,101,0.756038647343,1.0,425072.999954,176.000118256
1,17,308,4,0,107,0.742168674699,1.0,511016.000032,213.000059128
2,17,327,4,0,88,0.787951807229,1.0,522308.000088,182.999849319
3,17,315,2,1,99,0.760869565217,0.666666666667,489969.000101,190.999984741
4,17,322,2,1,92,0.777777777778,0.666666666667,468210.000038,180.999994278
5,17,314,2,1,100,0.75845410628,0.666666666667,497266.99996,200.999975204
6,17,317,2,1,97,0.765700483092,0.666666666667,481041.000128,189.999818802
7,17,331,2,1,83,0.799516908213,0.666666666667,505111.000061,170.000076294
8,17,339,0,3,75,0.81884057971,0.0,452671.000004,151.000022888
9,17,324,2,1,90,0.782608695652,0.666666666667,498597.999811,184.000015259
10,17,313,3,0,101,0.756038647343,1.0,507367.000103,203.999996185
