Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,403,0,4,12,0.971084337349,0.0,1.9998550415,1.00016593933
2,5,231,3,1,184,0.556626506024,0.75,3.00002098083,0.0
3,5,240,3,0,174,0.579710144928,1.0,2.00009346008,0.0
4,5,0,3,0,414,0.0,1.0,2.00009346008,0.999927520752
5,5,389,1,2,25,0.93961352657,0.333333333333,3.00002098083,0.0
6,5,101,3,0,313,0.243961352657,1.0,2.00009346008,0.0
7,5,132,3,0,282,0.31884057971,1.0,2.00009346008,0.999927520752
8,5,86,3,0,328,0.207729468599,1.0,3.00002098083,0.0
9,5,378,1,2,36,0.913043478261,0.333333333333,2.00009346008,0.0
10,5,375,0,3,39,0.905797101449,0.0,3.00002098083,0.0
1,8,403,0,4,12,0.971084337349,0.0,2.00009346008,0.999927520752
2,8,231,3,1,184,0.556626506024,0.75,3.00002098083,0.0
3,8,240,3,0,174,0.579710144928,1.0,1.9998550415,0.0
4,8,0,3,0,414,0.0,1.0,1.9998550415,1.00016593933
5,8,389,1,2,25,0.93961352657,0.333333333333,3.00002098083,0.0
6,8,101,3,0,313,0.243961352657,1.0,3.00002098083,0.0
7,8,132,3,0,282,0.31884057971,1.0,3.00002098083,0.0
8,8,86,3,0,328,0.207729468599,1.0,3.00002098083,0.0
9,8,378,1,2,36,0.913043478261,0.333333333333,3.00002098083,0.0
10,8,375,0,3,39,0.905797101449,0.0,3.00002098083,0.0
1,11,403,0,4,12,0.971084337349,0.0,1.9998550415,0.0
2,11,231,3,1,184,0.556626506024,0.75,3.00002098083,0.0
3,11,240,3,0,174,0.579710144928,1.0,2.99978256226,0.0
4,11,0,3,0,414,0.0,1.0,1.9998550415,1.00016593933
5,11,389,1,2,25,0.93961352657,0.333333333333,3.00002098083,0.0
6,11,101,3,0,313,0.243961352657,1.0,3.00002098083,0.0
7,11,132,3,0,282,0.31884057971,1.0,3.00002098083,0.0
8,11,86,3,0,328,0.207729468599,1.0,3.00002098083,0.0
9,11,378,1,2,36,0.913043478261,0.333333333333,3.00002098083,0.0
10,11,375,0,3,39,0.905797101449,0.0,2.99978256226,0.0
1,14,403,0,4,12,0.971084337349,0.0,2.00009346008,0.0
2,14,231,3,1,184,0.556626506024,0.75,3.00002098083,0.0
3,14,240,3,0,174,0.579710144928,1.0,3.00002098083,0.0
4,14,0,3,0,414,0.0,1.0,3.00002098083,0.0
5,14,389,1,2,25,0.93961352657,0.333333333333,3.00002098083,0.0
6,14,101,3,0,313,0.243961352657,1.0,3.00002098083,0.0
7,14,132,3,0,282,0.31884057971,1.0,3.00002098083,0.0
8,14,86,3,0,328,0.207729468599,1.0,2.00009346008,0.0
9,14,378,1,2,36,0.913043478261,0.333333333333,3.00002098083,0.0
10,14,375,0,3,39,0.905797101449,0.0,1.9998550415,0.0
1,17,403,0,4,12,0.971084337349,0.0,1.9998550415,1.00016593933
2,17,231,3,1,184,0.556626506024,0.75,3.00002098083,0.0
3,17,240,3,0,174,0.579710144928,1.0,3.00002098083,0.0
4,17,0,3,0,414,0.0,1.0,3.00002098083,0.0
5,17,389,1,2,25,0.93961352657,0.333333333333,2.99978256226,0.0
6,17,101,3,0,313,0.243961352657,1.0,3.00002098083,0.0
7,17,132,3,0,282,0.31884057971,1.0,3.00002098083,0.0
8,17,86,3,0,328,0.207729468599,1.0,2.00009346008,0.0
9,17,378,1,2,36,0.913043478261,0.333333333333,2.99978256226,0.0
10,17,375,0,3,39,0.905797101449,0.0,2.00009346008,0.0
