Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,399,0,4,16,0.961445783133,0.0,3.00002098083,0.0
2,5,241,2,2,174,0.580722891566,0.5,3.00002098083,0.0
3,5,241,3,0,173,0.582125603865,1.0,2.00009346008,0.999927520752
4,5,0,3,0,414,0.0,1.0,3.00002098083,0.0
5,5,176,2,1,238,0.425120772947,0.666666666667,3.00002098083,0.0
6,5,102,3,0,312,0.246376811594,1.0,3.00002098083,0.0
7,5,290,1,2,124,0.700483091787,0.333333333333,2.00009346008,0.999927520752
8,5,91,3,0,323,0.219806763285,1.0,1.9998550415,0.0
9,5,372,1,2,42,0.898550724638,0.333333333333,3.00002098083,0.0
10,5,376,0,3,38,0.908212560386,0.0,2.00009346008,0.999927520752
1,8,399,0,4,16,0.961445783133,0.0,3.00002098083,0.0
2,8,241,2,2,174,0.580722891566,0.5,3.00002098083,0.0
3,8,241,3,0,173,0.582125603865,1.0,1.9998550415,0.0
4,8,0,3,0,414,0.0,1.0,3.00002098083,0.0
5,8,176,2,1,238,0.425120772947,0.666666666667,3.00002098083,0.0
6,8,102,3,0,312,0.246376811594,1.0,2.99978256226,0.0
7,8,290,1,2,124,0.700483091787,0.333333333333,3.00002098083,0.0
8,8,91,3,0,323,0.219806763285,1.0,3.00002098083,0.0
9,8,372,1,2,42,0.898550724638,0.333333333333,2.00009346008,0.999927520752
10,8,376,0,3,38,0.908212560386,0.0,3.00002098083,0.0
1,11,399,0,4,16,0.961445783133,0.0,1.9998550415,1.00016593933
2,11,241,2,2,174,0.580722891566,0.5,2.00009346008,0.0
3,11,241,3,0,173,0.582125603865,1.0,2.00009346008,0.0
4,11,0,3,0,414,0.0,1.0,3.00002098083,0.0
5,11,176,2,1,238,0.425120772947,0.666666666667,3.00002098083,0.0
6,11,102,3,0,312,0.246376811594,1.0,2.00009346008,0.999927520752
7,11,290,1,2,124,0.700483091787,0.333333333333,3.00002098083,0.0
8,11,91,3,0,323,0.219806763285,1.0,1.9998550415,0.0
9,11,372,1,2,42,0.898550724638,0.333333333333,3.00002098083,0.0
10,11,376,0,3,38,0.908212560386,0.0,1.9998550415,1.00016593933
1,14,399,0,4,16,0.961445783133,0.0,3.00002098083,0.0
2,14,241,2,2,174,0.580722891566,0.5,1.9998550415,0.0
3,14,241,3,0,173,0.582125603865,1.0,1.9998550415,0.0
4,14,0,3,0,414,0.0,1.0,1.9998550415,1.00016593933
5,14,176,2,1,238,0.425120772947,0.666666666667,2.99978256226,0.0
6,14,102,3,0,312,0.246376811594,1.0,2.00009346008,0.999927520752
7,14,290,1,2,124,0.700483091787,0.333333333333,1.9998550415,0.0
8,14,91,3,0,323,0.219806763285,1.0,3.00002098083,0.0
9,14,372,1,2,42,0.898550724638,0.333333333333,2.00009346008,0.999927520752
10,14,376,0,3,38,0.908212560386,0.0,2.00009346008,0.0
1,17,399,0,4,16,0.961445783133,0.0,2.00009346008,0.0
2,17,241,2,2,174,0.580722891566,0.5,2.00009346008,0.999927520752
3,17,241,3,0,173,0.582125603865,1.0,3.00002098083,0.0
4,17,0,3,0,414,0.0,1.0,1.9998550415,1.00016593933
5,17,176,2,1,238,0.425120772947,0.666666666667,2.00009346008,0.0
6,17,102,3,0,312,0.246376811594,1.0,2.00009346008,0.0
7,17,290,1,2,124,0.700483091787,0.333333333333,3.00002098083,0.0
8,17,91,3,0,323,0.219806763285,1.0,3.00002098083,0.0
9,17,372,1,2,42,0.898550724638,0.333333333333,3.00002098083,0.0
10,17,376,0,3,38,0.908212560386,0.0,2.00009346008,0.0
