Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,328,4,0,87,0.790361445783,1.0,3.00002098083,0.0
2,5,351,3,1,64,0.84578313253,0.75,3.99994850159,0.0
3,5,326,2,1,88,0.787439613527,0.666666666667,3.00002098083,0.0
4,5,331,2,1,83,0.799516908213,0.666666666667,3.00002098083,0.0
5,5,324,2,1,90,0.782608695652,0.666666666667,3.00002098083,1.00016593933
6,5,331,2,1,83,0.799516908213,0.666666666667,3.00002098083,0.0
7,5,346,2,1,68,0.835748792271,0.666666666667,3.00002098083,0.0
8,5,343,0,3,71,0.828502415459,0.0,3.00002098083,0.0
9,5,339,2,1,75,0.81884057971,0.666666666667,3.99994850159,0.0
10,5,324,3,0,90,0.782608695652,1.0,3.00002098083,0.0
1,8,328,4,0,87,0.790361445783,1.0,2.99978256226,0.0
2,8,351,3,1,64,0.84578313253,0.75,3.00002098083,0.999927520752
3,8,326,2,1,88,0.787439613527,0.666666666667,3.00002098083,0.0
4,8,331,2,1,83,0.799516908213,0.666666666667,3.99994850159,0.0
5,8,324,2,1,90,0.782608695652,0.666666666667,3.00002098083,0.0
6,8,331,2,1,83,0.799516908213,0.666666666667,3.00002098083,0.0
7,8,346,2,1,68,0.835748792271,0.666666666667,0.0,0.0
8,8,343,0,3,71,0.828502415459,0.0,3.00002098083,0.0
9,8,339,2,1,75,0.81884057971,0.666666666667,3.00002098083,0.0
10,8,324,3,0,90,0.782608695652,1.0,4.00018692017,0.0
1,11,328,4,0,87,0.790361445783,1.0,3.00002098083,0.999927520752
2,11,351,3,1,64,0.84578313253,0.75,3.00002098083,0.0
3,11,326,2,1,88,0.787439613527,0.666666666667,3.00002098083,0.0
4,11,331,2,1,83,0.799516908213,0.666666666667,3.00002098083,0.0
5,11,324,2,1,90,0.782608695652,0.666666666667,2.99978256226,0.0
6,11,331,2,1,83,0.799516908213,0.666666666667,3.00002098083,0.0
7,11,346,2,1,68,0.835748792271,0.666666666667,3.00002098083,0.0
8,11,343,0,3,71,0.828502415459,0.0,3.00002098083,0.0
9,11,339,2,1,75,0.81884057971,0.666666666667,3.00002098083,0.0
10,11,324,3,0,90,0.782608695652,1.0,2.99978256226,1.00016593933
1,14,328,4,0,87,0.790361445783,1.0,3.00002098083,0.0
2,14,351,3,1,64,0.84578313253,0.75,3.00002098083,0.0
3,14,326,2,1,88,0.787439613527,0.666666666667,3.00002098083,0.0
4,14,331,2,1,83,0.799516908213,0.666666666667,3.99994850159,0.0
5,14,324,2,1,90,0.782608695652,0.666666666667,3.00002098083,0.0
6,14,331,2,1,83,0.799516908213,0.666666666667,3.00002098083,0.0
7,14,346,2,1,68,0.835748792271,0.666666666667,3.00002098083,0.0
8,14,343,0,3,71,0.828502415459,0.0,3.00002098083,0.0
9,14,339,2,1,75,0.81884057971,0.666666666667,3.00002098083,0.0
10,14,324,3,0,90,0.782608695652,1.0,3.00002098083,1.00016593933
1,17,328,4,0,87,0.790361445783,1.0,3.99994850159,0.0
2,17,351,3,1,64,0.84578313253,0.75,3.00002098083,0.0
3,17,326,2,1,88,0.787439613527,0.666666666667,3.00002098083,0.999927520752
4,17,331,2,1,83,0.799516908213,0.666666666667,3.00002098083,0.0
5,17,324,2,1,90,0.782608695652,0.666666666667,3.00002098083,0.999927520752
6,17,331,2,1,83,0.799516908213,0.666666666667,3.00002098083,0.0
7,17,346,2,1,68,0.835748792271,0.666666666667,3.00002098083,1.00016593933
8,17,343,0,3,71,0.828502415459,0.0,3.99994850159,0.0
9,17,339,2,1,75,0.81884057971,0.666666666667,3.00002098083,0.0
10,17,324,3,0,90,0.782608695652,1.0,3.00002098083,0.0
