Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,394,1,3,21,0.949397590361,0.25,3.00002098083,0.0
2,5,243,2,2,172,0.585542168675,0.5,3.00002098083,0.0
3,5,247,3,0,167,0.596618357488,1.0,3.00002098083,0.0
4,5,15,3,0,399,0.036231884058,1.0,2.99978256226,0.0
5,5,179,3,0,235,0.432367149758,1.0,3.00002098083,0.0
6,5,129,3,0,285,0.311594202899,1.0,3.00002098083,0.0
7,5,146,3,0,268,0.352657004831,1.0,1.9998550415,1.00016593933
8,5,117,3,0,297,0.282608695652,1.0,2.00009346008,0.999927520752
9,5,373,1,2,41,0.900966183575,0.333333333333,1.9998550415,0.0
10,5,385,0,3,29,0.929951690821,0.0,3.00002098083,0.0
1,8,394,1,3,21,0.949397590361,0.25,2.00009346008,0.0
2,8,243,2,2,172,0.585542168675,0.5,2.00009346008,0.999927520752
3,8,247,3,0,167,0.596618357488,1.0,2.99978256226,0.0
4,8,15,3,0,399,0.036231884058,1.0,2.99978256226,0.0
5,8,179,3,0,235,0.432367149758,1.0,3.00002098083,0.0
6,8,129,3,0,285,0.311594202899,1.0,2.00009346008,0.999927520752
7,8,146,3,0,268,0.352657004831,1.0,4.00018692017,0.0
8,8,117,3,0,297,0.282608695652,1.0,3.00002098083,0.0
9,8,373,1,2,41,0.900966183575,0.333333333333,2.00009346008,0.999927520752
10,8,385,0,3,29,0.929951690821,0.0,2.00009346008,0.0
1,11,394,1,3,21,0.949397590361,0.25,3.00002098083,0.0
2,11,243,2,2,172,0.585542168675,0.5,1.9998550415,1.00016593933
3,11,247,3,0,167,0.596618357488,1.0,3.00002098083,0.0
4,11,15,3,0,399,0.036231884058,1.0,3.00002098083,0.0
5,11,179,3,0,235,0.432367149758,1.0,3.00002098083,0.0
6,11,129,3,0,285,0.311594202899,1.0,3.00002098083,0.0
7,11,146,3,0,268,0.352657004831,1.0,3.00002098083,0.0
8,11,117,3,0,297,0.282608695652,1.0,3.00002098083,0.0
9,11,373,1,2,41,0.900966183575,0.333333333333,1.9998550415,0.0
10,11,385,0,3,29,0.929951690821,0.0,3.00002098083,0.0
1,14,394,1,3,21,0.949397590361,0.25,3.00002098083,0.0
2,14,243,2,2,172,0.585542168675,0.5,3.00002098083,0.0
3,14,247,3,0,167,0.596618357488,1.0,3.00002098083,0.0
4,14,15,3,0,399,0.036231884058,1.0,2.00009346008,0.0
5,14,179,3,0,235,0.432367149758,1.0,2.99978256226,0.0
6,14,129,3,0,285,0.311594202899,1.0,1.9998550415,0.0
7,14,146,3,0,268,0.352657004831,1.0,2.00009346008,0.0
8,14,117,3,0,297,0.282608695652,1.0,3.00002098083,0.0
9,14,373,1,2,41,0.900966183575,0.333333333333,3.00002098083,0.0
10,14,385,0,3,29,0.929951690821,0.0,3.00002098083,0.0
1,17,394,1,3,21,0.949397590361,0.25,2.00009346008,0.999927520752
2,17,243,2,2,172,0.585542168675,0.5,3.00002098083,0.0
3,17,247,3,0,167,0.596618357488,1.0,1.9998550415,1.00016593933
4,17,15,3,0,399,0.036231884058,1.0,3.00002098083,0.0
5,17,179,3,0,235,0.432367149758,1.0,2.00009346008,0.0
6,17,129,3,0,285,0.311594202899,1.0,3.00002098083,0.0
7,17,146,3,0,268,0.352657004831,1.0,1.9998550415,0.0
8,17,117,3,0,297,0.282608695652,1.0,3.00002098083,0.0
9,17,373,1,2,41,0.900966183575,0.333333333333,2.99978256226,0.0
10,17,385,0,3,29,0.929951690821,0.0,3.00002098083,0.0
