Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,304,4,0,111,0.732530120482,1.0,256.999969482,13.9999389648
2,5,325,4,0,90,0.78313253012,1.0,245.000123978,13.9999389648
3,5,306,2,1,108,0.739130434783,0.666666666667,240.999937057,14.9998664856
4,5,311,2,1,103,0.751207729469,0.666666666667,232.000112534,13.0000114441
5,5,311,2,1,103,0.751207729469,0.666666666667,266.000032425,13.9999389648
6,5,317,2,1,97,0.765700483092,0.666666666667,233.000040054,13.0000114441
7,5,325,2,1,89,0.785024154589,0.666666666667,256.999969482,13.0000114441
8,5,331,0,3,83,0.799516908213,0.0,263.000011444,13.0000114441
9,5,320,2,1,94,0.772946859903,0.666666666667,266.000032425,13.0000114441
10,5,313,3,0,101,0.756038647343,1.0,269.999980927,13.0000114441
1,8,304,4,0,111,0.732530120482,1.0,260.999917984,14.0001773834
2,8,325,4,0,90,0.78313253012,1.0,244.999885559,14.0001773834
3,8,306,2,1,108,0.739130434783,0.666666666667,246.999979019,13.0000114441
4,8,311,2,1,103,0.751207729469,0.666666666667,232.000112534,13.0000114441
5,8,311,2,1,103,0.751207729469,0.666666666667,253.999948502,13.9999389648
6,8,317,2,1,97,0.765700483092,0.666666666667,233.000040054,13.0000114441
7,8,325,2,1,89,0.785024154589,0.666666666667,253.000020981,13.0000114441
8,8,331,0,3,83,0.799516908213,0.0,256.999969482,12.0000839233
9,8,320,2,1,94,0.772946859903,0.666666666667,267.999887466,13.9999389648
10,8,313,3,0,101,0.756038647343,1.0,262.000083923,13.9999389648
1,11,304,4,0,111,0.732530120482,1.0,279.99997139,14.0001773834
2,11,325,4,0,90,0.78313253012,1.0,272.000074387,14.9998664856
3,11,306,2,1,108,0.739130434783,0.666666666667,270.999908447,13.9999389648
4,11,311,2,1,103,0.751207729469,0.666666666667,255.000114441,13.9999389648
5,11,311,2,1,103,0.751207729469,0.666666666667,250.0,13.9999389648
6,11,317,2,1,97,0.765700483092,0.666666666667,230.000019073,13.0000114441
7,11,325,2,1,89,0.785024154589,0.666666666667,256.999969482,13.0000114441
8,11,331,0,3,83,0.799516908213,0.0,268.999814987,13.0000114441
9,11,320,2,1,94,0.772946859903,0.666666666667,276.000022888,13.0000114441
10,11,313,3,0,101,0.756038647343,1.0,270.000219345,13.0000114441
1,14,304,4,0,111,0.732530120482,1.0,267.999887466,13.9999389648
2,14,325,4,0,90,0.78313253012,1.0,245.99981308,13.0000114441
3,14,306,2,1,108,0.739130434783,0.666666666667,246.999979019,13.9999389648
4,14,311,2,1,103,0.751207729469,0.666666666667,234.999895096,13.0000114441
5,14,311,2,1,103,0.751207729469,0.666666666667,256.999969482,13.0000114441
6,14,317,2,1,97,0.765700483092,0.666666666667,233.999967575,13.0000114441
7,14,325,2,1,89,0.785024154589,0.666666666667,256.000041962,13.0000114441
8,14,331,0,3,83,0.799516908213,0.0,262.000083923,13.0000114441
9,14,320,2,1,94,0.772946859903,0.666666666667,279.000043869,13.0000114441
10,14,313,3,0,101,0.756038647343,1.0,271.000146866,13.0000114441
1,17,304,4,0,111,0.732530120482,1.0,262.000083923,13.9999389648
2,17,325,4,0,90,0.78313253012,1.0,247.99990654,13.9999389648
3,17,306,2,1,108,0.739130434783,0.666666666667,253.000020981,13.0000114441
4,17,311,2,1,103,0.751207729469,0.666666666667,236.000061035,13.9999389648
5,17,311,2,1,103,0.751207729469,0.666666666667,259.999990463,13.9999389648
6,17,317,2,1,97,0.765700483092,0.666666666667,237.999916077,13.0000114441
7,17,325,2,1,89,0.785024154589,0.666666666667,259.000062943,13.0000114441
8,17,331,0,3,83,0.799516908213,0.0,265.999794006,12.0000839233
9,17,320,2,1,94,0.772946859903,0.666666666667,270.999908447,13.0000114441
10,17,313,3,0,101,0.756038647343,1.0,274.999856949,13.9999389648
