Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,19,4,0,12,0.612903225806,1.0,3577.00014114,4.99987602234
2,5,27,4,0,3,0.9,1.0,3654.00004387,3.00002098083
3,5,22,4,0,8,0.733333333333,1.0,4572.0000267,3.99994850159
4,5,29,3,1,1,0.966666666667,0.75,3846.99988365,3.00002098083
5,5,29,2,2,1,0.966666666667,0.5,5107.00011253,3.00002098083
6,5,29,2,1,1,0.966666666667,0.666666666667,3203.99999619,2.99978256226
7,5,30,3,0,0,1.0,1.0,3498.00014496,1.9998550415
8,5,27,3,0,3,0.9,1.0,3456.00008965,3.99994850159
9,5,29,0,3,1,0.966666666667,0.0,3496.0000515,3.00002098083
10,5,0,3,0,30,0.0,1.0,4226.99999809,6.99996948242
1,8,19,4,0,12,0.612903225806,1.0,4708.00018311,6.99996948242
2,8,27,4,0,3,0.9,1.0,4766.99995995,3.99994850159
3,8,22,4,0,8,0.733333333333,1.0,6292.00005531,6.00004196167
4,8,29,3,1,1,0.966666666667,0.75,5007.0002079,2.99978256226
5,8,29,2,2,1,0.966666666667,0.5,7335.00003815,3.00002098083
6,8,29,2,1,1,0.966666666667,0.666666666667,3943.0000782,3.00002098083
7,8,30,3,0,0,1.0,1.0,4484.9998951,3.00002098083
8,8,27,3,0,3,0.9,1.0,4371.99997902,3.99994850159
9,8,29,0,3,1,0.966666666667,0.0,4473.99997711,3.00002098083
10,8,0,3,0,30,0.0,1.0,5764.00017738,10.999917984
1,11,19,4,0,12,0.612903225806,1.0,5542.99998283,9.0000629425
2,11,27,4,0,3,0.9,1.0,5843.99986267,5.00011444092
3,11,22,4,0,8,0.733333333333,1.0,8095.00002861,7.99989700317
4,11,29,3,1,1,0.966666666667,0.75,6215.99984169,3.99994850159
5,11,29,2,2,1,0.966666666667,0.5,9649.00016785,3.99994850159
6,11,29,2,1,1,0.966666666667,0.666666666667,4713.99998665,3.00002098083
7,11,30,3,0,0,1.0,1.0,5461.99989319,3.99994850159
8,11,27,3,0,3,0.9,1.0,5295.00007629,3.99994850159
9,11,29,0,3,1,0.966666666667,0.0,5496.0000515,1.9998550415
10,11,0,3,0,30,0.0,1.0,7285.00008583,15.0001049042
1,14,19,4,0,12,0.612903225806,1.0,6590.99984169,9.99999046326
2,14,27,4,0,3,0.9,1.0,6956.00008965,6.00004196167
3,14,22,4,0,8,0.733333333333,1.0,9801.99980736,8.00013542175
4,14,29,3,1,1,0.966666666667,0.75,7450.9999752,3.99994850159
5,14,29,2,2,1,0.966666666667,0.5,11614.000082,3.99994850159
6,14,29,2,1,1,0.966666666667,0.666666666667,5473.99997711,3.99994850159
7,14,30,3,0,0,1.0,1.0,6440.00005722,3.99994850159
8,14,27,3,0,3,0.9,1.0,6302.9999733,5.00011444092
9,14,29,0,3,1,0.966666666667,0.0,6475.99983215,3.00002098083
10,14,0,3,0,30,0.0,1.0,8822.99995422,19.9999809265
1,17,19,4,0,12,0.612903225806,1.0,7598.99997711,12.0000839233
2,17,27,4,0,3,0.9,1.0,7974.99990463,6.99996948242
3,17,22,4,0,8,0.733333333333,1.0,11573.0001926,9.99999046326
4,17,29,3,1,1,0.966666666667,0.75,8607.00011253,5.00011444092
5,17,29,2,2,1,0.966666666667,0.5,13815.9999847,3.99994850159
6,17,29,2,1,1,0.966666666667,0.666666666667,6217.00000763,4.00018692017
7,17,30,3,0,0,1.0,1.0,7360.00013351,3.99994850159
8,17,27,3,0,3,0.9,1.0,7111.99998856,6.99996948242
9,17,29,0,3,1,0.966666666667,0.0,7413.00010681,1.9998550415
10,17,0,3,0,30,0.0,1.0,10319.0000057,23.9999294281
