Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,28,3,1,3,0.903225806452,0.75,11735.0001335,3.99994850159
2,5,28,4,0,2,0.933333333333,1.0,12788.0001068,3.00002098083
3,5,23,4,0,7,0.766666666667,1.0,15662.9998684,3.99994850159
4,5,28,4,0,2,0.933333333333,1.0,12874.0000725,3.00002098083
5,5,29,2,2,1,0.966666666667,0.5,14759.0000629,2.99978256226
6,5,29,2,1,1,0.966666666667,0.666666666667,10304.0001392,1.9998550415
7,5,30,3,0,0,1.0,1.0,11160.0000858,3.00002098083
8,5,30,2,1,0,1.0,0.666666666667,11167.0000553,2.99978256226
9,5,27,1,2,3,0.9,0.333333333333,11323.0001926,1.9998550415
10,5,2,3,0,28,0.0666666666667,1.0,13796.0000038,7.99989700317
1,8,28,3,1,3,0.903225806452,0.75,15337.9998207,4.00018692017
2,8,28,4,0,2,0.933333333333,1.0,17284.0001583,3.99994850159
3,8,23,4,0,7,0.766666666667,1.0,22302.9999733,6.00004196167
4,8,28,4,0,2,0.933333333333,1.0,17391.0000324,3.99994850159
5,8,29,2,2,1,0.966666666667,0.5,20755.0001144,3.99994850159
6,8,29,2,1,1,0.966666666667,0.666666666667,12939.0001297,2.99978256226
7,8,30,3,0,0,1.0,1.0,14458.0001831,3.00002098083
8,8,30,2,1,0,1.0,0.666666666667,14393.0001259,3.00002098083
9,8,27,1,2,3,0.9,0.333333333333,14710.0000381,2.99978256226
10,8,2,3,0,28,0.0666666666667,1.0,18969.0001011,12.0000839233
1,11,28,3,1,3,0.903225806452,0.75,19126.0001659,4.99987602234
2,11,28,4,0,2,0.933333333333,1.0,21816.9999123,5.00011444092
3,11,23,4,0,7,0.766666666667,1.0,28861.000061,6.99996948242
4,11,28,4,0,2,0.933333333333,1.0,21934.9999428,5.00011444092
5,11,29,2,2,1,0.966666666667,0.5,26684.0000153,3.00002098083
6,11,29,2,1,1,0.966666666667,0.666666666667,15671.9999313,3.00002098083
7,11,30,3,0,0,1.0,1.0,17687.0000362,3.99994850159
8,11,30,2,1,0,1.0,0.666666666667,17698.0001926,3.00002098083
9,11,27,1,2,3,0.9,0.333333333333,18109.000206,3.99994850159
10,11,2,3,0,28,0.0666666666667,1.0,24239.000082,13.9999389648
1,14,28,3,1,3,0.903225806452,0.75,22763.0000114,5.00011444092
2,14,28,4,0,2,0.933333333333,1.0,26395.0002193,4.99987602234
3,14,23,4,0,7,0.766666666667,1.0,35585.9999657,8.00013542175
4,14,28,4,0,2,0.933333333333,1.0,26491.0001755,6.00004196167
5,14,29,2,2,1,0.966666666667,0.5,32682.0001602,3.99994850159
6,14,29,2,1,1,0.966666666667,0.666666666667,18299.0000248,3.99994850159
7,14,30,3,0,0,1.0,1.0,21091.0000801,3.99994850159
8,14,30,2,1,0,1.0,0.666666666667,20990.9999371,3.99994850159
9,14,27,1,2,3,0.9,0.333333333333,21436.0001087,4.99987602234
10,14,2,3,0,28,0.0666666666667,1.0,29549.9999523,19.0000534058
1,17,28,3,1,3,0.903225806452,0.75,26446.0000992,6.99996948242
2,17,28,4,0,2,0.933333333333,1.0,30680.9999943,6.00004196167
3,17,23,4,0,7,0.766666666667,1.0,42044.9998379,9.99999046326
4,17,28,4,0,2,0.933333333333,1.0,30975.0001431,6.00004196167
5,17,29,2,2,1,0.966666666667,0.5,38476.9999981,3.99994850159
6,17,29,2,1,1,0.966666666667,0.666666666667,20979.0000916,3.99994850159
7,17,30,3,0,0,1.0,1.0,24230.9999466,3.99994850159
8,17,30,2,1,0,1.0,0.666666666667,24380.0001144,3.99994850159
9,17,27,1,2,3,0.9,0.333333333333,24779.0000439,3.99994850159
10,17,2,3,0,28,0.0666666666667,1.0,34570.9998608,21.0001468658
