Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,25,4,0,6,0.806451612903,1.0,4933.00008774,3.99994850159
2,5,27,4,0,3,0.9,1.0,4939.0001297,3.99994850159
3,5,23,4,0,7,0.766666666667,1.0,5187.00003624,3.99994850159
4,5,24,4,0,6,0.8,1.0,4942.99983978,3.99994850159
5,5,25,3,1,5,0.833333333333,0.75,4891.99995995,4.99987602234
6,5,23,3,0,7,0.766666666667,1.0,4922.99985886,3.99994850159
7,5,29,3,0,1,0.966666666667,1.0,5037.99986839,3.00002098083
8,5,28,3,0,2,0.933333333333,1.0,4881.00004196,3.00002098083
9,5,26,1,2,4,0.866666666667,0.333333333333,5003.00002098,3.99994850159
10,5,24,3,0,6,0.8,1.0,4938.99989128,3.00002098083
1,8,25,4,0,6,0.806451612903,1.0,6674.99995232,6.00004196167
2,8,27,4,0,3,0.9,1.0,6685.0001812,3.99994850159
3,8,23,4,0,7,0.766666666667,1.0,6569.99993324,6.00004196167
4,8,24,4,0,6,0.8,1.0,6681.9999218,5.00011444092
5,8,25,3,1,5,0.833333333333,0.75,6756.99996948,3.99994850159
6,8,23,3,0,7,0.766666666667,1.0,6555.99999428,6.99996948242
7,8,29,3,0,1,0.966666666667,1.0,6809.00001526,3.99994850159
8,8,28,3,0,2,0.933333333333,1.0,6980.99994659,3.99994850159
9,8,26,1,2,4,0.866666666667,0.333333333333,6620.99981308,5.00011444092
10,8,24,3,0,6,0.8,1.0,6656.00013733,4.99987602234
1,11,25,4,0,6,0.806451612903,1.0,7944.00000572,6.00004196167
2,11,27,4,0,3,0.9,1.0,8071.00009918,6.00004196167
3,11,23,4,0,7,0.766666666667,1.0,7971.99988365,6.99996948242
4,11,24,4,0,6,0.8,1.0,8024.99985695,6.99996948242
5,11,25,3,1,5,0.833333333333,0.75,8036.00001335,4.99987602234
6,11,23,3,0,7,0.766666666667,1.0,7932.00016022,5.99980354309
7,11,29,3,0,1,0.966666666667,1.0,8232.99980164,4.00018692017
8,11,28,3,0,2,0.933333333333,1.0,8054.99982834,4.00018692017
9,11,26,1,2,4,0.866666666667,0.333333333333,7873.99983406,4.00018692017
10,11,24,3,0,6,0.8,1.0,7974.99990463,6.00004196167
1,14,25,4,0,6,0.806451612903,1.0,9760.99991798,8.00013542175
2,14,27,4,0,3,0.9,1.0,9807.99984932,6.00004196167
3,14,23,4,0,7,0.766666666667,1.0,9764.00017738,7.99989700317
4,14,24,4,0,6,0.8,1.0,9853.00016403,7.99989700317
5,14,25,3,1,5,0.833333333333,0.75,9762.00008392,6.00004196167
6,14,23,3,0,7,0.766666666667,1.0,9651.00002289,7.99989700317
7,14,29,3,0,1,0.966666666667,1.0,10101.9999981,3.99994850159
8,14,28,3,0,2,0.933333333333,1.0,9875.0,5.00011444092
9,14,26,1,2,4,0.866666666667,0.333333333333,9977.99992561,6.00004196167
10,14,24,3,0,6,0.8,1.0,9655.99989891,6.99996948242
1,17,25,4,0,6,0.806451612903,1.0,11311.0001087,9.99999046326
2,17,27,4,0,3,0.9,1.0,11496.0000515,6.99996948242
3,17,23,4,0,7,0.766666666667,1.0,11220.0000286,9.0000629425
4,17,24,4,0,6,0.8,1.0,11373.000145,8.99982452393
5,17,25,3,1,5,0.833333333333,0.75,11468.9998627,8.00013542175
6,17,23,3,0,7,0.766666666667,1.0,11250.0,9.0000629425
7,17,29,3,0,1,0.966666666667,1.0,11763.999939,5.00011444092
8,17,28,3,0,2,0.933333333333,1.0,11486.9999886,6.00004196167
9,17,26,1,2,4,0.866666666667,0.333333333333,11103.9998531,7.000207901
10,17,24,3,0,6,0.8,1.0,11283.0002308,7.99989700317
