Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,24,4,0,7,0.774193548387,1.0,1789.99996185,4.00018692017
2,5,26,4,0,4,0.866666666667,1.0,1897.00007439,3.99994850159
3,5,23,4,0,7,0.766666666667,1.0,2144.99998093,3.99994850159
4,5,28,4,0,2,0.933333333333,1.0,1976.99999809,3.00002098083
5,5,29,2,2,1,0.966666666667,0.5,2011.9998455,3.00002098083
6,5,29,3,0,1,0.966666666667,1.0,1634.00006294,3.00002098083
7,5,30,2,1,0,1.0,0.666666666667,1774.99985695,3.00002098083
8,5,30,2,1,0,1.0,0.666666666667,1690.00005722,3.00002098083
9,5,27,1,2,3,0.9,0.333333333333,1755.99980354,3.00002098083
10,5,7,3,0,23,0.233333333333,1.0,1963.99998665,6.00004196167
1,8,24,4,0,7,0.774193548387,1.0,2336.99989319,5.00011444092
2,8,26,4,0,4,0.866666666667,1.0,2551.99980736,4.00018692017
3,8,23,4,0,7,0.766666666667,1.0,2970.99995613,6.00004196167
4,8,28,4,0,2,0.933333333333,1.0,2744.00019646,3.99994850159
5,8,29,2,2,1,0.966666666667,0.5,2764.99986649,4.00018692017
6,8,29,3,0,1,0.966666666667,1.0,2190.00005722,3.00002098083
7,8,30,2,1,0,1.0,0.666666666667,2346.99988365,2.00009346008
8,8,30,2,1,0,1.0,0.666666666667,2135.99991798,3.00002098083
9,8,27,1,2,3,0.9,0.333333333333,2312.99996376,3.99994850159
10,8,7,3,0,23,0.233333333333,1.0,2795.00007629,9.0000629425
1,11,24,4,0,7,0.774193548387,1.0,2868.00003052,6.99996948242
2,11,26,4,0,4,0.866666666667,1.0,3215.99984169,6.00004196167
3,11,23,4,0,7,0.766666666667,1.0,3826.99990273,7.000207901
4,11,28,4,0,2,0.933333333333,1.0,3398.00000191,4.00018692017
5,11,29,2,2,1,0.966666666667,0.5,3520.99990845,3.99994850159
6,11,29,3,0,1,0.966666666667,1.0,2516.00003242,3.99994850159
7,11,30,2,1,0,1.0,0.666666666667,2913.00010681,3.00002098083
8,11,30,2,1,0,1.0,0.666666666667,2631.00004196,3.00002098083
9,11,27,1,2,3,0.9,0.333333333333,2865.99993706,4.00018692017
10,11,7,3,0,23,0.233333333333,1.0,3390.0001049,13.0000114441
1,14,24,4,0,7,0.774193548387,1.0,3458.00018311,7.99989700317
2,14,26,4,0,4,0.866666666667,1.0,3893.00012589,6.99996948242
3,14,23,4,0,7,0.766666666667,1.0,4659.00015831,7.99989700317
4,14,28,4,0,2,0.933333333333,1.0,4111.00006104,4.99987602234
5,14,29,2,2,1,0.966666666667,0.5,4262.00008392,3.99994850159
6,14,29,3,0,1,0.966666666667,1.0,2980.99994659,3.99994850159
7,14,30,2,1,0,1.0,0.666666666667,3505.00011444,3.99994850159
8,14,30,2,1,0,1.0,0.666666666667,3092.00000763,3.00002098083
9,14,27,1,2,3,0.9,0.333333333333,3447.99995422,4.99987602234
10,14,7,3,0,23,0.233333333333,1.0,4101.00007057,16.9999599457
1,17,24,4,0,7,0.774193548387,1.0,4063.00020218,8.99982452393
2,17,26,4,0,4,0.866666666667,1.0,4585.99996567,6.99996948242
3,17,23,4,0,7,0.766666666667,1.0,5591.00008011,9.99999046326
4,17,28,4,0,2,0.933333333333,1.0,4897.00007439,5.99980354309
5,17,29,2,2,1,0.966666666667,0.5,5065.99998474,4.00018692017
6,17,29,3,0,1,0.966666666667,1.0,3518.99981499,5.00011444092
7,17,30,2,1,0,1.0,0.666666666667,4101.99999809,3.00002098083
8,17,30,2,1,0,1.0,0.666666666667,3644.99998093,3.99994850159
9,17,27,1,2,3,0.9,0.333333333333,4065.00005722,4.99987602234
10,17,7,3,0,23,0.233333333333,1.0,4889.00017738,18.9998149872
