Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,24,4,0,7,0.774193548387,1.0,4879.99987602,6.00004196167
2,5,24,4,0,6,0.8,1.0,5052.00004578,5.00011444092
3,5,23,4,0,7,0.766666666667,1.0,4878.9999485,5.00011444092
4,5,25,4,0,5,0.833333333333,1.0,4930.99999428,4.99987602234
5,5,24,3,1,6,0.8,0.75,4845.99995613,4.99987602234
6,5,21,3,0,9,0.7,1.0,4901.99995041,5.00011444092
7,5,30,3,0,0,1.0,1.0,5105.00001907,3.00002098083
8,5,27,3,0,3,0.9,1.0,5012.00008392,3.99994850159
9,5,26,1,2,4,0.866666666667,0.333333333333,4791.00012779,3.99994850159
10,5,24,3,0,6,0.8,1.0,4888.00001144,5.00011444092
1,8,24,4,0,7,0.774193548387,1.0,6533.99991989,8.00013542175
2,8,24,4,0,6,0.8,1.0,6680.99999428,6.99996948242
3,8,23,4,0,7,0.766666666667,1.0,6441.99991226,6.99996948242
4,8,25,4,0,5,0.833333333333,1.0,6631.99996948,7.000207901
5,8,24,3,1,6,0.8,0.75,6477.99992561,6.00004196167
6,8,21,3,0,9,0.7,1.0,6517.99988747,8.00013542175
7,8,30,3,0,0,1.0,1.0,6822.0000267,3.99994850159
8,8,27,3,0,3,0.9,1.0,6611.00006104,4.99987602234
9,8,26,1,2,4,0.866666666667,0.333333333333,6439.0001297,4.99987602234
10,8,24,3,0,6,0.8,1.0,6606.00018501,5.99980354309
1,11,24,4,0,7,0.774193548387,1.0,8558.00008774,9.0000629425
2,11,24,4,0,6,0.8,1.0,8713.99998665,7.99989700317
3,11,23,4,0,7,0.766666666667,1.0,8361.99998856,8.99982452393
4,11,25,4,0,5,0.833333333333,1.0,8536.99994087,7.99989700317
5,11,24,3,1,6,0.8,0.75,8483.00004005,8.00013542175
6,11,21,3,0,9,0.7,1.0,8493.00003052,9.0000629425
7,11,30,3,0,0,1.0,1.0,8907.99999237,3.99994850159
8,11,27,3,0,3,0.9,1.0,8608.00004005,6.00004196167
9,11,26,1,2,4,0.866666666667,0.333333333333,8197.99995422,6.00004196167
10,11,24,3,0,6,0.8,1.0,8466.00008011,7.99989700317
1,14,24,4,0,7,0.774193548387,1.0,9828.00006866,10.999917984
2,14,24,4,0,6,0.8,1.0,10096.9998837,10.999917984
3,14,23,4,0,7,0.766666666667,1.0,9650.00009537,10.999917984
4,14,25,4,0,5,0.833333333333,1.0,9943.0000782,9.0000629425
5,14,24,3,1,6,0.8,0.75,9743.00003052,9.99999046326
6,14,21,3,0,9,0.7,1.0,9809.99994278,10.999917984
7,14,30,3,0,0,1.0,1.0,10316.9999123,5.00011444092
8,14,27,3,0,3,0.9,1.0,9960.00003815,6.99996948242
9,14,26,1,2,4,0.866666666667,0.333333333333,9483.99996758,6.00004196167
10,14,24,3,0,6,0.8,1.0,9817.00015068,8.99982452393
1,17,24,4,0,7,0.774193548387,1.0,11496.999979,13.0000114441
2,17,24,4,0,6,0.8,1.0,11756.000042,12.0000839233
3,17,23,4,0,7,0.766666666667,1.0,11200.9999752,13.0000114441
4,17,25,4,0,5,0.833333333333,1.0,11647.0000744,10.999917984
5,17,24,3,1,6,0.8,0.75,11396.0001469,10.999917984
6,17,21,3,0,9,0.7,1.0,11440.0000572,13.0000114441
7,17,30,3,0,0,1.0,1.0,12045.0000763,6.00004196167
8,17,27,3,0,3,0.9,1.0,11623.9998341,8.00013542175
9,17,26,1,2,4,0.866666666667,0.333333333333,11016.9999599,6.99996948242
10,17,24,3,0,6,0.8,1.0,11424.9999523,9.99999046326
