Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,28,2,2,3,0.903225806452,0.5,0.0,0.999927520752
2,5,19,4,0,11,0.633333333333,1.0,0.0,1.00016593933
3,5,23,4,0,7,0.766666666667,1.0,1.00016593933,0.0
4,5,29,3,1,1,0.966666666667,0.75,0.999927520752,0.0
5,5,23,3,1,7,0.766666666667,0.75,0.999927520752,0.0
6,5,27,3,0,3,0.9,1.0,0.0,0.0
7,5,30,3,0,0,1.0,1.0,0.999927520752,0.0
8,5,30,2,1,0,1.0,0.666666666667,0.999927520752,0.0
9,5,29,1,2,1,0.966666666667,0.333333333333,0.999927520752,0.0
10,5,27,3,0,3,0.9,1.0,0.999927520752,0.0
1,8,28,2,2,3,0.903225806452,0.5,0.0,0.999927520752
2,8,19,4,0,11,0.633333333333,1.0,0.0,0.0
3,8,23,4,0,7,0.766666666667,1.0,0.999927520752,0.0
4,8,29,3,1,1,0.966666666667,0.75,0.999927520752,0.0
5,8,23,3,1,7,0.766666666667,0.75,0.0,0.0
6,8,27,3,0,3,0.9,1.0,0.999927520752,0.0
7,8,30,3,0,0,1.0,1.0,0.999927520752,0.0
8,8,30,2,1,0,1.0,0.666666666667,0.999927520752,0.0
9,8,29,1,2,1,0.966666666667,0.333333333333,0.999927520752,0.0
10,8,27,3,0,3,0.9,1.0,1.00016593933,0.0
1,11,28,2,2,3,0.903225806452,0.5,0.0,0.0
2,11,19,4,0,11,0.633333333333,1.0,0.0,0.999927520752
3,11,23,4,0,7,0.766666666667,1.0,0.999927520752,0.0
4,11,29,3,1,1,0.966666666667,0.75,0.999927520752,0.0
5,11,23,3,1,7,0.766666666667,0.75,0.0,0.0
6,11,27,3,0,3,0.9,1.0,0.999927520752,0.0
7,11,30,3,0,0,1.0,1.0,1.00016593933,0.0
8,11,30,2,1,0,1.0,0.666666666667,1.00016593933,0.0
9,11,29,1,2,1,0.966666666667,0.333333333333,0.999927520752,0.0
10,11,27,3,0,3,0.9,1.0,0.0,0.999927520752
1,14,28,2,2,3,0.903225806452,0.5,0.999927520752,0.0
2,14,19,4,0,11,0.633333333333,1.0,0.999927520752,0.0
3,14,23,4,0,7,0.766666666667,1.0,1.00016593933,0.0
4,14,29,3,1,1,0.966666666667,0.75,1.00016593933,0.0
5,14,23,3,1,7,0.766666666667,0.75,1.00016593933,0.0
6,14,27,3,0,3,0.9,1.0,0.0,0.999927520752
7,14,30,3,0,0,1.0,1.0,1.00016593933,0.0
8,14,30,2,1,0,1.0,0.666666666667,0.0,0.0
9,14,29,1,2,1,0.966666666667,0.333333333333,0.0,0.0
10,14,27,3,0,3,0.9,1.0,1.00016593933,0.0
1,17,28,2,2,3,0.903225806452,0.5,0.0,0.0
2,17,19,4,0,11,0.633333333333,1.0,0.0,0.0
3,17,23,4,0,7,0.766666666667,1.0,0.0,0.0
4,17,29,3,1,1,0.966666666667,0.75,0.999927520752,0.0
5,17,23,3,1,7,0.766666666667,0.75,0.999927520752,0.0
6,17,27,3,0,3,0.9,1.0,0.0,0.0
7,17,30,3,0,0,1.0,1.0,1.00016593933,0.0
8,17,30,2,1,0,1.0,0.666666666667,0.999927520752,0.0
9,17,29,1,2,1,0.966666666667,0.333333333333,0.999927520752,0.0
10,17,27,3,0,3,0.9,1.0,1.00016593933,0.0
