Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,27,3,1,4,0.870967741935,0.75,1.00016593933,0.0
2,5,27,4,0,3,0.9,1.0,0.0,0.0
3,5,25,3,1,5,0.833333333333,0.75,1.00016593933,0.0
4,5,28,3,1,2,0.933333333333,0.75,0.0,1.00016593933
5,5,18,3,1,12,0.6,0.75,1.00016593933,0.0
6,5,27,3,0,3,0.9,1.0,0.999927520752,0.0
7,5,30,3,0,0,1.0,1.0,0.0,0.0
8,5,30,2,1,0,1.0,0.666666666667,0.0,0.999927520752
9,5,29,1,2,1,0.966666666667,0.333333333333,1.00016593933,0.0
10,5,26,3,0,4,0.866666666667,1.0,1.00016593933,0.0
1,8,27,3,1,4,0.870967741935,0.75,0.0,0.0
2,8,27,4,0,3,0.9,1.0,0.0,0.0
3,8,25,3,1,5,0.833333333333,0.75,0.999927520752,0.0
4,8,28,3,1,2,0.933333333333,0.75,0.999927520752,0.0
5,8,18,3,1,12,0.6,0.75,0.999927520752,0.0
6,8,27,3,0,3,0.9,1.0,0.0,0.0
7,8,30,3,0,0,1.0,1.0,0.999927520752,0.0
8,8,30,2,1,0,1.0,0.666666666667,0.999927520752,0.0
9,8,29,1,2,1,0.966666666667,0.333333333333,0.999927520752,0.0
10,8,26,3,0,4,0.866666666667,1.0,0.999927520752,0.0
1,11,27,3,1,4,0.870967741935,0.75,0.0,0.0
2,11,27,4,0,3,0.9,1.0,0.999927520752,0.0
3,11,25,3,1,5,0.833333333333,0.75,0.0,0.0
4,11,28,3,1,2,0.933333333333,0.75,0.0,1.00016593933
5,11,18,3,1,12,0.6,0.75,0.999927520752,0.0
6,11,27,3,0,3,0.9,1.0,0.0,0.999927520752
7,11,30,3,0,0,1.0,1.0,0.999927520752,0.0
8,11,30,2,1,0,1.0,0.666666666667,0.0,0.0
9,11,29,1,2,1,0.966666666667,0.333333333333,0.999927520752,0.0
10,11,26,3,0,4,0.866666666667,1.0,0.999927520752,0.0
1,14,27,3,1,4,0.870967741935,0.75,0.999927520752,0.0
2,14,27,4,0,3,0.9,1.0,0.0,0.0
3,14,25,3,1,5,0.833333333333,0.75,0.0,0.0
4,14,28,3,1,2,0.933333333333,0.75,0.0,0.0
5,14,18,3,1,12,0.6,0.75,0.0,1.00016593933
6,14,27,3,0,3,0.9,1.0,0.0,1.00016593933
7,14,30,3,0,0,1.0,1.0,0.0,0.0
8,14,30,2,1,0,1.0,0.666666666667,1.00016593933,0.0
9,14,29,1,2,1,0.966666666667,0.333333333333,1.00016593933,0.0
10,14,26,3,0,4,0.866666666667,1.0,0.999927520752,0.0
1,17,27,3,1,4,0.870967741935,0.75,0.999927520752,0.0
2,17,27,4,0,3,0.9,1.0,0.999927520752,0.0
3,17,25,3,1,5,0.833333333333,0.75,1.00016593933,0.0
4,17,28,3,1,2,0.933333333333,0.75,0.999927520752,0.0
5,17,18,3,1,12,0.6,0.75,0.0,0.0
6,17,27,3,0,3,0.9,1.0,0.999927520752,0.0
7,17,30,3,0,0,1.0,1.0,0.0,0.0
8,17,30,2,1,0,1.0,0.666666666667,0.999927520752,0.0
9,17,29,1,2,1,0.966666666667,0.333333333333,0.999927520752,0.0
10,17,26,3,0,4,0.866666666667,1.0,0.999927520752,0.0
