Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,28,3,1,3,0.903225806452,0.75,0.999927520752,0.0
2,5,18,4,0,12,0.6,1.0,0.0,0.0
3,5,26,2,2,4,0.866666666667,0.5,0.0,0.0
4,5,28,4,0,2,0.933333333333,1.0,0.0,0.0
5,5,17,3,1,13,0.566666666667,0.75,0.0,0.0
6,5,26,3,0,4,0.866666666667,1.0,0.0,0.0
7,5,29,3,0,1,0.966666666667,1.0,1.00016593933,0.0
8,5,30,2,1,0,1.0,0.666666666667,0.0,0.0
9,5,27,1,2,3,0.9,0.333333333333,0.0,0.0
10,5,27,3,0,3,0.9,1.0,1.00016593933,0.0
1,8,28,3,1,3,0.903225806452,0.75,0.0,0.0
2,8,18,4,0,12,0.6,1.0,0.0,0.999927520752
3,8,26,2,2,4,0.866666666667,0.5,0.999927520752,0.0
4,8,28,4,0,2,0.933333333333,1.0,0.999927520752,0.0
5,8,17,3,1,13,0.566666666667,0.75,0.999927520752,0.0
6,8,26,3,0,4,0.866666666667,1.0,0.0,0.999927520752
7,8,29,3,0,1,0.966666666667,1.0,0.999927520752,0.0
8,8,30,2,1,0,1.0,0.666666666667,0.0,1.00016593933
9,8,27,1,2,3,0.9,0.333333333333,1.00016593933,0.0
10,8,27,3,0,3,0.9,1.0,0.999927520752,0.0
1,11,28,3,1,3,0.903225806452,0.75,0.999927520752,0.0
2,11,18,4,0,12,0.6,1.0,0.0,0.0
3,11,26,2,2,4,0.866666666667,0.5,0.999927520752,0.0
4,11,28,4,0,2,0.933333333333,1.0,0.999927520752,0.0
5,11,17,3,1,13,0.566666666667,0.75,0.0,0.0
6,11,26,3,0,4,0.866666666667,1.0,0.999927520752,0.0
7,11,29,3,0,1,0.966666666667,1.0,0.0,0.0
8,11,30,2,1,0,1.0,0.666666666667,0.0,0.0
9,11,27,1,2,3,0.9,0.333333333333,0.999927520752,0.0
10,11,27,3,0,3,0.9,1.0,0.999927520752,0.0
1,14,28,3,1,3,0.903225806452,0.75,0.0,0.0
2,14,18,4,0,12,0.6,1.0,0.999927520752,0.0
3,14,26,2,2,4,0.866666666667,0.5,0.999927520752,0.0
4,14,28,4,0,2,0.933333333333,1.0,0.999927520752,0.0
5,14,17,3,1,13,0.566666666667,0.75,0.0,0.0
6,14,26,3,0,4,0.866666666667,1.0,0.0,0.0
7,14,29,3,0,1,0.966666666667,1.0,0.999927520752,0.0
8,14,30,2,1,0,1.0,0.666666666667,0.999927520752,0.0
9,14,27,1,2,3,0.9,0.333333333333,1.00016593933,0.0
10,14,27,3,0,3,0.9,1.0,0.999927520752,0.0
1,17,28,3,1,3,0.903225806452,0.75,0.999927520752,0.0
2,17,18,4,0,12,0.6,1.0,0.0,0.999927520752
3,17,26,2,2,4,0.866666666667,0.5,0.0,0.0
4,17,28,4,0,2,0.933333333333,1.0,0.0,0.999927520752
5,17,17,3,1,13,0.566666666667,0.75,0.999927520752,0.0
6,17,26,3,0,4,0.866666666667,1.0,1.00016593933,0.0
7,17,29,3,0,1,0.966666666667,1.0,1.00016593933,0.0
8,17,30,2,1,0,1.0,0.666666666667,0.0,0.0
9,17,27,1,2,3,0.9,0.333333333333,0.999927520752,0.0
10,17,27,3,0,3,0.9,1.0,0.0,0.999927520752
