Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,158,3,0,1,0.993710691824,1.0,10801.9998074,12.0000839233
2,5,155,2,0,4,0.974842767296,1.0,10635.999918,11.0001564026
3,5,157,2,0,2,0.987421383648,1.0,10881.000042,12.0000839233
4,5,158,2,0,1,0.993710691824,1.0,10968.9998627,11.0001564026
5,5,159,1,1,0,1.0,0.5,10547.0001698,9.99999046326
6,5,158,2,0,1,0.993710691824,1.0,10683.9997768,11.0001564026
7,5,158,1,1,1,0.993710691824,0.5,10619.9998856,10.999917984
8,5,158,2,0,1,0.993710691824,1.0,10621.0000515,10.999917984
9,5,159,2,0,0,1.0,1.0,10811.0001087,10.999917984
10,5,154,2,0,4,0.974683544304,1.0,10532.9999924,12.0000839233
1,8,158,3,0,1,0.993710691824,1.0,11949.0001202,10.999917984
2,8,155,2,0,4,0.974842767296,1.0,11689.0001297,11.9998455048
3,8,157,2,0,2,0.987421383648,1.0,12111.9999886,12.0000839233
4,8,158,2,0,1,0.993710691824,1.0,12382.999897,12.0000839233
5,8,159,1,1,0,1.0,0.5,11512.0000839,9.99999046326
6,8,158,2,0,1,0.993710691824,1.0,11861.9999886,12.0000839233
7,8,158,1,1,1,0.993710691824,0.5,11617.9997921,11.0001564026
8,8,158,2,0,1,0.993710691824,1.0,11695.9998608,12.0000839233
9,8,159,2,0,0,1.0,1.0,12007.999897,12.0000839233
10,8,154,2,0,4,0.974683544304,1.0,11538.0001068,13.0000114441
1,11,158,3,0,1,0.993710691824,1.0,13170.0000763,12.0000839233
2,11,155,2,0,4,0.974842767296,1.0,12813.0002022,13.0000114441
3,11,157,2,0,2,0.987421383648,1.0,13241.0001755,13.0000114441
4,11,158,2,0,1,0.993710691824,1.0,13690.9999847,13.0000114441
5,11,159,1,1,0,1.0,0.5,12513.999939,11.0001564026
6,11,158,2,0,1,0.993710691824,1.0,12897.0000744,12.0000839233
7,11,158,1,1,1,0.993710691824,0.5,12702.9998302,12.0000839233
8,11,158,2,0,1,0.993710691824,1.0,12928.9999008,12.0000839233
9,11,159,2,0,0,1.0,1.0,13133.9998245,12.0000839233
10,11,154,2,0,4,0.974683544304,1.0,12552.0000458,13.0000114441
1,14,158,3,0,1,0.993710691824,1.0,14308.0000877,13.0000114441
2,14,155,2,0,4,0.974842767296,1.0,13957.0000172,13.9999389648
3,14,157,2,0,2,0.987421383648,1.0,14505.0001144,11.9998455048
4,14,158,2,0,1,0.993710691824,1.0,14999.0000725,12.0000839233
5,14,159,1,1,0,1.0,0.5,13393.0001259,11.9998455048
6,14,158,2,0,1,0.993710691824,1.0,14033.9999199,12.0000839233
7,14,158,1,1,1,0.993710691824,0.5,13697.9999542,11.9998455048
8,14,158,2,0,1,0.993710691824,1.0,13858.9999676,12.0000839233
9,14,159,2,0,0,1.0,1.0,14292.9999828,12.0000839233
10,14,154,2,0,4,0.974683544304,1.0,13578.0000687,13.9999389648
1,17,158,3,0,1,0.993710691824,1.0,15426.0001183,14.9998664856
2,17,155,2,0,4,0.974842767296,1.0,14940.0000572,15.0001049042
3,17,157,2,0,2,0.987421383648,1.0,15632.999897,13.0000114441
4,17,158,2,0,1,0.993710691824,1.0,16296.9999313,12.0000839233
5,17,159,1,1,0,1.0,0.5,14441.9999123,12.0000839233
6,17,158,2,0,1,0.993710691824,1.0,15037.0001793,13.0000114441
7,17,158,1,1,1,0.993710691824,0.5,14708.0001831,11.9998455048
8,17,158,2,0,1,0.993710691824,1.0,14884.9999905,13.0000114441
9,17,159,2,0,0,1.0,1.0,15473.9999771,13.0000114441
10,17,154,2,0,4,0.974683544304,1.0,14557.9998493,13.9999389648
