Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,159,3,0,0,1.0,1.0,33101.9999981,11.0001564026
2,5,159,2,0,0,1.0,1.0,33060.0001812,10.999917984
3,5,158,2,0,1,0.993710691824,1.0,33000.9999275,12.0000839233
4,5,159,2,0,0,1.0,1.0,32992.000103,10.999917984
5,5,159,1,1,0,1.0,0.5,33074.0001202,10.999917984
6,5,159,2,0,0,1.0,1.0,32953.0000687,11.0001564026
7,5,159,1,1,0,1.0,0.5,32957.0000172,9.99999046326
8,5,159,2,0,0,1.0,1.0,33145.9999084,11.0001564026
9,5,159,2,0,0,1.0,1.0,32922.0001698,10.999917984
10,5,158,1,1,0,1.0,0.5,32950.9999752,9.99999046326
1,8,159,3,0,0,1.0,1.0,36239.000082,11.9998455048
2,8,159,2,0,0,1.0,1.0,36184.0000153,11.0001564026
3,8,158,2,0,1,0.993710691824,1.0,36223.9999771,12.0000839233
4,8,159,2,0,0,1.0,1.0,36263.999939,11.0001564026
5,8,159,1,1,0,1.0,0.5,36171.0000038,11.0001564026
6,8,159,2,0,0,1.0,1.0,36250.0,11.0001564026
7,8,159,1,1,0,1.0,0.5,36258.0001354,10.999917984
8,8,159,2,0,0,1.0,1.0,36497.9999065,11.0001564026
9,8,159,2,0,0,1.0,1.0,36162.9998684,10.999917984
10,8,158,1,1,0,1.0,0.5,36213.9999866,11.0001564026
1,11,159,3,0,0,1.0,1.0,39597.0001221,11.9998455048
2,11,159,2,0,0,1.0,1.0,39548.0000973,11.9998455048
3,11,158,2,0,1,0.993710691824,1.0,39529.0000439,11.9998455048
4,11,159,2,0,0,1.0,1.0,39539.0000343,10.999917984
5,11,159,1,1,0,1.0,0.5,39534.0001583,10.999917984
6,11,159,2,0,0,1.0,1.0,39601.0000706,12.0000839233
7,11,159,1,1,0,1.0,0.5,39275.0000954,10.999917984
8,11,159,2,0,0,1.0,1.0,39777.9998779,11.0001564026
9,11,159,2,0,0,1.0,1.0,39444.0000057,10.999917984
10,11,158,1,1,0,1.0,0.5,39324.0001202,10.999917984
1,14,159,3,0,0,1.0,1.0,42892.9998875,12.0000839233
2,14,159,2,0,0,1.0,1.0,42767.9998875,16.0000324249
3,14,158,2,0,1,0.993710691824,1.0,42661.0000134,11.9998455048
4,14,159,2,0,0,1.0,1.0,42969.0001011,10.999917984
5,14,159,1,1,0,1.0,0.5,42907.9999924,10.999917984
6,14,159,2,0,0,1.0,1.0,42651.9999504,12.0000839233
7,14,159,1,1,0,1.0,0.5,42501.0001659,11.9998455048
8,14,159,2,0,0,1.0,1.0,43105.0000191,10.999917984
9,14,159,2,0,0,1.0,1.0,42858.9999676,12.0000839233
10,14,158,1,1,0,1.0,0.5,42542.9999828,12.0000839233
1,17,159,3,0,0,1.0,1.0,46430.9999943,13.9999389648
2,17,159,2,0,0,1.0,1.0,45997.9999065,12.0000839233
3,17,158,2,0,1,0.993710691824,1.0,45863.0001545,13.0000114441
4,17,159,2,0,0,1.0,1.0,46004.999876,12.0000839233
5,17,159,1,1,0,1.0,0.5,46072.0000267,10.999917984
6,17,159,2,0,0,1.0,1.0,45805.9999943,12.0000839233
7,17,159,1,1,0,1.0,0.5,45704.9999237,10.999917984
8,17,159,2,0,0,1.0,1.0,46354.0000916,12.0000839233
9,17,159,2,0,0,1.0,1.0,45877.0000935,12.0000839233
10,17,158,1,1,0,1.0,0.5,45712.0001316,11.9998455048
