Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,159,3,0,0,1.0,1.0,12927.0000458,13.0000114441
2,5,159,2,0,0,1.0,1.0,13532.9999924,12.0000839233
3,5,159,2,0,0,1.0,1.0,13056.9999218,10.999917984
4,5,159,2,0,0,1.0,1.0,12944.9999332,10.999917984
5,5,159,2,0,0,1.0,1.0,13354.0000916,12.0000839233
6,5,159,2,0,0,1.0,1.0,12939.9998188,12.0000839233
7,5,159,2,0,0,1.0,1.0,12994.9998856,11.0001564026
8,5,159,2,0,0,1.0,1.0,13029.9999714,10.999917984
9,5,159,2,0,0,1.0,1.0,12911.0000134,12.0000839233
10,5,158,2,0,0,1.0,1.0,12973.9999771,10.999917984
1,8,159,3,0,0,1.0,1.0,14651.0000229,10.999917984
2,8,159,2,0,0,1.0,1.0,14592.0000076,11.0001564026
3,8,159,2,0,0,1.0,1.0,14436.0001087,11.9998455048
4,8,159,2,0,0,1.0,1.0,16940.9999847,12.0000839233
5,8,159,2,0,0,1.0,1.0,14552.0000458,11.9998455048
6,8,159,2,0,0,1.0,1.0,14559.9999428,13.0000114441
7,8,159,2,0,0,1.0,1.0,14536.9999409,12.0000839233
8,8,159,2,0,0,1.0,1.0,15684.0000153,11.9998455048
9,8,159,2,0,0,1.0,1.0,15004.999876,12.0000839233
10,8,158,2,0,0,1.0,1.0,14848.9999771,10.999917984
1,11,159,3,0,0,1.0,1.0,15584.0001106,13.0000114441
2,11,159,2,0,0,1.0,1.0,15273.0000019,11.9998455048
3,11,159,2,0,0,1.0,1.0,15305.9999943,10.999917984
4,11,159,2,0,0,1.0,1.0,15361.9999886,12.0000839233
5,11,159,2,0,0,1.0,1.0,15278.9998055,12.0000839233
6,11,159,2,0,0,1.0,1.0,15330.0001621,11.9998455048
7,11,159,2,0,0,1.0,1.0,15492.000103,12.0000839233
8,11,159,2,0,0,1.0,1.0,15372.9999065,12.0000839233
9,11,159,2,0,0,1.0,1.0,15293.9999104,12.0000839233
10,11,158,2,0,0,1.0,1.0,15279.9999714,12.0000839233
1,14,159,3,0,0,1.0,1.0,16743.0000305,12.0000839233
2,14,159,2,0,0,1.0,1.0,16796.0000038,13.0000114441
3,14,159,2,0,0,1.0,1.0,16931.9999218,12.0000839233
4,14,159,2,0,0,1.0,1.0,16730.0000191,12.0000839233
5,14,159,2,0,0,1.0,1.0,16759.9999905,13.0000114441
6,14,159,2,0,0,1.0,1.0,16780.9998989,13.0000114441
7,14,159,2,0,0,1.0,1.0,16742.000103,11.9998455048
8,14,159,2,0,0,1.0,1.0,16845.0000286,12.0000839233
9,14,159,2,0,0,1.0,1.0,16792.0000553,11.9998455048
10,14,158,2,0,0,1.0,1.0,16809.9999428,11.9998455048
1,17,159,3,0,0,1.0,1.0,18170.0000763,13.0000114441
2,17,159,2,0,0,1.0,1.0,18209.0001106,11.9998455048
3,17,159,2,0,0,1.0,1.0,18690.0000572,13.0000114441
4,17,159,2,0,0,1.0,1.0,18193.0000782,13.0000114441
5,17,159,2,0,0,1.0,1.0,18204.9999237,12.0000839233
6,17,159,2,0,0,1.0,1.0,18251.999855,13.0000114441
7,17,159,2,0,0,1.0,1.0,18214.9999142,13.0000114441
8,17,159,2,0,0,1.0,1.0,18198.9998817,13.0000114441
9,17,159,2,0,0,1.0,1.0,18327.9998302,12.0000839233
10,17,158,2,0,0,1.0,1.0,18417.9999828,13.0000114441
