Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,159,2,1,0,1.0,0.666666666667,4825.00004768,9.99999046326
2,5,159,2,0,0,1.0,1.0,4815.99998474,10.999917984
3,5,159,2,0,0,1.0,1.0,4789.99996185,11.0001564026
4,5,159,2,0,0,1.0,1.0,4799.0000248,10.999917984
5,5,159,1,1,0,1.0,0.5,4800.99987984,9.99999046326
6,5,159,2,0,0,1.0,1.0,4791.00012779,10.999917984
7,5,159,2,0,0,1.0,1.0,4789.99996185,10.999917984
8,5,157,2,0,2,0.987421383648,1.0,4789.99996185,10.999917984
9,5,159,2,0,0,1.0,1.0,4791.00012779,10.999917984
10,5,157,1,1,1,0.993670886076,0.5,4800.99987984,11.0001564026
1,8,159,2,1,0,1.0,0.666666666667,5335.99996567,10.999917984
2,8,159,2,0,0,1.0,1.0,5275.00009537,10.999917984
3,8,159,2,0,0,1.0,1.0,5270.99990845,12.0000839233
4,8,159,2,0,0,1.0,1.0,5282.99999237,11.9998455048
5,8,159,1,1,0,1.0,0.5,5299.0000248,9.99999046326
6,8,159,2,0,0,1.0,1.0,5299.0000248,10.999917984
7,8,159,2,0,0,1.0,1.0,5286.99994087,12.0000839233
8,8,157,2,0,2,0.987421383648,1.0,5302.00004578,12.0000839233
9,8,159,2,0,0,1.0,1.0,5294.00014877,10.999917984
10,8,157,1,1,1,0.993670886076,0.5,5368.99995804,10.999917984
1,11,159,2,1,0,1.0,0.666666666667,5796.99993134,10.999917984
2,11,159,2,0,0,1.0,1.0,5819.99993324,12.0000839233
3,11,159,2,0,0,1.0,1.0,5776.00002289,10.999917984
4,11,159,2,0,0,1.0,1.0,5799.0000248,13.0000114441
5,11,159,1,1,0,1.0,0.5,5782.99999237,11.0001564026
6,11,159,2,0,0,1.0,1.0,5768.99981499,12.0000839233
7,11,159,2,0,0,1.0,1.0,5777.99987793,11.0001564026
8,11,157,2,0,2,0.987421383648,1.0,5788.99979591,14.0001773834
9,11,159,2,0,0,1.0,1.0,5788.99979591,12.0000839233
10,11,157,1,1,1,0.993670886076,0.5,5761.9998455,12.0000839233
1,14,159,2,1,0,1.0,0.666666666667,6305.99999428,12.0000839233
2,14,159,2,0,0,1.0,1.0,6286.99994087,12.0000839233
3,14,159,2,0,0,1.0,1.0,6253.9999485,11.9998455048
4,14,159,2,0,0,1.0,1.0,6266.00003242,12.0000839233
5,14,159,1,1,0,1.0,0.5,6292.99998283,10.999917984
6,14,159,2,0,0,1.0,1.0,6257.999897,12.0000839233
7,14,159,2,0,0,1.0,1.0,6249.00007248,12.0000839233
8,14,157,2,0,2,0.987421383648,1.0,6336.99989319,13.0000114441
9,14,159,2,0,0,1.0,1.0,6330.00016212,11.9998455048
10,14,157,1,1,1,0.993670886076,0.5,6262.00008392,12.0000839233
1,17,159,2,1,0,1.0,0.666666666667,6965.00015259,12.0000839233
2,17,159,2,0,0,1.0,1.0,6898.00000191,13.0000114441
3,17,159,2,0,0,1.0,1.0,6858.99996758,12.0000839233
4,17,159,2,0,0,1.0,1.0,6884.99999046,11.9998455048
5,17,159,1,1,0,1.0,0.5,6973.99997711,11.0001564026
6,17,159,2,0,0,1.0,1.0,6928.00021172,11.9998455048
7,17,159,2,0,0,1.0,1.0,6930.00006676,11.9998455048
8,17,157,2,0,2,0.987421383648,1.0,6868.99995804,13.0000114441
9,17,159,2,0,0,1.0,1.0,6907.99999237,11.9998455048
10,17,157,1,1,1,0.993670886076,0.5,6881.99996948,13.0000114441
