Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,159,3,0,0,1.0,1.0,12592.0000076,13.9999389648
2,5,159,2,0,0,1.0,1.0,12792.9999828,13.0000114441
3,5,159,2,0,0,1.0,1.0,12773.0000019,13.0000114441
4,5,159,2,0,0,1.0,1.0,12710.0000381,13.0000114441
5,5,159,1,1,0,1.0,0.5,12592.0000076,13.0000114441
6,5,159,2,0,0,1.0,1.0,12720.0000286,13.0000114441
7,5,159,2,0,0,1.0,1.0,12579.9999237,13.0000114441
8,5,159,2,0,0,1.0,1.0,12823.9998817,14.0001773834
9,5,159,2,0,0,1.0,1.0,12695.0001717,13.0000114441
10,5,157,2,0,1,0.993670886076,1.0,12352.9999256,13.9999389648
1,8,159,3,0,0,1.0,1.0,13834.9997997,14.0001773834
2,8,159,2,0,0,1.0,1.0,13884.0000629,13.9999389648
3,8,159,2,0,0,1.0,1.0,14077.9998302,14.0001773834
4,8,159,2,0,0,1.0,1.0,14171.0000038,14.0001773834
5,8,159,1,1,0,1.0,0.5,13703.9999962,13.0000114441
6,8,159,2,0,0,1.0,1.0,13982.9998016,14.0001773834
7,8,159,2,0,0,1.0,1.0,13724.0002155,12.9997730255
8,8,159,2,0,0,1.0,1.0,13950.9999752,14.0001773834
9,8,159,2,0,0,1.0,1.0,13911.9999409,13.9999389648
10,8,157,2,0,1,0.993670886076,1.0,13403.0001163,13.9999389648
1,11,159,3,0,0,1.0,1.0,15686.0001087,13.9999389648
2,11,159,2,0,0,1.0,1.0,15883.9998245,15.0001049042
3,11,159,2,0,0,1.0,1.0,16051.0001183,14.9998664856
4,11,159,2,0,0,1.0,1.0,15811.0001087,14.9998664856
5,11,159,1,1,0,1.0,0.5,15448.0001926,14.9998664856
6,11,159,2,0,0,1.0,1.0,15853.000164,14.9998664856
7,11,159,2,0,0,1.0,1.0,15516.0000324,16.0000324249
8,11,159,2,0,0,1.0,1.0,15867.9997921,15.0001049042
9,11,159,2,0,0,1.0,1.0,15776.0000229,13.9999389648
10,11,157,2,0,1,0.993670886076,1.0,15069.0000057,13.9999389648
1,14,159,3,0,0,1.0,1.0,16164.0000343,15.0001049042
2,14,159,2,0,0,1.0,1.0,16361.9999886,15.0001049042
3,14,159,2,0,0,1.0,1.0,16627.0000935,13.9999389648
4,14,159,2,0,0,1.0,1.0,16387.0000839,13.9999389648
5,14,159,1,1,0,1.0,0.5,15923.0000973,13.9999389648
6,14,159,2,0,0,1.0,1.0,16447.9999542,13.9999389648
7,14,159,2,0,0,1.0,1.0,15963.9999866,13.9999389648
8,14,159,2,0,0,1.0,1.0,16447.9999542,14.9998664856
9,14,159,2,0,0,1.0,1.0,16404.9999714,15.0001049042
10,14,157,2,0,1,0.993670886076,1.0,15489.000082,16.0000324249
1,17,159,3,0,0,1.0,1.0,17371.999979,16.0000324249
2,17,159,2,0,0,1.0,1.0,17486.000061,14.9998664856
3,17,159,2,0,0,1.0,1.0,17881.9999695,15.0001049042
4,17,159,2,0,0,1.0,1.0,17529.0000439,13.9999389648
5,17,159,1,1,0,1.0,0.5,17095.0000286,13.9999389648
6,17,159,2,0,0,1.0,1.0,17665.0002003,13.9999389648
7,17,159,2,0,0,1.0,1.0,17099.9999046,14.0001773834
8,17,159,2,0,0,1.0,1.0,17702.0001411,14.9998664856
9,17,159,2,0,0,1.0,1.0,17562.0000362,13.9999389648
10,17,157,2,0,1,0.993670886076,1.0,16517.0001984,15.9997940063
