Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,284,9,0,2,0.993006993007,1.0,20625.9999275,23.0000019073
2,5,285,8,0,1,0.996503496503,1.0,20467.9999352,22.0000743866
3,5,285,8,0,1,0.996503496503,1.0,20420.0000763,23.0000019073
4,5,286,7,1,0,1.0,0.875,20085.0000381,23.0000019073
5,5,285,7,1,0,1.0,0.875,20536.0000134,24.0001678467
6,5,283,7,1,2,0.99298245614,0.875,20180.9999943,23.0000019073
7,5,278,8,0,7,0.975438596491,1.0,20130.9998035,24.0001678467
8,5,285,8,0,0,1.0,1.0,20278.9998055,22.0000743866
9,5,281,8,0,4,0.985964912281,1.0,20114.000082,23.0000019073
10,5,285,8,0,0,1.0,1.0,20128.000021,22.0000743866
1,8,284,9,0,2,0.993006993007,1.0,22609.9998951,24.0001678467
2,8,285,8,0,1,0.996503496503,1.0,22213.0000591,23.9999294281
3,8,285,8,0,1,0.996503496503,1.0,22149.0001678,23.9999294281
4,8,286,7,1,0,1.0,0.875,21909.9998474,24.0001678467
5,8,285,7,1,0,1.0,0.875,22601.0000706,23.0000019073
6,8,283,7,1,2,0.99298245614,0.875,21782.9999924,23.9999294281
7,8,278,8,0,7,0.975438596491,1.0,21612.9999161,25.0000953674
8,8,285,8,0,0,1.0,1.0,22172.9998589,23.0000019073
9,8,281,8,0,4,0.985964912281,1.0,21565.9999847,25.0000953674
10,8,285,8,0,0,1.0,1.0,21855.0000191,23.9999294281
1,11,284,9,0,2,0.993006993007,1.0,24425.9998798,25.0000953674
2,11,285,8,0,1,0.996503496503,1.0,23960.9999657,24.9998569489
3,11,285,8,0,1,0.996503496503,1.0,23944.9999332,24.0001678467
4,11,286,7,1,0,1.0,0.875,23247.9999065,23.9999294281
5,11,285,7,1,0,1.0,0.875,24357.0001125,23.9999294281
6,11,283,7,1,2,0.99298245614,0.875,23346.9998837,24.0001678467
7,11,278,8,0,7,0.975438596491,1.0,22914.0000343,26.9999504089
8,11,285,8,0,0,1.0,1.0,23718.0001736,24.9998569489
9,11,281,8,0,4,0.985964912281,1.0,23119.9998856,26.0000228882
10,11,285,8,0,0,1.0,1.0,23230.0000191,23.9999294281
1,14,284,9,0,2,0.993006993007,1.0,26417.0000553,26.0000228882
2,14,285,8,0,1,0.996503496503,1.0,25753.9999485,25.0000953674
3,14,285,8,0,1,0.996503496503,1.0,25553.9999008,26.0000228882
4,14,286,7,1,0,1.0,0.875,24820.9998608,24.0001678467
5,14,285,7,1,0,1.0,0.875,26190.0000572,23.9999294281
6,14,283,7,1,2,0.99298245614,0.875,25021.0001469,24.9998569489
7,14,278,8,0,7,0.975438596491,1.0,24525.0000954,27.9998779297
8,14,285,8,0,0,1.0,1.0,25265.999794,25.0000953674
9,14,281,8,0,4,0.985964912281,1.0,24657.9999924,26.9999504089
10,14,285,8,0,0,1.0,1.0,24819.0000057,25.0000953674
1,17,284,9,0,2,0.993006993007,1.0,28212.0001316,27.9998779297
2,17,285,8,0,1,0.996503496503,1.0,28187.0000362,26.0000228882
3,17,285,8,0,1,0.996503496503,1.0,28450.0000477,27.9998779297
4,17,286,7,1,0,1.0,0.875,28377.9997826,26.0000228882
5,17,285,7,1,0,1.0,0.875,29345.9999561,26.0000228882
6,17,283,7,1,2,0.99298245614,0.875,27998.000145,26.9999504089
7,17,278,8,0,7,0.975438596491,1.0,27733.9999676,32.9999923706
8,17,285,8,0,0,1.0,1.0,29724.9999046,28.0001163483
9,17,281,8,0,4,0.985964912281,1.0,27135.999918,26.9999504089
10,17,285,8,0,0,1.0,1.0,26334.0001106,26.0000228882
