Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,281,9,0,5,0.982517482517,1.0,67132.999897,24.0001678467
2,5,285,8,0,1,0.996503496503,1.0,67974.9999046,23.0000019073
3,5,284,8,0,2,0.993006993007,1.0,68521.0001469,23.0000019073
4,5,285,8,0,1,0.996503496503,1.0,67650.0000954,23.0000019073
5,5,285,8,0,0,1.0,1.0,66148.9999294,22.0000743866
6,5,284,8,0,1,0.99649122807,1.0,65792.9999828,21.999835968
7,5,284,8,0,1,0.99649122807,1.0,63582.9999447,22.0000743866
8,5,285,8,0,0,1.0,1.0,66865.9999371,23.0000019073
9,5,273,8,0,12,0.957894736842,1.0,63897.0000744,23.9999294281
10,5,285,8,0,0,1.0,1.0,65304.9998283,23.0000019073
1,8,281,9,0,5,0.982517482517,1.0,75036.0000134,23.9999294281
2,8,285,8,0,1,0.996503496503,1.0,76588.0000591,23.9999294281
3,8,284,8,0,2,0.993006993007,1.0,77941.9999123,23.9999294281
4,8,285,8,0,1,0.996503496503,1.0,76342.9999352,24.0001678467
5,8,285,8,0,0,1.0,1.0,73686.9997978,23.0000019073
6,8,284,8,0,1,0.99649122807,1.0,72929.0001392,23.0000019073
7,8,284,8,0,1,0.99649122807,1.0,69418.0002213,23.9999294281
8,8,285,8,0,0,1.0,1.0,74903.9998055,24.0001678467
9,8,273,8,0,12,0.957894736842,1.0,69885.999918,26.9999504089
10,8,285,8,0,0,1.0,1.0,72161.0000134,23.9999294281
1,11,281,9,0,5,0.982517482517,1.0,83013.0000114,26.0000228882
2,11,285,8,0,1,0.996503496503,1.0,85414.0000343,24.9998569489
3,11,284,8,0,2,0.993006993007,1.0,86968.9998627,25.0000953674
4,11,285,8,0,1,0.996503496503,1.0,84908.9999199,23.9999294281
5,11,285,8,0,0,1.0,1.0,81091.0000801,25.0000953674
6,11,284,8,0,1,0.99649122807,1.0,80019.0000534,23.9999294281
7,11,284,8,0,1,0.99649122807,1.0,75060.0001812,23.9999294281
8,11,285,8,0,0,1.0,1.0,82888.0000114,23.9999294281
9,11,273,8,0,12,0.957894736842,1.0,75806.9999218,29.000043869
10,11,285,8,0,0,1.0,1.0,78823.9998817,24.0001678467
1,14,281,9,0,5,0.982517482517,1.0,91098.9999771,29.000043869
2,14,285,8,0,1,0.996503496503,1.0,93950.9999752,26.0000228882
3,14,284,8,0,2,0.993006993007,1.0,96082.0000172,24.9998569489
4,14,285,8,0,1,0.996503496503,1.0,93451.9999027,25.0000953674
5,14,285,8,0,0,1.0,1.0,88075.0000477,24.9998569489
6,14,284,8,0,1,0.99649122807,1.0,87094.0001011,25.9997844696
7,14,284,8,0,1,0.99649122807,1.0,80818.0000782,26.0000228882
8,14,285,8,0,0,1.0,1.0,90929.9998283,25.0000953674
9,14,273,8,0,12,0.957894736842,1.0,81409.9998474,31.0001373291
10,14,285,8,0,0,1.0,1.0,85628.9999485,25.0000953674
1,17,281,9,0,5,0.982517482517,1.0,98993.0000305,29.9999713898
2,17,285,8,0,1,0.996503496503,1.0,102148.999929,26.0000228882
3,17,284,8,0,2,0.993006993007,1.0,104946.000099,27.9998779297
4,17,285,8,0,1,0.996503496503,1.0,102041.000128,26.9999504089
5,17,285,8,0,0,1.0,1.0,95466.0000801,25.9997844696
6,17,284,8,0,1,0.99649122807,1.0,94400.0000954,26.9999504089
7,17,284,8,0,1,0.99649122807,1.0,86117.000103,26.0000228882
8,17,285,8,0,0,1.0,1.0,99025.0000954,26.0000228882
9,17,273,8,0,12,0.957894736842,1.0,87543.9999104,32.9999923706
10,17,285,8,0,0,1.0,1.0,92163.0001068,24.9998569489
