Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,268,9,0,18,0.937062937063,1.0,26921.0000038,26.0000228882
2,5,267,8,0,19,0.933566433566,1.0,26528.0001163,26.0000228882
3,5,261,8,0,25,0.912587412587,1.0,27690.9999847,26.9999504089
4,5,265,8,0,21,0.926573426573,1.0,26650.0000954,26.0000228882
5,5,270,8,0,15,0.947368421053,1.0,26875.9999275,26.0000228882
6,5,263,8,0,22,0.922807017544,1.0,26496.999979,27.0001888275
7,5,262,8,0,23,0.919298245614,1.0,26743.999958,26.9999504089
8,5,259,8,0,26,0.908771929825,1.0,26717.9999352,28.0001163483
9,5,266,8,0,19,0.933333333333,1.0,26515.0001049,26.0000228882
10,5,264,8,0,21,0.926315789474,1.0,26732.0001125,26.9999504089
1,8,268,9,0,18,0.937062937063,1.0,31201.9999027,29.000043869
2,8,267,8,0,19,0.933566433566,1.0,30870.000124,29.000043869
3,8,261,8,0,25,0.912587412587,1.0,30317.9998398,30.0002098083
4,8,265,8,0,21,0.926573426573,1.0,30470.0000286,29.9999713898
5,8,270,8,0,15,0.947368421053,1.0,30608.0000401,27.9998779297
6,8,263,8,0,22,0.922807017544,1.0,30298.0000973,29.000043869
7,8,262,8,0,23,0.919298245614,1.0,30302.0000458,29.9999713898
8,8,259,8,0,26,0.908771929825,1.0,30546.9999313,32.9999923706
9,8,266,8,0,19,0.933333333333,1.0,30779.9999714,29.000043869
10,8,264,8,0,21,0.926315789474,1.0,30513.0000114,29.9999713898
1,11,268,9,0,18,0.937062937063,1.0,34246.999979,32.9999923706
2,11,267,8,0,19,0.933566433566,1.0,34190.9999847,32.9999923706
3,11,261,8,0,25,0.912587412587,1.0,34310.9998703,35.0000858307
4,11,265,8,0,21,0.926573426573,1.0,34355.9999466,32.9999923706
5,11,270,8,0,15,0.947368421053,1.0,34463.9999866,29.9999713898
6,11,263,8,0,22,0.922807017544,1.0,34110.0001335,37.9998683929
7,11,262,8,0,23,0.919298245614,1.0,34246.0000515,33.9999198914
8,11,259,8,0,26,0.908771929825,1.0,34142.9998875,33.9999198914
9,11,266,8,0,19,0.933333333333,1.0,34238.9998436,32.9999923706
10,11,264,8,0,21,0.926315789474,1.0,37652.0001888,31.9998264313
1,14,268,9,0,18,0.937062937063,1.0,37914.9999619,35.0000858307
2,14,267,8,0,19,0.933566433566,1.0,38184.9999428,38.0001068115
3,14,261,8,0,25,0.912587412587,1.0,38308.0000877,38.9997959137
4,14,265,8,0,21,0.926573426573,1.0,38431.9999218,36.0000133514
5,14,270,8,0,15,0.947368421053,1.0,38105.9999466,32.0000648499
6,14,263,8,0,22,0.922807017544,1.0,38056.9999218,36.0000133514
7,14,262,8,0,23,0.919298245614,1.0,38190.0000572,36.9999408722
8,14,259,8,0,26,0.908771929825,1.0,39578.0000687,38.9997959137
9,14,266,8,0,19,0.933333333333,1.0,38132.999897,36.0000133514
10,14,264,8,0,21,0.926315789474,1.0,38457.9999447,36.0000133514
1,17,268,9,0,18,0.937062937063,1.0,41953.0000687,37.9998683929
2,17,267,8,0,19,0.933566433566,1.0,42066.9999123,37.9998683929
3,17,261,8,0,25,0.912587412587,1.0,41911.9999409,42.9999828339
4,17,265,8,0,21,0.926573426573,1.0,42085.9999657,39.0000343323
5,17,270,8,0,15,0.947368421053,1.0,42460.9999657,36.0000133514
6,17,263,8,0,22,0.922807017544,1.0,41739.000082,39.0000343323
7,17,262,8,0,23,0.919298245614,1.0,41864.000082,40.9998893738
8,17,259,8,0,26,0.908771929825,1.0,41550.9998798,42.0000553131
9,17,266,8,0,19,0.933333333333,1.0,41774.0001678,36.9999408722
10,17,264,8,0,21,0.926315789474,1.0,42121.999979,38.0001068115
