Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,285,8,1,1,0.996503496503,0.888888888889,9776.00002289,23.0000019073
2,5,281,8,0,5,0.982517482517,1.0,9375.99992752,23.0000019073
3,5,284,8,0,2,0.993006993007,1.0,9296.99993134,23.0000019073
4,5,286,7,1,0,1.0,0.875,9391.99995995,22.0000743866
5,5,285,8,0,0,1.0,1.0,9247.99990654,22.0000743866
6,5,275,8,0,10,0.964912280702,1.0,9388.99993896,23.9999294281
7,5,272,8,0,13,0.954385964912,1.0,9276.00002289,25.0000953674
8,5,283,8,0,2,0.99298245614,1.0,9503.00002098,23.0000019073
9,5,283,7,1,2,0.99298245614,0.875,9322.0000267,22.0000743866
10,5,275,8,0,10,0.964912280702,1.0,9290.99988937,24.0001678467
1,8,285,8,1,1,0.996503496503,0.888888888889,11068.0000782,23.9999294281
2,8,281,8,0,5,0.982517482517,1.0,10286.9999409,24.9998569489
3,8,284,8,0,2,0.993006993007,1.0,10144.9999809,24.0001678467
4,8,286,7,1,0,1.0,0.875,10449.9998093,23.0000019073
5,8,285,8,0,0,1.0,1.0,10141.9999599,24.0001678467
6,8,275,8,0,10,0.964912280702,1.0,10305.0000668,26.0000228882
7,8,272,8,0,13,0.954385964912,1.0,10144.0000534,26.9999504089
8,8,283,8,0,2,0.99298245614,1.0,10449.9998093,24.0001678467
9,8,283,7,1,2,0.99298245614,0.875,10218.9998627,23.9999294281
10,8,275,8,0,10,0.964912280702,1.0,10286.0000134,25.0000953674
1,11,285,8,1,1,0.996503496503,0.888888888889,12391.9999599,24.9998569489
2,11,281,8,0,5,0.982517482517,1.0,11296.0000038,26.0000228882
3,11,284,8,0,2,0.993006993007,1.0,11070.9998608,25.0000953674
4,11,286,7,1,0,1.0,0.875,11526.0000229,23.9999294281
5,11,285,8,0,0,1.0,1.0,10973.0000496,23.9999294281
6,11,275,8,0,10,0.964912280702,1.0,11424.9999523,26.9999504089
7,11,272,8,0,13,0.954385964912,1.0,11098.0000496,29.000043869
8,11,283,8,0,2,0.99298245614,1.0,11542.0000553,25.0000953674
9,11,283,7,1,2,0.99298245614,0.875,11167.9999828,23.9999294281
10,11,275,8,0,10,0.964912280702,1.0,11065.0000572,27.9998779297
1,14,285,8,1,1,0.996503496503,0.888888888889,13625.9999275,25.0000953674
2,14,281,8,0,5,0.982517482517,1.0,12280.9998989,28.0001163483
3,14,284,8,0,2,0.993006993007,1.0,11991.0001755,24.9998569489
4,14,286,7,1,0,1.0,0.875,12550.0001907,26.0000228882
5,14,285,8,0,0,1.0,1.0,11873.000145,24.9998569489
6,14,275,8,0,10,0.964912280702,1.0,12342.9999352,29.000043869
7,14,272,8,0,13,0.954385964912,1.0,11832.9999447,31.0001373291
8,14,283,8,0,2,0.99298245614,1.0,12517.9998875,26.0000228882
9,14,283,7,1,2,0.99298245614,0.875,12085.9999657,25.0000953674
10,14,275,8,0,10,0.964912280702,1.0,12000.9999275,29.9999713898
1,17,285,8,1,1,0.996503496503,0.888888888889,15191.0002232,26.9999504089
2,17,281,8,0,5,0.982517482517,1.0,13457.9999447,29.000043869
3,17,284,8,0,2,0.993006993007,1.0,12973.9999771,26.9999504089
4,17,286,7,1,0,1.0,0.875,13647.0000744,25.9997844696
5,17,285,8,0,0,1.0,1.0,12972.0001221,24.9998569489
6,17,275,8,0,10,0.964912280702,1.0,13546.9999313,32.0000648499
7,17,272,8,0,13,0.954385964912,1.0,12864.000082,32.9999923706
8,17,283,8,0,2,0.99298245614,1.0,13739.000082,27.9998779297
9,17,283,7,1,2,0.99298245614,0.875,13266.0000324,28.0001163483
10,17,275,8,0,10,0.964912280702,1.0,13055.0000668,31.0001373291
