Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,283,9,0,3,0.98951048951,1.0,30353.000164,30.9998989105
2,5,285,8,0,1,0.996503496503,1.0,30256.9999695,29.9999713898
3,5,285,8,0,1,0.996503496503,1.0,30537.9998684,31.0001373291
4,5,284,8,0,2,0.993006993007,1.0,30008.0001354,30.9998989105
5,5,285,8,0,0,1.0,1.0,30476.9999981,29.9999713898
6,5,284,8,0,1,0.99649122807,1.0,30298.0000973,29.9999713898
7,5,284,8,0,1,0.99649122807,1.0,30549.0000248,31.0001373291
8,5,285,8,0,0,1.0,1.0,30358.0000401,29.9999713898
9,5,283,8,0,2,0.99298245614,1.0,30305.0000668,30.9998989105
10,5,285,8,0,0,1.0,1.0,30476.9999981,30.9998989105
1,8,283,9,0,3,0.98951048951,1.0,34887.0000839,31.9998264313
2,8,285,8,0,1,0.996503496503,1.0,34667.0000553,30.9998989105
3,8,285,8,0,1,0.996503496503,1.0,34640.0001049,30.9998989105
4,8,284,8,0,2,0.993006993007,1.0,34473.9999771,32.0000648499
5,8,285,8,0,0,1.0,1.0,34902.9998779,31.0001373291
6,8,284,8,0,1,0.99649122807,1.0,34665.9998894,31.0001373291
7,8,284,8,0,1,0.99649122807,1.0,34743.999958,30.9998989105
8,8,285,8,0,0,1.0,1.0,34674.0000248,30.9998989105
9,8,283,8,0,2,0.99298245614,1.0,34504.999876,31.0001373291
10,8,285,8,0,0,1.0,1.0,35061.0001087,30.9998989105
1,11,283,9,0,3,0.98951048951,1.0,40756.000042,36.9999408722
2,11,285,8,0,1,0.996503496503,1.0,40661.9999409,34.0001583099
3,11,285,8,0,1,0.996503496503,1.0,40531.0001373,33.9999198914
4,11,284,8,0,2,0.993006993007,1.0,39429.9998283,32.9999923706
5,11,285,8,0,0,1.0,1.0,39621.999979,34.0001583099
6,11,284,8,0,1,0.99649122807,1.0,40753.000021,34.0001583099
7,11,284,8,0,1,0.99649122807,1.0,40849.9999046,33.9999198914
8,11,285,8,0,0,1.0,1.0,40852.9999256,33.0002307892
9,11,283,8,0,2,0.99298245614,1.0,40369.9998856,34.0001583099
10,11,285,8,0,0,1.0,1.0,41150.9997845,32.9999923706
1,14,283,9,0,3,0.98951048951,1.0,43828.0000687,36.0000133514
2,14,285,8,0,1,0.996503496503,1.0,43487.9999161,35.0000858307
3,14,285,8,0,1,0.996503496503,1.0,43375.9999275,36.0000133514
4,14,284,8,0,2,0.993006993007,1.0,43315.0000572,34.9998474121
5,14,285,8,0,0,1.0,1.0,44101.9999981,32.9999923706
6,14,284,8,0,1,0.99649122807,1.0,43805.0000668,34.9998474121
7,14,284,8,0,1,0.99649122807,1.0,43878.9999485,34.0001583099
8,14,285,8,0,0,1.0,1.0,44404.0000439,32.9999923706
9,14,283,8,0,2,0.99298245614,1.0,43322.0000267,35.0000858307
10,14,285,8,0,0,1.0,1.0,44385.999918,32.9999923706
1,17,283,9,0,3,0.98951048951,1.0,48317.0001507,38.9997959137
2,17,285,8,0,1,0.996503496503,1.0,48003.9999485,36.0000133514
3,17,285,8,0,1,0.996503496503,1.0,47914.9999619,36.9999408722
4,17,284,8,0,2,0.993006993007,1.0,47625.0,36.9999408722
5,17,285,8,0,0,1.0,1.0,48888.0000114,36.0000133514
6,17,284,8,0,1,0.99649122807,1.0,48231.000185,35.9997749329
7,17,284,8,0,1,0.99649122807,1.0,48534.0001583,36.0000133514
8,17,285,8,0,0,1.0,1.0,48528.0001163,34.9998474121
9,17,283,8,0,2,0.99298245614,1.0,47836.9998932,38.0001068115
10,17,285,8,0,0,1.0,1.0,48965.0001526,36.9999408722
