Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,264,9,0,22,0.923076923077,1.0,2.00009346008,0.0
2,5,285,8,0,1,0.996503496503,1.0,2.00009346008,0.0
3,5,285,8,0,1,0.996503496503,1.0,2.00009346008,0.0
4,5,285,8,0,1,0.996503496503,1.0,0.999927520752,0.999927520752
5,5,285,7,1,0,1.0,0.875,2.00009346008,0.0
6,5,285,7,1,0,1.0,0.875,0.999927520752,0.0
7,5,280,8,0,5,0.982456140351,1.0,0.999927520752,0.0
8,5,285,8,0,0,1.0,1.0,1.00016593933,0.999927520752
9,5,284,8,0,1,0.99649122807,1.0,1.9998550415,0.0
10,5,285,8,0,0,1.0,1.0,2.00009346008,0.0
1,8,264,9,0,22,0.923076923077,1.0,0.999927520752,0.999927520752
2,8,285,8,0,1,0.996503496503,1.0,0.999927520752,0.0
3,8,285,8,0,1,0.996503496503,1.0,2.00009346008,0.0
4,8,285,8,0,1,0.996503496503,1.0,1.9998550415,0.0
5,8,285,7,1,0,1.0,0.875,2.00009346008,0.0
6,8,285,7,1,0,1.0,0.875,1.9998550415,0.0
7,8,280,8,0,5,0.982456140351,1.0,1.00016593933,0.999927520752
8,8,285,8,0,0,1.0,1.0,1.9998550415,0.0
9,8,284,8,0,1,0.99649122807,1.0,1.00016593933,0.999927520752
10,8,285,8,0,0,1.0,1.0,1.00016593933,0.0
1,11,264,9,0,22,0.923076923077,1.0,2.00009346008,0.0
2,11,285,8,0,1,0.996503496503,1.0,0.999927520752,0.0
3,11,285,8,0,1,0.996503496503,1.0,2.00009346008,0.0
4,11,285,8,0,1,0.996503496503,1.0,1.9998550415,0.0
5,11,285,7,1,0,1.0,0.875,2.00009346008,0.0
6,11,285,7,1,0,1.0,0.875,1.9998550415,0.0
7,11,280,8,0,5,0.982456140351,1.0,0.999927520752,0.0
8,11,285,8,0,0,1.0,1.0,1.00016593933,0.0
9,11,284,8,0,1,0.99649122807,1.0,2.00009346008,0.0
10,11,285,8,0,0,1.0,1.0,1.9998550415,0.0
1,14,264,9,0,22,0.923076923077,1.0,2.00009346008,0.0
2,14,285,8,0,1,0.996503496503,1.0,0.999927520752,0.0
3,14,285,8,0,1,0.996503496503,1.0,2.00009346008,0.0
4,14,285,8,0,1,0.996503496503,1.0,1.9998550415,0.0
5,14,285,7,1,0,1.0,0.875,1.9998550415,0.0
6,14,285,7,1,0,1.0,0.875,1.9998550415,0.0
7,14,280,8,0,5,0.982456140351,1.0,1.9998550415,0.0
8,14,285,8,0,0,1.0,1.0,2.00009346008,0.0
9,14,284,8,0,1,0.99649122807,1.0,2.00009346008,0.0
10,14,285,8,0,0,1.0,1.0,0.999927520752,0.0
1,17,264,9,0,22,0.923076923077,1.0,0.999927520752,0.0
2,17,285,8,0,1,0.996503496503,1.0,0.999927520752,0.0
3,17,285,8,0,1,0.996503496503,1.0,1.9998550415,0.0
4,17,285,8,0,1,0.996503496503,1.0,1.9998550415,0.0
5,17,285,7,1,0,1.0,0.875,1.9998550415,0.0
6,17,285,7,1,0,1.0,0.875,2.00009346008,0.0
7,17,280,8,0,5,0.982456140351,1.0,2.00009346008,0.0
8,17,285,8,0,0,1.0,1.0,2.00009346008,0.0
9,17,284,8,0,1,0.99649122807,1.0,1.9998550415,0.0
10,17,285,8,0,0,1.0,1.0,2.00009346008,0.0
