Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,286,9,0,0,1.0,1.0,2.00009346008,0.0
2,5,282,8,0,4,0.986013986014,1.0,1.9998550415,0.0
3,5,285,8,0,1,0.996503496503,1.0,1.9998550415,0.0
4,5,286,8,0,0,1.0,1.0,1.00016593933,0.0
5,5,285,6,2,0,1.0,0.75,2.00009346008,0.0
6,5,284,7,1,1,0.99649122807,0.875,1.9998550415,0.0
7,5,283,8,0,2,0.99298245614,1.0,2.00009346008,0.0
8,5,283,8,0,2,0.99298245614,1.0,1.00016593933,0.0
9,5,284,7,1,1,0.99649122807,0.875,2.00009346008,0.0
10,5,284,8,0,1,0.99649122807,1.0,0.999927520752,0.999927520752
1,8,286,9,0,0,1.0,1.0,2.00009346008,0.0
2,8,282,8,0,4,0.986013986014,1.0,2.00009346008,0.0
3,8,285,8,0,1,0.996503496503,1.0,1.9998550415,0.0
4,8,286,8,0,0,1.0,1.0,0.999927520752,0.0
5,8,285,6,2,0,1.0,0.75,0.999927520752,0.999927520752
6,8,284,7,1,1,0.99649122807,0.875,2.00009346008,0.0
7,8,283,8,0,2,0.99298245614,1.0,2.00009346008,0.0
8,8,283,8,0,2,0.99298245614,1.0,2.00009346008,0.0
9,8,284,7,1,1,0.99649122807,0.875,2.00009346008,0.0
10,8,284,8,0,1,0.99649122807,1.0,2.00009346008,0.0
1,11,286,9,0,0,1.0,1.0,2.00009346008,0.0
2,11,282,8,0,4,0.986013986014,1.0,2.00009346008,0.0
3,11,285,8,0,1,0.996503496503,1.0,2.00009346008,0.0
4,11,286,8,0,0,1.0,1.0,1.9998550415,0.0
5,11,285,6,2,0,1.0,0.75,1.9998550415,0.0
6,11,284,7,1,1,0.99649122807,0.875,0.999927520752,0.0
7,11,283,8,0,2,0.99298245614,1.0,2.00009346008,0.0
8,11,283,8,0,2,0.99298245614,1.0,2.00009346008,0.0
9,11,284,7,1,1,0.99649122807,0.875,2.00009346008,0.0
10,11,284,8,0,1,0.99649122807,1.0,0.999927520752,1.00016593933
1,14,286,9,0,0,1.0,1.0,1.00016593933,0.0
2,14,282,8,0,4,0.986013986014,1.0,0.999927520752,0.0
3,14,285,8,0,1,0.996503496503,1.0,2.00009346008,0.0
4,14,286,8,0,0,1.0,1.0,2.00009346008,0.0
5,14,285,6,2,0,1.0,0.75,1.00016593933,0.0
6,14,284,7,1,1,0.99649122807,0.875,0.999927520752,0.0
7,14,283,8,0,2,0.99298245614,1.0,2.00009346008,0.0
8,14,283,8,0,2,0.99298245614,1.0,1.00016593933,0.0
9,14,284,7,1,1,0.99649122807,0.875,1.00016593933,0.0
10,14,284,8,0,1,0.99649122807,1.0,0.999927520752,0.0
1,17,286,9,0,0,1.0,1.0,1.9998550415,0.0
2,17,282,8,0,4,0.986013986014,1.0,1.9998550415,0.0
3,17,285,8,0,1,0.996503496503,1.0,0.999927520752,0.0
4,17,286,8,0,0,1.0,1.0,2.00009346008,0.0
5,17,285,6,2,0,1.0,0.75,2.00009346008,0.0
6,17,284,7,1,1,0.99649122807,0.875,2.00009346008,0.0
7,17,283,8,0,2,0.99298245614,1.0,0.999927520752,0.0
8,17,283,8,0,2,0.99298245614,1.0,1.00016593933,0.999927520752
9,17,284,7,1,1,0.99649122807,0.875,0.999927520752,0.0
10,17,284,8,0,1,0.99649122807,1.0,1.9998550415,0.0
