Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,268,9,0,18,0.937062937063,1.0,1.9998550415,0.0
2,5,267,8,0,19,0.933566433566,1.0,2.00009346008,0.0
3,5,261,8,0,25,0.912587412587,1.0,3.00002098083,0.0
4,5,265,8,0,21,0.926573426573,1.0,2.00009346008,0.999927520752
5,5,270,8,0,15,0.947368421053,1.0,2.00009346008,0.0
6,5,263,8,0,22,0.922807017544,1.0,1.9998550415,0.0
7,5,262,8,0,23,0.919298245614,1.0,3.00002098083,0.0
8,5,259,8,0,26,0.908771929825,1.0,3.00002098083,0.0
9,5,266,8,0,19,0.933333333333,1.0,3.99994850159,0.0
10,5,264,8,0,21,0.926315789474,1.0,2.00009346008,0.999927520752
1,8,268,9,0,18,0.937062937063,1.0,1.9998550415,0.999927520752
2,8,267,8,0,19,0.933566433566,1.0,3.00002098083,0.0
3,8,261,8,0,25,0.912587412587,1.0,3.00002098083,0.0
4,8,265,8,0,21,0.926573426573,1.0,2.00009346008,0.0
5,8,270,8,0,15,0.947368421053,1.0,2.00009346008,0.0
6,8,263,8,0,22,0.922807017544,1.0,3.00002098083,0.0
7,8,262,8,0,23,0.919298245614,1.0,3.00002098083,0.0
8,8,259,8,0,26,0.908771929825,1.0,4.99987602234,0.0
9,8,266,8,0,19,0.933333333333,1.0,3.00002098083,0.0
10,8,264,8,0,21,0.926315789474,1.0,2.00009346008,0.0
1,11,268,9,0,18,0.937062937063,1.0,2.99978256226,0.0
2,11,267,8,0,19,0.933566433566,1.0,2.00009346008,0.0
3,11,261,8,0,25,0.912587412587,1.0,2.00009346008,0.0
4,11,265,8,0,21,0.926573426573,1.0,1.9998550415,0.0
5,11,270,8,0,15,0.947368421053,1.0,3.00002098083,0.0
6,11,263,8,0,22,0.922807017544,1.0,1.9998550415,0.0
7,11,262,8,0,23,0.919298245614,1.0,3.00002098083,0.0
8,11,259,8,0,26,0.908771929825,1.0,3.00002098083,0.0
9,11,266,8,0,19,0.933333333333,1.0,1.9998550415,0.0
10,11,264,8,0,21,0.926315789474,1.0,6.00004196167,0.0
1,14,268,9,0,18,0.937062937063,1.0,2.00009346008,0.0
2,14,267,8,0,19,0.933566433566,1.0,3.00002098083,0.0
3,14,261,8,0,25,0.912587412587,1.0,1.9998550415,0.0
4,14,265,8,0,21,0.926573426573,1.0,2.00009346008,0.0
5,14,270,8,0,15,0.947368421053,1.0,3.00002098083,0.0
6,14,263,8,0,22,0.922807017544,1.0,3.00002098083,0.0
7,14,262,8,0,23,0.919298245614,1.0,3.00002098083,0.0
8,14,259,8,0,26,0.908771929825,1.0,1.9998550415,0.0
9,14,266,8,0,19,0.933333333333,1.0,3.00002098083,0.0
10,14,264,8,0,21,0.926315789474,1.0,1.9998550415,0.0
1,17,268,9,0,18,0.937062937063,1.0,3.00002098083,0.0
2,17,267,8,0,19,0.933566433566,1.0,1.9998550415,1.00016593933
3,17,261,8,0,25,0.912587412587,1.0,2.00009346008,0.0
4,17,265,8,0,21,0.926573426573,1.0,2.00009346008,0.999927520752
5,17,270,8,0,15,0.947368421053,1.0,3.00002098083,0.0
6,17,263,8,0,22,0.922807017544,1.0,3.00002098083,0.0
7,17,262,8,0,23,0.919298245614,1.0,3.00002098083,0.0
8,17,259,8,0,26,0.908771929825,1.0,3.00002098083,0.0
9,17,266,8,0,19,0.933333333333,1.0,3.00002098083,0.0
10,17,264,8,0,21,0.926315789474,1.0,3.00002098083,0.0
