Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,284,9,0,2,0.993006993007,1.0,1.00016593933,0.999927520752
2,5,284,8,0,2,0.993006993007,1.0,2.00009346008,0.0
3,5,278,8,0,8,0.972027972028,1.0,1.9998550415,0.0
4,5,283,8,0,3,0.98951048951,1.0,1.00016593933,0.0
5,5,284,8,0,1,0.99649122807,1.0,2.00009346008,0.0
6,5,284,8,0,1,0.99649122807,1.0,1.9998550415,0.0
7,5,283,8,0,2,0.99298245614,1.0,1.9998550415,0.0
8,5,283,8,0,2,0.99298245614,1.0,1.9998550415,0.0
9,5,283,8,0,2,0.99298245614,1.0,3.00002098083,0.0
10,5,283,8,0,2,0.99298245614,1.0,3.00002098083,0.0
1,8,284,9,0,2,0.993006993007,1.0,0.999927520752,0.0
2,8,284,8,0,2,0.993006993007,1.0,0.999927520752,0.0
3,8,278,8,0,8,0.972027972028,1.0,2.00009346008,0.0
4,8,283,8,0,3,0.98951048951,1.0,0.999927520752,0.999927520752
5,8,284,8,0,1,0.99649122807,1.0,1.9998550415,0.0
6,8,284,8,0,1,0.99649122807,1.0,2.00009346008,0.0
7,8,283,8,0,2,0.99298245614,1.0,1.9998550415,0.0
8,8,283,8,0,2,0.99298245614,1.0,0.999927520752,0.0
9,8,283,8,0,2,0.99298245614,1.0,0.999927520752,0.0
10,8,283,8,0,2,0.99298245614,1.0,2.00009346008,0.0
1,11,284,9,0,2,0.993006993007,1.0,1.9998550415,0.0
2,11,284,8,0,2,0.993006993007,1.0,2.00009346008,0.0
3,11,278,8,0,8,0.972027972028,1.0,2.00009346008,0.0
4,11,283,8,0,3,0.98951048951,1.0,2.00009346008,0.0
5,11,284,8,0,1,0.99649122807,1.0,2.00009346008,0.0
6,11,284,8,0,1,0.99649122807,1.0,2.00009346008,0.0
7,11,283,8,0,2,0.99298245614,1.0,0.999927520752,1.00016593933
8,11,283,8,0,2,0.99298245614,1.0,2.00009346008,0.0
9,11,283,8,0,2,0.99298245614,1.0,2.00009346008,0.0
10,11,283,8,0,2,0.99298245614,1.0,2.00009346008,0.0
1,14,284,9,0,2,0.993006993007,1.0,1.9998550415,0.0
2,14,284,8,0,2,0.993006993007,1.0,0.999927520752,0.0
3,14,278,8,0,8,0.972027972028,1.0,1.9998550415,0.0
4,14,283,8,0,3,0.98951048951,1.0,0.999927520752,0.0
5,14,284,8,0,1,0.99649122807,1.0,0.999927520752,0.0
6,14,284,8,0,1,0.99649122807,1.0,1.9998550415,0.0
7,14,283,8,0,2,0.99298245614,1.0,0.999927520752,1.00016593933
8,14,283,8,0,2,0.99298245614,1.0,2.00009346008,0.0
9,14,283,8,0,2,0.99298245614,1.0,1.9998550415,0.0
10,14,283,8,0,2,0.99298245614,1.0,1.00016593933,0.0
1,17,284,9,0,2,0.993006993007,1.0,0.999927520752,1.00016593933
2,17,284,8,0,2,0.993006993007,1.0,2.00009346008,0.0
3,17,278,8,0,8,0.972027972028,1.0,2.00009346008,0.0
4,17,283,8,0,3,0.98951048951,1.0,1.9998550415,0.0
5,17,284,8,0,1,0.99649122807,1.0,1.9998550415,0.0
6,17,284,8,0,1,0.99649122807,1.0,1.9998550415,0.0
7,17,283,8,0,2,0.99298245614,1.0,2.00009346008,0.0
8,17,283,8,0,2,0.99298245614,1.0,0.999927520752,0.0
9,17,283,8,0,2,0.99298245614,1.0,1.9998550415,0.0
10,17,283,8,0,2,0.99298245614,1.0,1.9998550415,0.0
