Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,283,9,0,3,0.98951048951,1.0,13.0000114441,1.00016593933
2,5,285,8,0,1,0.996503496503,1.0,13.9999389648,0.0
3,5,285,8,0,1,0.996503496503,1.0,6.99996948242,0.0
4,5,284,8,0,2,0.993006993007,1.0,8.00013542175,0.0
5,5,285,8,0,0,1.0,1.0,11.0001564026,0.0
6,5,284,8,0,1,0.99649122807,1.0,7.99989700317,0.0
7,5,284,8,0,1,0.99649122807,1.0,7.99989700317,0.0
8,5,285,8,0,0,1.0,1.0,9.0000629425,0.0
9,5,283,8,0,2,0.99298245614,1.0,8.00013542175,0.0
10,5,285,8,0,0,1.0,1.0,9.0000629425,0.0
1,8,283,9,0,3,0.98951048951,1.0,13.9999389648,0.0
2,8,285,8,0,1,0.996503496503,1.0,13.0000114441,1.00016593933
3,8,285,8,0,1,0.996503496503,1.0,6.99996948242,0.0
4,8,284,8,0,2,0.993006993007,1.0,9.0000629425,0.0
5,8,285,8,0,0,1.0,1.0,10.999917984,0.0
6,8,284,8,0,1,0.99649122807,1.0,7.99989700317,1.00016593933
7,8,284,8,0,1,0.99649122807,1.0,8.00013542175,0.0
8,8,285,8,0,0,1.0,1.0,8.99982452393,0.0
9,8,283,8,0,2,0.99298245614,1.0,7.99989700317,0.0
10,8,285,8,0,0,1.0,1.0,8.99982452393,0.0
1,11,283,9,0,3,0.98951048951,1.0,13.0000114441,0.0
2,11,285,8,0,1,0.996503496503,1.0,13.0000114441,0.0
3,11,285,8,0,1,0.996503496503,1.0,8.00013542175,0.0
4,11,284,8,0,2,0.993006993007,1.0,7.99989700317,0.999927520752
5,11,285,8,0,0,1.0,1.0,10.999917984,0.0
6,11,284,8,0,1,0.99649122807,1.0,7.99989700317,0.0
7,11,284,8,0,1,0.99649122807,1.0,9.99999046326,0.0
8,11,285,8,0,0,1.0,1.0,9.0000629425,0.999927520752
9,11,283,8,0,2,0.99298245614,1.0,7.99989700317,0.0
10,11,285,8,0,0,1.0,1.0,19.9999809265,0.0
1,14,283,9,0,3,0.98951048951,1.0,13.0000114441,1.00016593933
2,14,285,8,0,1,0.996503496503,1.0,13.0000114441,0.999927520752
3,14,285,8,0,1,0.996503496503,1.0,6.99996948242,0.999927520752
4,14,284,8,0,2,0.993006993007,1.0,9.0000629425,0.0
5,14,285,8,0,0,1.0,1.0,11.0001564026,0.999927520752
6,14,284,8,0,1,0.99649122807,1.0,7.99989700317,0.0
7,14,284,8,0,1,0.99649122807,1.0,7.99989700317,0.0
8,14,285,8,0,0,1.0,1.0,8.99982452393,0.0
9,14,283,8,0,2,0.99298245614,1.0,8.00013542175,0.0
10,14,285,8,0,0,1.0,1.0,9.99999046326,0.0
1,17,283,9,0,3,0.98951048951,1.0,13.9999389648,0.0
2,17,285,8,0,1,0.996503496503,1.0,13.0000114441,1.00016593933
3,17,285,8,0,1,0.996503496503,1.0,6.99996948242,1.00016593933
4,17,284,8,0,2,0.993006993007,1.0,8.00013542175,0.999927520752
5,17,285,8,0,0,1.0,1.0,9.99999046326,0.999927520752
6,17,284,8,0,1,0.99649122807,1.0,7.99989700317,0.0
7,17,284,8,0,1,0.99649122807,1.0,6.99996948242,0.999927520752
8,17,285,8,0,0,1.0,1.0,9.0000629425,0.0
9,17,283,8,0,2,0.99298245614,1.0,6.99996948242,0.999927520752
10,17,285,8,0,0,1.0,1.0,9.0000629425,0.999927520752
