Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,474,49,7,18,0.963414634146,0.875,46963.0000591,47.9998588562
2,5,102,56,0,390,0.207317073171,1.0,49730.9999466,107.000112534
3,5,471,46,10,21,0.957317073171,0.821428571429,45372.9999065,46.0000038147
4,5,480,39,17,11,0.977596741344,0.696428571429,40289.0000343,42.9999828339
5,5,488,16,40,3,0.993890020367,0.285714285714,39622.9999065,39.0000343323
6,5,421,51,5,70,0.857433808554,0.910714285714,38726.0000706,55.999994278
7,5,410,53,3,81,0.835030549898,0.946428571429,45224.9999046,58.000087738
8,5,477,38,18,14,0.971486761711,0.678571428571,44715.0001526,42.9999828339
9,5,457,48,8,34,0.930753564155,0.857142857143,46053.9999008,49.9999523163
10,5,452,49,6,39,0.920570264766,0.890909090909,42958.0001831,49.9999523163
1,8,474,49,7,18,0.963414634146,0.875,59278.0001163,56.9999217987
2,8,102,56,0,390,0.207317073171,1.0,65703.9999962,160.000085831
3,8,471,46,10,21,0.957317073171,0.821428571429,56428.9999008,55.999994278
4,8,480,39,17,11,0.977596741344,0.696428571429,48298.9997864,50.0001907349
5,8,488,16,40,3,0.993890020367,0.285714285714,47096.9998837,42.0000553131
6,8,421,51,5,70,0.857433808554,0.910714285714,45186.0001087,69.000005722
7,8,410,53,3,81,0.835030549898,0.946428571429,56595.0000286,72.9999542236
8,8,477,38,18,14,0.971486761711,0.678571428571,56098.9999771,49.9999523163
9,8,457,48,8,34,0.930753564155,0.857142857143,58156.0001373,59.0000152588
10,8,452,49,6,39,0.920570264766,0.890909090909,52683.0000877,59.0000152588
1,11,474,49,7,18,0.963414634146,0.875,71752.9997826,62.0000362396
2,11,102,56,0,390,0.207317073171,1.0,79087.0001316,211.999893188
3,11,471,46,10,21,0.957317073171,0.821428571429,67218.0001736,61.999797821
4,11,480,39,17,11,0.977596741344,0.696428571429,55621.0000515,55.999994278
5,11,488,16,40,3,0.993890020367,0.285714285714,53661.0000134,44.9998378754
6,11,421,51,5,70,0.857433808554,0.910714285714,51351.0000706,82.9999446869
7,11,410,53,3,81,0.835030549898,0.946428571429,67242.9997921,89.0002250671
8,11,477,38,18,14,0.971486761711,0.678571428571,66546.9999313,55.999994278
9,11,457,48,8,34,0.930753564155,0.857142857143,69568.0000782,69.000005722
10,11,452,49,6,39,0.920570264766,0.890909090909,61872.9999065,69.9999332428
1,14,474,49,7,18,0.963414634146,0.875,84305.9999943,70.9998607635
2,14,102,56,0,390,0.207317073171,1.0,93338.9999866,266.000032425
3,14,471,46,10,21,0.957317073171,0.821428571429,78368.999958,69.000005722
4,14,480,39,17,11,0.977596741344,0.696428571429,63161.9999409,62.0000362396
5,14,488,16,40,3,0.993890020367,0.285714285714,61002.0000935,46.0000038147
6,14,421,51,5,70,0.857433808554,0.910714285714,57687.9999638,98.9999771118
7,14,410,53,3,81,0.835030549898,0.946428571429,78522.0000744,104.000091553
8,14,477,38,18,14,0.971486761711,0.678571428571,77664.0000343,62.9999637604
9,14,457,48,8,34,0.930753564155,0.857142857143,81479.0000916,77.999830246
10,14,452,49,6,39,0.920570264766,0.890909090909,71186.9997978,82.0000171661
1,17,474,49,7,18,0.963414634146,0.875,96211.9998932,78.0000686646
2,17,102,56,0,390,0.207317073171,1.0,108112.999916,315.00005722
3,17,471,46,10,21,0.957317073171,0.821428571429,89342.0000076,80.0001621246
4,17,480,39,17,11,0.977596741344,0.696428571429,71207.9999447,65.9999847412
5,17,488,16,40,3,0.993890020367,0.285714285714,68111.9999886,48.0000972748
6,17,421,51,5,70,0.857433808554,0.910714285714,63723.0000496,110.999822617
7,17,410,53,3,81,0.835030549898,0.946428571429,89769.0000534,120.000123978
8,17,477,38,18,14,0.971486761711,0.678571428571,88198.9998817,68.0000782013
9,17,457,48,8,34,0.930753564155,0.857142857143,93307.0001602,86.9998931885
10,17,452,49,6,39,0.920570264766,0.890909090909,80528.0001163,91.0000801086
