Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,470,43,13,22,0.955284552846,0.767857142857,225315.999985,46.9999313354
2,5,476,26,30,16,0.967479674797,0.464285714286,206417.000055,42.9999828339
3,5,489,8,48,3,0.993902439024,0.142857142857,176638.000011,36.9999408722
4,5,474,35,21,17,0.965376782077,0.625,148899.999857,43.9999103546
5,5,455,32,24,36,0.926680244399,0.571428571429,160208.999872,47.000169754
6,5,0,56,0,491,0.0,1.0,151763.999939,121.999979019
7,5,439,47,9,52,0.894093686354,0.839285714286,140613.000154,50.999879837
8,5,477,29,27,14,0.971486761711,0.517857142857,164215.999842,42.9999828339
9,5,445,49,7,46,0.906313645621,0.875,236638.000011,51.9998073578
10,5,426,43,12,65,0.867617107943,0.781818181818,202497.999907,52.9999732971
1,8,470,43,13,22,0.955284552846,0.767857142857,320879.000187,53.9999008179
2,8,476,26,30,16,0.967479674797,0.464285714286,290222.000122,47.9998588562
3,8,489,8,48,3,0.993902439024,0.142857142857,235865.00001,39.999961853
4,8,474,35,21,17,0.965376782077,0.625,189801.000118,50.999879837
5,8,455,32,24,36,0.926680244399,0.571428571429,208641.99996,55.0000667572
6,8,0,56,0,491,0.0,1.0,193787.999868,186.000108719
7,8,439,47,9,52,0.894093686354,0.839285714286,174812.000036,62.9999637604
8,8,477,29,27,14,0.971486761711,0.517857142857,215967.999935,48.0000972748
9,8,445,49,7,46,0.906313645621,0.875,341209.9998,62.0000362396
10,8,426,43,12,65,0.867617107943,0.781818181818,282511.000156,64.9998188019
1,11,470,43,13,22,0.955284552846,0.767857142857,427109.999895,65.0000572205
2,11,476,26,30,16,0.967479674797,0.464285714286,383699.00012,52.0000457764
3,11,489,8,48,3,0.993902439024,0.142857142857,298025.999784,39.0000343323
4,11,474,35,21,17,0.965376782077,0.625,231048.000097,55.999994278
5,11,455,32,24,36,0.926680244399,0.571428571429,258926.000118,62.9999637604
6,11,0,56,0,491,0.0,1.0,237162.999868,251.000165939
7,11,439,47,9,52,0.894093686354,0.839285714286,209689.999819,75.0000476837
8,11,477,29,27,14,0.971486761711,0.517857142857,268294.999838,52.0000457764
9,11,445,49,7,46,0.906313645621,0.875,446562.999964,74.000120163
10,11,426,43,12,65,0.867617107943,0.781818181818,363536.999941,78.9999961853
1,14,470,43,13,22,0.955284552846,0.767857142857,515879.000187,69.000005722
2,14,476,26,30,16,0.967479674797,0.464285714286,456462.999821,57.0001602173
3,14,489,8,48,3,0.993902439024,0.142857142857,359013.000011,42.0000553131
4,14,474,35,21,17,0.965376782077,0.625,271932.999849,62.0000362396
5,14,455,32,24,36,0.926680244399,0.571428571429,308222.000122,70.9998607635
6,14,0,56,0,491,0.0,1.0,280447.999954,313.000202179
7,14,439,47,9,52,0.894093686354,0.839285714286,244934.999943,87.0001316071
8,14,477,29,27,14,0.971486761711,0.517857142857,320870.000124,57.9998493195
9,14,445,49,7,46,0.906313645621,0.875,553088.000059,84.0001106262
10,14,426,43,12,65,0.867617107943,0.781818181818,444993.000031,92.0000076294
1,17,470,43,13,22,0.955284552846,0.767857142857,610756.000042,77.0001411438
2,17,476,26,30,16,0.967479674797,0.464285714286,539398.999929,62.9999637604
3,17,489,8,48,3,0.993902439024,0.142857142857,419753.000021,42.9999828339
4,17,474,35,21,17,0.965376782077,0.625,311765.000105,69.000005722
5,17,455,32,24,36,0.926680244399,0.571428571429,357169.999838,80.0001621246
6,17,0,56,0,491,0.0,1.0,322760.999918,380.000114441
7,17,439,47,9,52,0.894093686354,0.839285714286,279001.999855,98.9999771118
8,17,477,29,27,14,0.971486761711,0.517857142857,372316.999912,63.000202179
9,17,445,49,7,46,0.906313645621,0.875,656463.999987,96.9998836517
10,17,426,43,12,65,0.867617107943,0.781818181818,522973.999977,105.000019073
