Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,449,46,10,43,0.912601626016,0.821428571429,50926.9998074,52.9999732971
2,5,445,45,11,47,0.904471544715,0.803571428571,50289.0000343,52.9999732971
3,5,454,41,15,38,0.922764227642,0.732142857143,51116.0001755,51.9998073578
4,5,442,45,11,49,0.900203665988,0.803571428571,51159.9998474,53.0002117157
5,5,435,38,18,56,0.885947046843,0.678571428571,50783.9999199,52.9999732971
6,5,444,46,10,47,0.904276985743,0.821428571429,51161.9999409,57.0001602173
7,5,438,42,14,53,0.892057026477,0.75,50871.999979,54.0001392365
8,5,455,46,10,36,0.926680244399,0.821428571429,51023.9999294,51.0001182556
9,5,441,51,5,50,0.89816700611,0.910714285714,50717.0000076,55.0000667572
10,5,444,45,10,47,0.904276985743,0.818181818182,50978.000164,52.9999732971
1,8,449,46,10,43,0.912601626016,0.821428571429,63100.9998322,62.9999637604
2,8,445,45,11,47,0.904471544715,0.803571428571,61691.9999123,64.0001296997
3,8,454,41,15,38,0.922764227642,0.732142857143,62930.9999943,60.9998703003
4,8,442,45,11,49,0.900203665988,0.803571428571,62424.0000248,64.9998188019
5,8,435,38,18,56,0.885947046843,0.678571428571,62537.9998684,65.9999847412
6,8,444,46,10,47,0.904276985743,0.821428571429,63320.9998608,65.0000572205
7,8,438,42,14,53,0.892057026477,0.75,62027.0001888,63.9998912811
8,8,455,46,10,36,0.926680244399,0.821428571429,63077.0001411,60.9998703003
9,8,441,51,5,50,0.89816700611,0.910714285714,61809.0000153,66.999912262
10,8,444,45,10,47,0.904276985743,0.818181818182,62223.9999771,65.0000572205
1,11,449,46,10,43,0.912601626016,0.821428571429,73995.000124,75.0000476837
2,11,445,45,11,47,0.904471544715,0.803571428571,72550.9998798,75.0000476837
3,11,454,41,15,38,0.922764227642,0.732142857143,74583.9998722,70.0001716614
4,11,442,45,11,49,0.900203665988,0.803571428571,73595.0000286,80.9998512268
5,11,435,38,18,56,0.885947046843,0.678571428571,73439.0001297,78.0000686646
6,11,444,46,10,47,0.904276985743,0.821428571429,74819.0000057,75.9999752045
7,11,438,42,14,53,0.892057026477,0.75,73443.0000782,77.0001411438
8,11,455,46,10,36,0.926680244399,0.821428571429,73924.0000248,75.9999752045
9,11,441,51,5,50,0.89816700611,0.910714285714,73461.0002041,80.9998512268
10,11,444,45,10,47,0.904276985743,0.818181818182,73777.9998779,75.0000476837
1,14,449,46,10,43,0.912601626016,0.821428571429,85557.9998493,85.000038147
2,14,445,45,11,47,0.904471544715,0.803571428571,83982.9998016,91.0000801086
3,14,454,41,15,38,0.922764227642,0.732142857143,86269.9999809,82.0000171661
4,14,442,45,11,49,0.900203665988,0.803571428571,85121.999979,89.9999141693
5,14,435,38,18,56,0.885947046843,0.678571428571,85000.9999275,88.0000591278
6,14,444,46,10,47,0.904276985743,0.821428571429,86937.9999638,85.9999656677
7,14,438,42,14,53,0.892057026477,0.75,85009.9999905,88.9999866486
8,14,455,46,10,36,0.926680244399,0.821428571429,86089.9999142,83.9998722076
9,14,441,51,5,50,0.89816700611,0.910714285714,84621.0000515,92.0000076294
10,14,444,45,10,47,0.904276985743,0.818181818182,85302.0000458,86.9998931885
1,17,449,46,10,43,0.912601626016,0.821428571429,97013.0000114,98.0000495911
2,17,445,45,11,47,0.904471544715,0.803571428571,94509.9999905,98.0000495911
3,17,454,41,15,38,0.922764227642,0.732142857143,98495.000124,89.9999141693
4,17,442,45,11,49,0.900203665988,0.803571428571,96428.0002117,99.9999046326
5,17,435,38,18,56,0.885947046843,0.678571428571,96493.0000305,101.000070572
6,17,444,46,10,47,0.904276985743,0.821428571429,98344.9997902,99.0002155304
7,17,438,42,14,53,0.892057026477,0.75,97798.0000973,106.999874115
8,17,455,46,10,36,0.926680244399,0.821428571429,99613.9998436,93.0001735687
9,17,441,51,5,50,0.89816700611,0.910714285714,98213.9999866,108.999967575
10,17,444,45,10,47,0.904276985743,0.818181818182,98843.0001736,101.999998093
