Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,480,40,16,12,0.975609756098,0.714285714286,25743.0000305,43.9999103546
2,5,476,26,30,16,0.967479674797,0.464285714286,29690.9999847,42.0000553131
3,5,492,13,43,0,1.0,0.232142857143,18407.0000648,36.9999408722
4,5,479,35,21,12,0.975560081466,0.625,22403.0001163,43.9999103546
5,5,459,34,22,32,0.93482688391,0.607142857143,22666.0001278,45.0000762939
6,5,478,31,25,13,0.973523421589,0.553571428571,18230.0000191,42.0000553131
7,5,455,46,10,36,0.926680244399,0.821428571429,17911.0000134,49.0000247955
8,5,477,30,26,14,0.971486761711,0.535714285714,21149.9998569,43.0002212524
9,5,452,49,7,39,0.920570264766,0.875,27820.9998608,49.9999523163
10,5,421,44,11,70,0.857433808554,0.8,24767.0001984,52.9999732971
1,8,480,40,16,12,0.975609756098,0.714285714286,34675.0001907,49.9999523163
2,8,476,26,30,16,0.967479674797,0.464285714286,41236.000061,49.9999523163
3,8,492,13,43,0,1.0,0.232142857143,22092.0000076,39.999961853
4,8,479,35,21,12,0.975560081466,0.625,28949.0001202,49.0000247955
5,8,459,34,22,32,0.93482688391,0.607142857143,29198.9998817,54.0001392365
6,8,478,31,25,13,0.973523421589,0.553571428571,21536.0000134,46.9999313354
7,8,455,46,10,36,0.926680244399,0.821428571429,21001.0001659,57.9998493195
8,8,477,30,26,14,0.971486761711,0.535714285714,26577.0001411,47.9998588562
9,8,452,49,7,39,0.920570264766,0.875,38488.9998436,59.9999427795
10,8,421,44,11,70,0.857433808554,0.8,32913.0001068,68.0000782013
1,11,480,40,16,12,0.975609756098,0.714285714286,43856.9998741,55.999994278
2,11,476,26,30,16,0.967479674797,0.464285714286,53432.0001602,51.9998073578
3,11,492,13,43,0,1.0,0.232142857143,25960.9999657,39.999961853
4,11,479,35,21,12,0.975560081466,0.625,35741.0001755,54.9998283386
5,11,459,34,22,32,0.93482688391,0.607142857143,36029.0000439,62.0000362396
6,11,478,31,25,13,0.973523421589,0.553571428571,25189.0001297,53.9999008179
7,11,455,46,10,36,0.926680244399,0.821428571429,24401.9999504,68.0000782013
8,11,477,30,26,14,0.971486761711,0.535714285714,32194.9999332,54.0001392365
9,11,452,49,7,39,0.920570264766,0.875,49049.0000248,71.0000991821
10,11,421,44,11,70,0.857433808554,0.8,41175.9998798,81.0000896454
1,14,480,40,16,12,0.975609756098,0.714285714286,52960.0000381,62.9999637604
2,14,476,26,30,16,0.967479674797,0.464285714286,65148.0000019,57.0001602173
3,14,492,13,43,0,1.0,0.232142857143,29455.9998512,42.9999828339
4,14,479,35,21,12,0.975560081466,0.625,42451.0002136,60.9998703003
5,14,459,34,22,32,0.93482688391,0.607142857143,42815.9999847,69.000005722
6,14,478,31,25,13,0.973523421589,0.553571428571,28578.0000687,58.000087738
7,14,455,46,10,36,0.926680244399,0.821428571429,27710.9999657,77.999830246
8,14,477,30,26,14,0.971486761711,0.535714285714,37952.9998302,59.0000152588
9,14,452,49,7,39,0.920570264766,0.875,60054.0001392,80.9998512268
10,14,421,44,11,70,0.857433808554,0.8,49552.9999733,95.999956131
1,17,480,40,16,12,0.975609756098,0.714285714286,63162.0001793,69.000005722
2,17,476,26,30,16,0.967479674797,0.464285714286,78677.9999733,62.9999637604
3,17,492,13,43,0,1.0,0.232142857143,33866.0001755,44.9998378754
4,17,479,35,21,12,0.975560081466,0.625,49889.0001774,65.9999847412
5,17,459,34,22,32,0.93482688391,0.607142857143,50410.0000858,82.0000171661
6,17,478,31,25,13,0.973523421589,0.553571428571,32605.9999466,64.0001296997
7,17,455,46,10,36,0.926680244399,0.821428571429,31500.9999275,88.9999866486
8,17,477,30,26,14,0.971486761711,0.535714285714,44332.9999447,65.0000572205
9,17,452,49,7,39,0.920570264766,0.875,71885.999918,94.0001010895
10,17,421,44,11,70,0.857433808554,0.8,58774.0001678,109.999895096
