Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,128,51,5,364,0.260162601626,0.910714285714,211851.999998,154.99997139
2,5,390,3,53,102,0.792682926829,0.0535714285714,213523.000002,73.9998817444
3,5,17,33,23,475,0.0345528455285,0.589285714286,212471.999884,173.000097275
4,5,73,41,15,418,0.148676171079,0.732142857143,215963.999987,164.000034332
5,5,388,16,40,103,0.790224032587,0.285714285714,206990.999937,75.9999752045
6,5,414,14,42,77,0.843177189409,0.25,208381.999969,69.000005722
7,5,405,12,44,86,0.824847250509,0.214285714286,208954.999924,72.9999542236
8,5,95,44,12,396,0.193482688391,0.785714285714,210651.000023,157.999992371
9,5,400,8,48,91,0.81466395112,0.142857142857,206592.000008,71.0000991821
10,5,60,50,5,431,0.122199592668,0.909090909091,211781.000137,164.999961853
1,8,128,51,5,364,0.260162601626,0.910714285714,326499.000072,230.999946594
2,8,390,3,53,102,0.792682926829,0.0535714285714,325836.999893,91.0000801086
3,8,17,33,23,475,0.0345528455285,0.589285714286,325245.000124,262.000083923
4,8,73,41,15,418,0.148676171079,0.732142857143,329417.999983,246.999979019
5,8,388,16,40,103,0.790224032587,0.285714285714,315797.999859,99.0002155304
6,8,414,14,42,77,0.843177189409,0.25,318631.000042,85.9999656677
7,8,405,12,44,86,0.824847250509,0.214285714286,319645.999908,91.0000801086
8,8,95,44,12,396,0.193482688391,0.785714285714,321330.000162,231.999874115
9,8,400,8,48,91,0.81466395112,0.142857142857,315881.999969,88.0000591278
10,8,60,50,5,431,0.122199592668,0.909090909091,324555.999994,251.000165939
1,11,128,51,5,364,0.260162601626,0.910714285714,455768.000126,319.000005722
2,11,390,3,53,102,0.792682926829,0.0535714285714,462385.999918,114.000082016
3,11,17,33,23,475,0.0345528455285,0.589285714286,444782.000065,372.99990654
4,11,73,41,15,418,0.148676171079,0.732142857143,446050.99988,336.000204086
5,11,388,16,40,103,0.790224032587,0.285714285714,428815.000057,122.99990654
6,11,414,14,42,77,0.843177189409,0.25,437849.999905,107.000112534
7,11,405,12,44,86,0.824847250509,0.214285714286,450674.000025,115.000009537
8,11,95,44,12,396,0.193482688391,0.785714285714,451001.999855,325.999975204
9,11,400,8,48,91,0.81466395112,0.142857142857,442707.000017,109.999895096
10,11,60,50,5,431,0.122199592668,0.909090909091,449470.000029,358.000040054
1,14,128,51,5,364,0.260162601626,0.910714285714,551088.999987,391.000032425
2,14,390,3,53,102,0.792682926829,0.0535714285714,556075.999975,132.000207901
3,14,17,33,23,475,0.0345528455285,0.589285714286,553287.999868,463.999986649
4,14,73,41,15,418,0.148676171079,0.732142857143,560386.999846,421.000003815
5,14,388,16,40,103,0.790224032587,0.285714285714,535515.999794,142.000198364
6,14,414,14,42,77,0.843177189409,0.25,540360.000134,115.999937057
7,14,405,12,44,86,0.824847250509,0.214285714286,542970.000029,131.000041962
8,14,95,44,12,396,0.193482688391,0.785714285714,544838.999987,394.000053406
9,14,400,8,48,91,0.81466395112,0.142857142857,537194.000006,127.00009346
10,14,60,50,5,431,0.122199592668,0.909090909091,551447.999954,427.000045776
1,17,128,51,5,364,0.260162601626,0.910714285714,664256.999969,463.999986649
2,17,390,3,53,102,0.792682926829,0.0535714285714,668023.000002,148.000001907
3,17,17,33,23,475,0.0345528455285,0.589285714286,666785.000086,543.999910355
4,17,73,41,15,418,0.148676171079,0.732142857143,673421.000004,502.999782562
5,17,388,16,40,103,0.790224032587,0.285714285714,644049.000025,161.000013351
6,17,414,14,42,77,0.843177189409,0.25,650171.000004,133.000135422
7,17,405,12,44,86,0.824847250509,0.214285714286,652645.999908,156.000137329
8,17,95,44,12,396,0.193482688391,0.785714285714,656046.000004,467.99993515
9,17,400,8,48,91,0.81466395112,0.142857142857,642990.999937,143.000125885
10,17,60,50,5,431,0.122199592668,0.909090909091,661707.000017,511.999845505
