Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,477,50,6,15,0.969512195122,0.892857142857,3.00002098083,0.0
2,5,466,48,8,26,0.947154471545,0.857142857143,3.99994850159,0.0
3,5,483,39,17,9,0.981707317073,0.696428571429,4.00018692017,0.0
4,5,376,56,0,115,0.765784114053,1.0,3.99994850159,0.0
5,5,451,49,7,40,0.918533604888,0.875,2.99978256226,0.0
6,5,465,46,10,26,0.947046843177,0.821428571429,4.00018692017,0.0
7,5,484,37,19,7,0.985743380855,0.660714285714,4.00018692017,0.0
8,5,377,55,1,114,0.767820773931,0.982142857143,3.00002098083,0.0
9,5,456,49,7,35,0.928716904277,0.875,2.99978256226,0.0
10,5,425,52,3,66,0.865580448065,0.945454545455,3.00002098083,0.0
1,8,477,50,6,15,0.969512195122,0.892857142857,3.00002098083,0.0
2,8,466,48,8,26,0.947154471545,0.857142857143,3.00002098083,0.0
3,8,483,39,17,9,0.981707317073,0.696428571429,3.00002098083,0.999927520752
4,8,376,56,0,115,0.765784114053,1.0,3.00002098083,0.999927520752
5,8,451,49,7,40,0.918533604888,0.875,2.99978256226,0.0
6,8,465,46,10,26,0.947046843177,0.821428571429,3.99994850159,0.0
7,8,484,37,19,7,0.985743380855,0.660714285714,2.99978256226,0.0
8,8,377,55,1,114,0.767820773931,0.982142857143,3.99994850159,0.0
9,8,456,49,7,35,0.928716904277,0.875,3.00002098083,0.0
10,8,425,52,3,66,0.865580448065,0.945454545455,3.99994850159,0.0
1,11,477,50,6,15,0.969512195122,0.892857142857,3.99994850159,0.0
2,11,466,48,8,26,0.947154471545,0.857142857143,3.99994850159,0.0
3,11,483,39,17,9,0.981707317073,0.696428571429,3.00002098083,0.0
4,11,376,56,0,115,0.765784114053,1.0,3.99994850159,0.0
5,11,451,49,7,40,0.918533604888,0.875,2.99978256226,0.0
6,11,465,46,10,26,0.947046843177,0.821428571429,3.00002098083,0.0
7,11,484,37,19,7,0.985743380855,0.660714285714,3.99994850159,0.0
8,11,377,55,1,114,0.767820773931,0.982142857143,3.99994850159,0.0
9,11,456,49,7,35,0.928716904277,0.875,3.00002098083,0.999927520752
10,11,425,52,3,66,0.865580448065,0.945454545455,3.99994850159,0.0
1,14,477,50,6,15,0.969512195122,0.892857142857,3.00002098083,0.0
2,14,466,48,8,26,0.947154471545,0.857142857143,3.00002098083,0.0
3,14,483,39,17,9,0.981707317073,0.696428571429,3.00002098083,0.0
4,14,376,56,0,115,0.765784114053,1.0,2.99978256226,1.00016593933
5,14,451,49,7,40,0.918533604888,0.875,3.00002098083,0.999927520752
6,14,465,46,10,26,0.947046843177,0.821428571429,3.00002098083,1.00016593933
7,14,484,37,19,7,0.985743380855,0.660714285714,3.00002098083,0.0
8,14,377,55,1,114,0.767820773931,0.982142857143,3.00002098083,0.0
9,14,456,49,7,35,0.928716904277,0.875,3.99994850159,0.0
10,14,425,52,3,66,0.865580448065,0.945454545455,3.00002098083,0.0
1,17,477,50,6,15,0.969512195122,0.892857142857,4.00018692017,0.0
2,17,466,48,8,26,0.947154471545,0.857142857143,3.99994850159,0.0
3,17,483,39,17,9,0.981707317073,0.696428571429,3.99994850159,0.0
4,17,376,56,0,115,0.765784114053,1.0,3.00002098083,0.0
5,17,451,49,7,40,0.918533604888,0.875,3.99994850159,0.0
6,17,465,46,10,26,0.947046843177,0.821428571429,3.00002098083,0.999927520752
7,17,484,37,19,7,0.985743380855,0.660714285714,3.99994850159,0.0
8,17,377,55,1,114,0.767820773931,0.982142857143,2.99978256226,0.0
9,17,456,49,7,35,0.928716904277,0.875,4.00018692017,0.0
10,17,425,52,3,66,0.865580448065,0.945454545455,3.99994850159,0.0
