Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,412,52,4,80,0.837398373984,0.928571428571,4.00018692017,0.0
2,5,469,45,11,23,0.95325203252,0.803571428571,2.99978256226,0.0
3,5,435,48,8,57,0.884146341463,0.857142857143,3.99994850159,0.0
4,5,0,56,0,491,0.0,1.0,3.00002098083,0.0
5,5,434,42,14,57,0.883910386965,0.75,3.00002098083,0.0
6,5,460,50,6,31,0.936863543788,0.892857142857,3.00002098083,0.0
7,5,423,40,16,68,0.86150712831,0.714285714286,3.00002098083,0.0
8,5,466,38,18,25,0.949083503055,0.678571428571,3.00002098083,0.0
9,5,478,36,20,13,0.973523421589,0.642857142857,3.99994850159,0.0
10,5,4,55,0,487,0.0081466395112,1.0,2.99978256226,0.0
1,8,412,52,4,80,0.837398373984,0.928571428571,4.00018692017,0.0
2,8,469,45,11,23,0.95325203252,0.803571428571,4.00018692017,0.0
3,8,435,48,8,57,0.884146341463,0.857142857143,3.00002098083,0.0
4,8,0,56,0,491,0.0,1.0,3.99994850159,0.0
5,8,434,42,14,57,0.883910386965,0.75,3.00002098083,0.0
6,8,460,50,6,31,0.936863543788,0.892857142857,3.00002098083,0.0
7,8,423,40,16,68,0.86150712831,0.714285714286,4.00018692017,0.0
8,8,466,38,18,25,0.949083503055,0.678571428571,3.99994850159,0.0
9,8,478,36,20,13,0.973523421589,0.642857142857,3.00002098083,0.0
10,8,4,55,0,487,0.0081466395112,1.0,3.99994850159,0.0
1,11,412,52,4,80,0.837398373984,0.928571428571,4.00018692017,0.0
2,11,469,45,11,23,0.95325203252,0.803571428571,3.00002098083,0.0
3,11,435,48,8,57,0.884146341463,0.857142857143,3.00002098083,0.0
4,11,0,56,0,491,0.0,1.0,3.99994850159,0.0
5,11,434,42,14,57,0.883910386965,0.75,3.99994850159,0.0
6,11,460,50,6,31,0.936863543788,0.892857142857,3.99994850159,0.0
7,11,423,40,16,68,0.86150712831,0.714285714286,4.00018692017,0.0
8,11,466,38,18,25,0.949083503055,0.678571428571,3.00002098083,0.0
9,11,478,36,20,13,0.973523421589,0.642857142857,3.00002098083,0.999927520752
10,11,4,55,0,487,0.0081466395112,1.0,3.00002098083,0.0
1,14,412,52,4,80,0.837398373984,0.928571428571,3.99994850159,0.0
2,14,469,45,11,23,0.95325203252,0.803571428571,3.00002098083,0.0
3,14,435,48,8,57,0.884146341463,0.857142857143,3.00002098083,0.0
4,14,0,56,0,491,0.0,1.0,4.00018692017,0.0
5,14,434,42,14,57,0.883910386965,0.75,3.00002098083,0.0
6,14,460,50,6,31,0.936863543788,0.892857142857,3.00002098083,0.0
7,14,423,40,16,68,0.86150712831,0.714285714286,3.99994850159,0.0
8,14,466,38,18,25,0.949083503055,0.678571428571,3.99994850159,0.0
9,14,478,36,20,13,0.973523421589,0.642857142857,3.99994850159,0.0
10,14,4,55,0,487,0.0081466395112,1.0,3.99994850159,0.0
1,17,412,52,4,80,0.837398373984,0.928571428571,3.00002098083,0.0
2,17,469,45,11,23,0.95325203252,0.803571428571,3.00002098083,0.0
3,17,435,48,8,57,0.884146341463,0.857142857143,3.00002098083,0.0
4,17,0,56,0,491,0.0,1.0,3.00002098083,0.0
5,17,434,42,14,57,0.883910386965,0.75,3.00002098083,0.0
6,17,460,50,6,31,0.936863543788,0.892857142857,3.99994850159,0.0
7,17,423,40,16,68,0.86150712831,0.714285714286,3.00002098083,0.0
8,17,466,38,18,25,0.949083503055,0.678571428571,3.00002098083,0.0
9,17,478,36,20,13,0.973523421589,0.642857142857,4.00018692017,0.0
10,17,4,55,0,487,0.0081466395112,1.0,3.99994850159,0.0
