Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,411,52,4,81,0.835365853659,0.928571428571,3.00002098083,0.0
2,5,472,44,12,20,0.959349593496,0.785714285714,3.99994850159,0.0
3,5,436,48,8,56,0.886178861789,0.857142857143,3.99994850159,0.0
4,5,0,56,0,491,0.0,1.0,4.00018692017,0.0
5,5,437,42,14,54,0.890020366599,0.75,3.99994850159,0.0
6,5,470,44,12,21,0.957230142566,0.785714285714,3.00002098083,0.0
7,5,424,40,16,67,0.863543788187,0.714285714286,3.99994850159,0.0
8,5,466,38,18,25,0.949083503055,0.678571428571,3.99994850159,0.0
9,5,478,36,20,13,0.973523421589,0.642857142857,3.00002098083,0.999927520752
10,5,10,55,0,481,0.020366598778,1.0,3.00002098083,0.0
1,8,411,52,4,81,0.835365853659,0.928571428571,3.99994850159,0.0
2,8,472,44,12,20,0.959349593496,0.785714285714,3.00002098083,0.999927520752
3,8,436,48,8,56,0.886178861789,0.857142857143,3.00002098083,1.00016593933
4,8,0,56,0,491,0.0,1.0,3.00002098083,0.999927520752
5,8,437,42,14,54,0.890020366599,0.75,3.00002098083,0.0
6,8,470,44,12,21,0.957230142566,0.785714285714,3.00002098083,0.0
7,8,424,40,16,67,0.863543788187,0.714285714286,3.99994850159,0.0
8,8,466,38,18,25,0.949083503055,0.678571428571,3.99994850159,0.0
9,8,478,36,20,13,0.973523421589,0.642857142857,3.99994850159,0.0
10,8,10,55,0,481,0.020366598778,1.0,3.00002098083,0.0
1,11,411,52,4,81,0.835365853659,0.928571428571,3.00002098083,1.00016593933
2,11,472,44,12,20,0.959349593496,0.785714285714,3.99994850159,0.0
3,11,436,48,8,56,0.886178861789,0.857142857143,3.00002098083,0.0
4,11,0,56,0,491,0.0,1.0,3.99994850159,0.0
5,11,437,42,14,54,0.890020366599,0.75,4.00018692017,0.0
6,11,470,44,12,21,0.957230142566,0.785714285714,3.99994850159,0.0
7,11,424,40,16,67,0.863543788187,0.714285714286,4.00018692017,0.0
8,11,466,38,18,25,0.949083503055,0.678571428571,3.99994850159,0.0
9,11,478,36,20,13,0.973523421589,0.642857142857,3.99994850159,0.0
10,11,10,55,0,481,0.020366598778,1.0,3.99994850159,0.0
1,14,411,52,4,81,0.835365853659,0.928571428571,3.99994850159,0.0
2,14,472,44,12,20,0.959349593496,0.785714285714,3.99994850159,0.0
3,14,436,48,8,56,0.886178861789,0.857142857143,3.00002098083,0.0
4,14,0,56,0,491,0.0,1.0,3.00002098083,0.0
5,14,437,42,14,54,0.890020366599,0.75,4.00018692017,0.0
6,14,470,44,12,21,0.957230142566,0.785714285714,3.99994850159,0.0
7,14,424,40,16,67,0.863543788187,0.714285714286,3.00002098083,0.999927520752
8,14,466,38,18,25,0.949083503055,0.678571428571,3.99994850159,0.0
9,14,478,36,20,13,0.973523421589,0.642857142857,3.99994850159,0.0
10,14,10,55,0,481,0.020366598778,1.0,4.00018692017,0.0
1,17,411,52,4,81,0.835365853659,0.928571428571,3.99994850159,0.0
2,17,472,44,12,20,0.959349593496,0.785714285714,4.00018692017,0.0
3,17,436,48,8,56,0.886178861789,0.857142857143,3.99994850159,0.0
4,17,0,56,0,491,0.0,1.0,3.00002098083,0.0
5,17,437,42,14,54,0.890020366599,0.75,3.00002098083,1.00016593933
6,17,470,44,12,21,0.957230142566,0.785714285714,3.99994850159,0.0
7,17,424,40,16,67,0.863543788187,0.714285714286,3.99994850159,0.0
8,17,466,38,18,25,0.949083503055,0.678571428571,3.99994850159,0.0
9,17,478,36,20,13,0.973523421589,0.642857142857,4.00018692017,0.0
10,17,10,55,0,481,0.020366598778,1.0,4.00018692017,0.0
