Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,13,39,17,479,0.0264227642276,0.696428571429,267.000198364,4.99987602234
2,5,74,48,8,418,0.150406504065,0.857142857143,279.000043869,4.99987602234
3,5,30,51,5,462,0.0609756097561,0.910714285714,269.999980927,5.00011444092
4,5,76,48,8,415,0.154786150713,0.857142857143,271.000146866,4.99987602234
5,5,414,16,40,77,0.843177189409,0.285714285714,271.000146866,3.99994850159
6,5,19,37,19,472,0.0386965376782,0.660714285714,269.999980927,3.99994850159
7,5,100,51,5,391,0.20366598778,0.910714285714,273.999929428,4.99987602234
8,5,87,43,13,404,0.177189409369,0.767857142857,269.000053406,3.99994850159
9,5,7,31,25,484,0.0142566191446,0.553571428571,273.000001907,3.99994850159
10,5,50,52,3,441,0.10183299389,0.945454545455,269.000053406,3.99994850159
1,8,13,39,17,479,0.0264227642276,0.696428571429,268.000125885,4.99987602234
2,8,74,48,8,418,0.150406504065,0.857142857143,279.99997139,5.00011444092
3,8,30,51,5,462,0.0609756097561,0.910714285714,269.999980927,4.00018692017
4,8,76,48,8,415,0.154786150713,0.857142857143,273.000001907,3.99994850159
5,8,414,16,40,77,0.843177189409,0.285714285714,266.999959946,4.00018692017
6,8,19,37,19,472,0.0386965376782,0.660714285714,266.999959946,3.99994850159
7,8,100,51,5,391,0.20366598778,0.910714285714,273.999929428,4.00018692017
8,8,87,43,13,404,0.177189409369,0.767857142857,269.999980927,3.99994850159
9,8,7,31,25,484,0.0142566191446,0.553571428571,273.000001907,3.99994850159
10,8,50,52,3,441,0.10183299389,0.945454545455,267.999887466,4.00018692017
1,11,13,39,17,479,0.0264227642276,0.696428571429,278.000116348,4.99987602234
2,11,74,48,8,418,0.150406504065,0.857142857143,290.000200272,4.99987602234
3,11,30,51,5,462,0.0609756097561,0.910714285714,274.999856949,3.99994850159
4,11,76,48,8,415,0.154786150713,0.857142857143,273.000001907,3.99994850159
5,11,414,16,40,77,0.843177189409,0.285714285714,267.000198364,3.99994850159
6,11,19,37,19,472,0.0386965376782,0.660714285714,276.000022888,4.99987602234
7,11,100,51,5,391,0.20366598778,0.910714285714,282.999992371,3.99994850159
8,11,87,43,13,404,0.177189409369,0.767857142857,283.999919891,5.00011444092
9,11,7,31,25,484,0.0142566191446,0.553571428571,282.999992371,4.00018692017
10,11,50,52,3,441,0.10183299389,0.945454545455,269.000053406,3.99994850159
1,14,13,39,17,479,0.0264227642276,0.696428571429,267.999887466,4.99987602234
2,14,74,48,8,418,0.150406504065,0.857142857143,282.00006485,4.99987602234
3,14,30,51,5,462,0.0609756097561,0.910714285714,273.000001907,3.99994850159
4,14,76,48,8,415,0.154786150713,0.857142857143,272.999763489,4.00018692017
5,14,414,16,40,77,0.843177189409,0.285714285714,266.999959946,5.00011444092
6,14,19,37,19,472,0.0386965376782,0.660714285714,269.999980927,3.99994850159
7,14,100,51,5,391,0.20366598778,0.910714285714,274.999856949,5.00011444092
8,14,87,43,13,404,0.177189409369,0.767857142857,269.999980927,4.00018692017
9,14,7,31,25,484,0.0142566191446,0.553571428571,274.000167847,4.99987602234
10,14,50,52,3,441,0.10183299389,0.945454545455,268.000125885,3.99994850159
1,17,13,39,17,479,0.0264227642276,0.696428571429,272.000074387,4.99987602234
2,17,74,48,8,418,0.150406504065,0.857142857143,282.999992371,3.99994850159
3,17,30,51,5,462,0.0609756097561,0.910714285714,272.000074387,4.99987602234
4,17,76,48,8,415,0.154786150713,0.857142857143,273.999929428,3.99994850159
5,17,414,16,40,77,0.843177189409,0.285714285714,266.999959946,4.00018692017
6,17,19,37,19,472,0.0386965376782,0.660714285714,269.000053406,3.99994850159
7,17,100,51,5,391,0.20366598778,0.910714285714,275.000095367,4.99987602234
8,17,87,43,13,404,0.177189409369,0.767857142857,272.000074387,3.99994850159
9,17,7,31,25,484,0.0142566191446,0.553571428571,271.000146866,3.99994850159
10,17,50,52,3,441,0.10183299389,0.945454545455,270.999908447,4.00018692017
