Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,0,3,0,205,0.0,1.0,31097.9998112,44.0001487732
2,5,149,1,2,56,0.726829268293,0.333333333333,28659.9998474,23.0000019073
3,5,1,3,0,204,0.00487804878049,1.0,28942.9998398,44.0001487732
4,5,143,0,3,62,0.69756097561,0.0,25791.0001278,23.9999294281
5,5,40,2,1,165,0.19512195122,0.666666666667,35703.9999962,40.9998893738
6,5,196,0,2,9,0.956097560976,0.0,32917.9999828,15.9997940063
7,5,152,0,2,53,0.741463414634,0.0,16474.9999046,22.0000743866
8,5,192,0,2,13,0.936585365854,0.0,20736.9999886,16.9999599457
9,5,162,0,2,43,0.790243902439,0.0,33138.0000114,21.999835968
10,5,11,2,0,194,0.0536585365854,1.0,26509.0000629,42.9999828339
1,8,0,3,0,205,0.0,1.0,44322.0000267,65.9999847412
2,8,149,1,2,56,0.726829268293,0.333333333333,40190.9999847,29.000043869
3,8,1,3,0,204,0.00487804878049,1.0,40881.9999695,63.9998912811
4,8,143,0,3,62,0.69756097561,0.0,35154.9999714,29.9999713898
5,8,40,2,1,165,0.19512195122,0.666666666667,52082.0000172,55.999994278
6,8,196,0,2,9,0.956097560976,0.0,47590.0001526,17.9998874664
7,8,152,0,2,53,0.741463414634,0.0,19230.9999466,27.9998779297
8,8,192,0,2,13,0.936585365854,0.0,26412.9998684,19.0000534058
9,8,162,0,2,43,0.790243902439,0.0,47845.9999561,24.9998569489
10,8,11,2,0,194,0.0536585365854,1.0,36321.0000992,62.0000362396
1,11,0,3,0,205,0.0,1.0,57364.000082,85.000038147
2,11,149,1,2,56,0.726829268293,0.333333333333,51333.0001831,36.0000133514
3,11,1,3,0,204,0.00487804878049,1.0,52398.9999294,86.0002040863
4,11,143,0,3,62,0.69756097561,0.0,44552.9999733,36.0000133514
5,11,40,2,1,165,0.19512195122,0.666666666667,68876.999855,72.9999542236
6,11,196,0,2,9,0.956097560976,0.0,62338.0000591,18.000125885
7,11,152,0,2,53,0.741463414634,0.0,21667.9999828,34.0001583099
8,11,192,0,2,13,0.936585365854,0.0,32021.0001469,19.9999809265
9,11,162,0,2,43,0.790243902439,0.0,62559.0000153,29.9999713898
10,11,11,2,0,194,0.0536585365854,1.0,46230.9999466,83.0001831055
1,14,0,3,0,205,0.0,1.0,70637.999773,106.000185013
2,14,149,1,2,56,0.726829268293,0.333333333333,62629.999876,41.0001277924
3,14,1,3,0,204,0.00487804878049,1.0,64062.9999638,105.000019073
4,14,143,0,3,62,0.69756097561,0.0,53951.9999027,42.9999828339
5,14,40,2,1,165,0.19512195122,0.666666666667,85131.9999695,90.0001525879
6,14,196,0,2,9,0.956097560976,0.0,76820.0001717,19.9999809265
7,14,152,0,2,53,0.741463414634,0.0,24262.0000839,39.999961853
8,14,192,0,2,13,0.936585365854,0.0,37491.0001755,20.9999084473
9,14,162,0,2,43,0.790243902439,0.0,77194.0000057,36.0000133514
10,14,11,2,0,194,0.0536585365854,1.0,55798.0000973,100.999832153
1,17,0,3,0,205,0.0,1.0,83891.9999599,128.999948502
2,17,149,1,2,56,0.726829268293,0.333333333333,73839.9999142,46.0000038147
3,17,1,3,0,204,0.00487804878049,1.0,75741.9998646,129.00018692
4,17,143,0,3,62,0.69756097561,0.0,63094.0001011,49.0000247955
5,17,40,2,1,165,0.19512195122,0.666666666667,101475.000143,106.999874115
6,17,196,0,2,9,0.956097560976,0.0,90842.0000076,20.9999084473
7,17,152,0,2,53,0.741463414634,0.0,26754.999876,45.0000762939
8,17,192,0,2,13,0.936585365854,0.0,43170.0000763,22.0000743866
9,17,162,0,2,43,0.790243902439,0.0,91909.0001583,38.9997959137
10,17,11,2,0,194,0.0536585365854,1.0,65973.9999771,123.000144958
