Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,0,3,0,205,0.0,1.0,95295.0000763,45.0000762939
2,5,200,0,3,5,0.975609756098,0.0,85573.9998817,16.0000324249
3,5,2,3,0,203,0.00975609756098,1.0,82335.9999657,45.0000762939
4,5,167,0,3,38,0.814634146341,0.0,82457.9999447,21.0001468658
5,5,0,3,0,205,0.0,1.0,110028.000116,43.9999103546
6,5,183,0,2,22,0.892682926829,0.0,101569.000006,18.9998149872
7,5,170,0,2,35,0.829268292683,0.0,48223.9999771,20.9999084473
8,5,197,0,2,8,0.960975609756,0.0,62651.0000229,16.0000324249
9,5,200,0,2,5,0.975609756098,0.0,92733.0000401,16.0000324249
10,5,198,0,2,7,0.965853658537,0.0,93600.0001431,16.9999599457
1,8,0,3,0,205,0.0,1.0,135958.999872,64.0001296997
2,8,200,0,3,5,0.975609756098,0.0,118870.000124,16.0000324249
3,8,2,3,0,203,0.00975609756098,1.0,113140.999794,65.0000572205
4,8,167,0,3,38,0.814634146341,0.0,112654.000044,23.9999294281
5,8,0,3,0,205,0.0,1.0,160713.999987,65.0000572205
6,8,183,0,2,22,0.892682926829,0.0,145927.000046,19.9999809265
7,8,170,0,2,35,0.829268292683,0.0,53934.0000153,23.9999294281
8,8,197,0,2,8,0.960975609756,0.0,78638.0000114,17.9998874664
9,8,200,0,2,5,0.975609756098,0.0,130657.999992,16.0000324249
10,8,198,0,2,7,0.965853658537,0.0,131765.999794,17.0001983643
1,11,0,3,0,205,0.0,1.0,176203.000069,88.0000591278
2,11,200,0,3,5,0.975609756098,0.0,152095.000029,16.9999599457
3,11,2,3,0,203,0.00975609756098,1.0,143686.000109,86.9998931885
4,11,167,0,3,38,0.814634146341,0.0,143804.999828,28.0001163483
5,11,0,3,0,205,0.0,1.0,211120.000124,85.000038147
6,11,183,0,2,22,0.892682926829,0.0,190825.000048,23.0000019073
7,11,170,0,2,35,0.829268292683,0.0,59889.9998665,26.9999504089
8,11,197,0,2,8,0.960975609756,0.0,95029.0000439,18.000125885
9,11,200,0,2,5,0.975609756098,0.0,169174.999952,18.000125885
10,11,198,0,2,7,0.965853658537,0.0,171131.000042,16.9999599457
1,14,0,3,0,205,0.0,1.0,216759.99999,105.999946594
2,14,200,0,3,5,0.975609756098,0.0,185414.000034,17.9998874664
3,14,2,3,0,203,0.00975609756098,1.0,174467.999935,112.999916077
4,14,167,0,3,38,0.814634146341,0.0,177421.000004,32.0000648499
5,14,0,3,0,205,0.0,1.0,260981.999874,107.000112534
6,14,183,0,2,22,0.892682926829,0.0,235319.999933,24.9998569489
7,14,170,0,2,35,0.829268292683,0.0,65649.0001678,30.9998989105
8,14,197,0,2,8,0.960975609756,0.0,111151.000023,18.9998149872
9,14,200,0,2,5,0.975609756098,0.0,207003.999949,18.000125885
10,14,198,0,2,7,0.965853658537,0.0,208989.000082,17.9998874664
1,17,0,3,0,205,0.0,1.0,256858.999968,128.999948502
2,17,200,0,3,5,0.975609756098,0.0,217734.999895,19.0000534058
3,17,2,3,0,203,0.00975609756098,1.0,204917.999983,126.999855042
4,17,167,0,3,38,0.814634146341,0.0,205712.000132,37.9998683929
5,17,0,3,0,205,0.0,1.0,310972.999811,129.00018692
6,17,183,0,2,22,0.892682926829,0.0,280533.99992,27.0001888275
7,17,170,0,2,35,0.829268292683,0.0,71387.0000839,33.9999198914
8,17,197,0,2,8,0.960975609756,0.0,127342.999935,19.9999809265
9,17,200,0,2,5,0.975609756098,0.0,244980.999947,19.0000534058
10,17,198,0,2,7,0.965853658537,0.0,248700.000048,19.0000534058
