Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,130,1,2,75,0.634146341463,0.333333333333,27519.0000534,26.9999504089
2,5,121,2,1,84,0.590243902439,0.666666666667,27577.0001411,29.000043869
3,5,117,3,0,88,0.570731707317,1.0,28426.0001183,29.000043869
4,5,129,1,2,76,0.629268292683,0.333333333333,28796.9999313,26.9999504089
5,5,129,1,2,76,0.629268292683,0.333333333333,27388.0000114,26.9999504089
6,5,103,1,1,102,0.50243902439,0.5,27858.9999676,32.0000648499
7,5,127,1,1,78,0.619512195122,0.5,29125.9999275,27.9998779297
8,5,145,1,1,60,0.707317073171,0.5,27651.9999504,24.0001678467
9,5,126,0,2,79,0.614634146341,0.0,27191.9999123,29.000043869
10,5,106,1,1,99,0.517073170732,0.5,27687.9999638,30.9998989105
1,8,130,1,2,75,0.634146341463,0.333333333333,35832.0000172,34.9998474121
2,8,121,2,1,84,0.590243902439,0.666666666667,35996.999979,39.0000343323
3,8,117,3,0,88,0.570731707317,1.0,37916.0001278,38.9997959137
4,8,129,1,2,76,0.629268292683,0.333333333333,37873.000145,36.0000133514
5,8,129,1,2,76,0.629268292683,0.333333333333,36777.0001888,36.0000133514
6,8,103,1,1,102,0.50243902439,0.5,36472.0001221,40.9998893738
7,8,127,1,1,78,0.619512195122,0.5,37238.9998436,36.0000133514
8,8,145,1,1,60,0.707317073171,0.5,35815.0000572,30.9998989105
9,8,126,0,2,79,0.614634146341,0.0,36411.9999409,36.0000133514
10,8,106,1,1,99,0.517073170732,0.5,36819.0000057,42.0000553131
1,11,130,1,2,75,0.634146341463,0.333333333333,44278.0001163,43.9999103546
2,11,121,2,1,84,0.590243902439,0.666666666667,44013.999939,47.000169754
3,11,117,3,0,88,0.570731707317,1.0,46674.0000248,50.0001907349
4,11,129,1,2,76,0.629268292683,0.333333333333,47022.0000744,43.9999103546
5,11,129,1,2,76,0.629268292683,0.333333333333,43843.0001736,43.9999103546
6,11,103,1,1,102,0.50243902439,0.5,45200.9999752,52.9999732971
7,11,127,1,1,78,0.619512195122,0.5,45660.0000858,44.9998378754
8,11,145,1,1,60,0.707317073171,0.5,44116.0001755,38.9997959137
9,11,126,0,2,79,0.614634146341,0.0,43512.0000839,43.9999103546
10,11,106,1,1,99,0.517073170732,0.5,45378.9999485,52.0000457764
1,14,130,1,2,75,0.634146341463,0.333333333333,52594.9997902,51.0001182556
2,14,121,2,1,84,0.590243902439,0.666666666667,52494.9998856,55.999994278
3,14,117,3,0,88,0.570731707317,1.0,55720.0000286,59.0000152588
4,14,129,1,2,76,0.629268292683,0.333333333333,56227.9999256,52.9999732971
5,14,129,1,2,76,0.629268292683,0.333333333333,51908.9999199,52.0000457764
6,14,103,1,1,102,0.50243902439,0.5,53983.9999676,65.9999847412
7,14,127,1,1,78,0.619512195122,0.5,54269.9999809,52.9999732971
8,14,145,1,1,60,0.707317073171,0.5,52536.0000134,45.0000762939
9,14,126,0,2,79,0.614634146341,0.0,51294.9998379,69.000005722
10,14,106,1,1,99,0.517073170732,0.5,54169.0001488,63.9998912811
1,17,130,1,2,75,0.634146341463,0.333333333333,62600.0001431,61.999797821
2,17,121,2,1,84,0.590243902439,0.666666666667,62157.9999924,64.9998188019
3,17,117,3,0,88,0.570731707317,1.0,66224.0002155,69.9999332428
4,17,129,1,2,76,0.629268292683,0.333333333333,66688.9998913,64.0001296997
5,17,129,1,2,76,0.629268292683,0.333333333333,61216.0000801,60.9998703003
6,17,103,1,1,102,0.50243902439,0.5,63914.9999619,75.0000476837
7,17,127,1,1,78,0.619512195122,0.5,64322.9999542,69.000005722
8,17,145,1,1,60,0.707317073171,0.5,61848.0000496,53.9999008179
9,17,126,0,2,79,0.614634146341,0.0,60490.9999371,65.0000572205
10,17,106,1,1,99,0.517073170732,0.5,64282.0000648,74.000120163
