Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,0,3,0,205,0.0,1.0,14026.9999504,44.0001487732
2,5,159,1,2,46,0.775609756098,0.333333333333,12918.9999104,22.0000743866
3,5,2,3,0,203,0.00975609756098,1.0,12128.000021,44.0001487732
4,5,148,0,3,57,0.721951219512,0.0,12159.0001583,23.0000019073
5,5,51,1,2,154,0.248780487805,0.333333333333,16322.0000267,37.0001792908
6,5,201,0,2,4,0.980487804878,0.0,14799.9999523,16.0000324249
7,5,157,0,2,48,0.765853658537,0.0,7404.99997139,22.0000743866
8,5,199,0,2,6,0.970731707317,0.0,9877.99978256,15.0001049042
9,5,199,0,2,6,0.970731707317,0.0,14852.9999256,16.0000324249
10,5,33,2,0,172,0.160975609756,1.0,13677.9999733,39.999961853
1,8,0,3,0,205,0.0,1.0,19728.9998531,65.0000572205
2,8,159,1,2,46,0.775609756098,0.333333333333,18365.9999371,26.0000228882
3,8,2,3,0,203,0.00975609756098,1.0,16608.0000401,63.9998912811
4,8,148,0,3,57,0.721951219512,0.0,16704.9999237,29.9999713898
5,8,51,1,2,154,0.248780487805,0.333333333333,23802.0000458,51.9998073578
6,8,201,0,2,4,0.980487804878,0.0,21121.0000515,16.0000324249
7,8,157,0,2,48,0.765853658537,0.0,8592.00000763,27.0001888275
8,8,199,0,2,6,0.970731707317,0.0,13000.0,17.0001983643
9,8,199,0,2,6,0.970731707317,0.0,21565.0000572,16.9999599457
10,8,33,2,0,172,0.160975609756,1.0,19451.9999027,59.0000152588
1,11,0,3,0,205,0.0,1.0,25765.0001049,85.9999656677
2,11,159,1,2,46,0.775609756098,0.333333333333,23222.9998112,32.9999923706
3,11,2,3,0,203,0.00975609756098,1.0,21259.9999905,83.9998722076
4,11,148,0,3,57,0.721951219512,0.0,21411.0000134,35.0000858307
5,11,51,1,2,154,0.248780487805,0.333333333333,31403.0001163,67.9998397827
6,11,201,0,2,4,0.980487804878,0.0,27791.0001278,16.9999599457
7,11,157,0,2,48,0.765853658537,0.0,9669.99983788,31.0001373291
8,11,199,0,2,6,0.970731707317,0.0,15847.9998112,16.9999599457
9,11,199,0,2,6,0.970731707317,0.0,28042.9999828,17.0001983643
10,11,33,2,0,172,0.160975609756,1.0,25102.9999256,75.0000476837
1,14,0,3,0,205,0.0,1.0,31763.0000114,107.999801636
2,14,159,1,2,46,0.775609756098,0.333333333333,28319.9999332,36.0000133514
3,14,2,3,0,203,0.00975609756098,1.0,25865.0000095,106.999874115
4,14,148,0,3,57,0.721951219512,0.0,25957.9999447,41.0001277924
5,14,51,1,2,154,0.248780487805,0.333333333333,39155.0002098,82.9999446869
6,14,201,0,2,4,0.980487804878,0.0,34182.9998493,16.9999599457
7,14,157,0,2,48,0.765853658537,0.0,10865.9999371,36.0000133514
8,14,199,0,2,6,0.970731707317,0.0,18824.9998093,17.0001983643
9,14,199,0,2,6,0.970731707317,0.0,34603.000164,17.9998874664
10,14,33,2,0,172,0.160975609756,1.0,30750.9999275,92.9999351501
1,17,0,3,0,205,0.0,1.0,38072.9999542,128.999948502
2,17,159,1,2,46,0.775609756098,0.333333333333,33965.0001526,40.9998893738
3,17,2,3,0,203,0.00975609756098,1.0,30914.9999619,128.999948502
4,17,148,0,3,57,0.721951219512,0.0,30935.0001812,46.0000038147
5,17,51,1,2,154,0.248780487805,0.333333333333,47466.0000801,99.9999046326
6,17,201,0,2,4,0.980487804878,0.0,41378.000021,17.9998874664
7,17,157,0,2,48,0.765853658537,0.0,12086.9998932,42.9999828339
8,17,199,0,2,6,0.970731707317,0.0,22226.0000706,18.9998149872
9,17,199,0,2,6,0.970731707317,0.0,41670.0000763,19.0000534058
10,17,33,2,0,172,0.160975609756,1.0,37162.0001793,110.999822617
