Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,165,1,2,40,0.80487804878,0.333333333333,82783.9999199,39.0000343323
2,5,185,1,2,20,0.90243902439,0.333333333333,86042.9999828,27.9998779297
3,5,200,1,2,5,0.975609756098,0.333333333333,83780.9998989,27.0001888275
4,5,150,2,1,55,0.731707317073,0.666666666667,81505.0001144,37.9998683929
5,5,180,1,2,25,0.878048780488,0.333333333333,80638.0000114,32.9999923706
6,5,184,0,2,21,0.89756097561,0.0,85764.0001774,28.9998054504
7,5,202,0,2,3,0.985365853659,0.0,84684.0000153,27.9998779297
8,5,177,1,1,28,0.863414634146,0.5,83305.0000668,29.9999713898
9,5,165,1,1,40,0.80487804878,0.5,83853.9998531,32.9999923706
10,5,173,0,2,32,0.843902439024,0.0,82496.0000515,31.9998264313
1,8,165,1,2,40,0.80487804878,0.333333333333,121590.999842,47.000169754
2,8,185,1,2,20,0.90243902439,0.333333333333,127230.999947,32.0000648499
3,8,200,1,2,5,0.975609756098,0.333333333333,123806.999922,29.000043869
4,8,150,2,1,55,0.731707317073,0.666666666667,120167.999983,49.0000247955
5,8,180,1,2,25,0.878048780488,0.333333333333,118483.00004,39.999961853
6,8,184,0,2,21,0.89756097561,0.0,126850.000143,32.9999923706
7,8,202,0,2,3,0.985365853659,0.0,125552.999973,27.0001888275
8,8,177,1,1,28,0.863414634146,0.5,123334.000111,36.0000133514
9,8,165,1,1,40,0.80487804878,0.5,123930.000067,42.0000553131
10,8,173,0,2,32,0.843902439024,0.0,121299.999952,39.0000343323
1,11,165,1,2,40,0.80487804878,0.333333333333,161255.000114,57.9998493195
2,11,185,1,2,20,0.90243902439,0.333333333333,168840.999842,36.9999408722
3,11,200,1,2,5,0.975609756098,0.333333333333,163753.000021,30.9998989105
4,11,150,2,1,55,0.731707317073,0.666666666667,159029.999971,59.9999427795
5,11,180,1,2,25,0.878048780488,0.333333333333,157187.000036,46.9999313354
6,11,184,0,2,21,0.89756097561,0.0,168046.000004,36.9999408722
7,11,202,0,2,3,0.985365853659,0.0,166767.999887,28.0001163483
8,11,177,1,1,28,0.863414634146,0.5,163377.999783,42.0000553131
9,11,165,1,1,40,0.80487804878,0.5,164187.999964,49.0000247955
10,11,173,0,2,32,0.843902439024,0.0,160941.999912,46.0000038147
1,14,165,1,2,40,0.80487804878,0.333333333333,200384.99999,68.0000782013
2,14,185,1,2,20,0.90243902439,0.333333333333,210185.000181,40.9998893738
3,14,200,1,2,5,0.975609756098,0.333333333333,203893.000126,30.9998989105
4,14,150,2,1,55,0.731707317073,0.666666666667,197935.99987,72.0000267029
5,14,180,1,2,25,0.878048780488,0.333333333333,195000.0,52.0000457764
6,14,184,0,2,21,0.89756097561,0.0,209059.000015,41.0001277924
7,14,202,0,2,3,0.985365853659,0.0,207361.000061,28.0001163483
8,14,177,1,1,28,0.863414634146,0.5,203144.000053,49.0000247955
9,14,165,1,1,40,0.80487804878,0.5,204071.999788,58.000087738
10,14,173,0,2,32,0.843902439024,0.0,199532.999992,53.9999008179
1,17,165,1,2,40,0.80487804878,0.333333333333,239957.999945,77.999830246
2,17,185,1,2,20,0.90243902439,0.333333333333,251240.999937,45.0000762939
3,17,200,1,2,5,0.975609756098,0.333333333333,243969.99979,34.0001583099
4,17,150,2,1,55,0.731707317073,0.666666666667,236501.999855,82.0000171661
5,17,180,1,2,25,0.878048780488,0.333333333333,233610.000134,59.0000152588
6,17,184,0,2,21,0.89756097561,0.0,250782.999992,45.0000762939
7,17,202,0,2,3,0.985365853659,0.0,248065.000057,29.9999713898
8,17,177,1,1,28,0.863414634146,0.5,243297.999859,55.0000667572
9,17,165,1,1,40,0.80487804878,0.5,244809.999943,65.9999847412
10,17,173,0,2,32,0.843902439024,0.0,238950.000048,59.0000152588
