Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,99,3,0,106,0.482926829268,1.0,2.00009346008,0.0
2,5,130,2,1,75,0.634146341463,0.666666666667,1.00016593933,0.0
3,5,177,0,3,28,0.863414634146,0.0,0.999927520752,0.0
4,5,194,0,3,11,0.946341463415,0.0,1.00016593933,0.0
5,5,144,1,2,61,0.70243902439,0.333333333333,1.00016593933,0.0
6,5,140,2,0,65,0.682926829268,1.0,0.999927520752,0.0
7,5,155,1,1,50,0.756097560976,0.5,2.00009346008,0.0
8,5,159,0,2,46,0.775609756098,0.0,1.00016593933,0.0
9,5,0,2,0,205,0.0,1.0,1.9998550415,0.0
10,5,179,0,2,26,0.873170731707,0.0,1.00016593933,0.0
1,8,99,3,0,106,0.482926829268,1.0,0.999927520752,0.0
2,8,130,2,1,75,0.634146341463,0.666666666667,1.00016593933,0.999927520752
3,8,177,0,3,28,0.863414634146,0.0,1.00016593933,0.999927520752
4,8,194,0,3,11,0.946341463415,0.0,2.00009346008,0.0
5,8,144,1,2,61,0.70243902439,0.333333333333,1.9998550415,0.0
6,8,140,2,0,65,0.682926829268,1.0,2.00009346008,0.0
7,8,155,1,1,50,0.756097560976,0.5,0.999927520752,0.999927520752
8,8,159,0,2,46,0.775609756098,0.0,1.00016593933,0.0
9,8,0,2,0,205,0.0,1.0,1.9998550415,0.0
10,8,179,0,2,26,0.873170731707,0.0,1.9998550415,0.0
1,11,99,3,0,106,0.482926829268,1.0,1.00016593933,0.0
2,11,130,2,1,75,0.634146341463,0.666666666667,1.9998550415,0.0
3,11,177,0,3,28,0.863414634146,0.0,0.999927520752,0.0
4,11,194,0,3,11,0.946341463415,0.0,1.00016593933,0.0
5,11,144,1,2,61,0.70243902439,0.333333333333,1.9998550415,0.0
6,11,140,2,0,65,0.682926829268,1.0,1.9998550415,0.0
7,11,155,1,1,50,0.756097560976,0.5,0.999927520752,0.0
8,11,159,0,2,46,0.775609756098,0.0,0.999927520752,0.0
9,11,0,2,0,205,0.0,1.0,1.9998550415,0.0
10,11,179,0,2,26,0.873170731707,0.0,2.00009346008,0.0
1,14,99,3,0,106,0.482926829268,1.0,2.00009346008,0.0
2,14,130,2,1,75,0.634146341463,0.666666666667,0.999927520752,0.0
3,14,177,0,3,28,0.863414634146,0.0,2.00009346008,0.0
4,14,194,0,3,11,0.946341463415,0.0,1.9998550415,0.0
5,14,144,1,2,61,0.70243902439,0.333333333333,1.9998550415,0.0
6,14,140,2,0,65,0.682926829268,1.0,0.999927520752,0.0
7,14,155,1,1,50,0.756097560976,0.5,1.00016593933,0.0
8,14,159,0,2,46,0.775609756098,0.0,1.00016593933,0.0
9,14,0,2,0,205,0.0,1.0,0.999927520752,0.0
10,14,179,0,2,26,0.873170731707,0.0,0.999927520752,0.999927520752
1,17,99,3,0,106,0.482926829268,1.0,1.00016593933,0.999927520752
2,17,130,2,1,75,0.634146341463,0.666666666667,0.999927520752,0.999927520752
3,17,177,0,3,28,0.863414634146,0.0,0.999927520752,0.0
4,17,194,0,3,11,0.946341463415,0.0,2.00009346008,0.0
5,17,144,1,2,61,0.70243902439,0.333333333333,1.9998550415,0.0
6,17,140,2,0,65,0.682926829268,1.0,1.9998550415,0.0
7,17,155,1,1,50,0.756097560976,0.5,0.999927520752,0.0
8,17,159,0,2,46,0.775609756098,0.0,2.00009346008,0.0
9,17,0,2,0,205,0.0,1.0,1.9998550415,0.0
10,17,179,0,2,26,0.873170731707,0.0,2.00009346008,0.0
