Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,119,2,1,86,0.580487804878,0.666666666667,2.00009346008,0.0
2,5,136,2,1,69,0.663414634146,0.666666666667,2.00009346008,0.0
3,5,119,0,3,86,0.580487804878,0.0,0.999927520752,0.0
4,5,196,0,3,9,0.956097560976,0.0,0.999927520752,0.0
5,5,150,1,2,55,0.731707317073,0.333333333333,1.00016593933,0.0
6,5,141,2,0,64,0.687804878049,1.0,0.999927520752,0.0
7,5,154,0,2,51,0.751219512195,0.0,0.999927520752,0.0
8,5,165,0,2,40,0.80487804878,0.0,1.9998550415,0.0
9,5,0,2,0,205,0.0,1.0,1.00016593933,0.0
10,5,186,0,2,19,0.907317073171,0.0,2.00009346008,0.0
1,8,119,2,1,86,0.580487804878,0.666666666667,2.00009346008,0.0
2,8,136,2,1,69,0.663414634146,0.666666666667,2.00009346008,0.0
3,8,119,0,3,86,0.580487804878,0.0,2.00009346008,0.0
4,8,196,0,3,9,0.956097560976,0.0,0.999927520752,0.0
5,8,150,1,2,55,0.731707317073,0.333333333333,1.00016593933,0.0
6,8,141,2,0,64,0.687804878049,1.0,0.999927520752,0.0
7,8,154,0,2,51,0.751219512195,0.0,0.999927520752,0.0
8,8,165,0,2,40,0.80487804878,0.0,2.00009346008,0.0
9,8,0,2,0,205,0.0,1.0,2.00009346008,0.0
10,8,186,0,2,19,0.907317073171,0.0,1.9998550415,0.0
1,11,119,2,1,86,0.580487804878,0.666666666667,2.00009346008,0.0
2,11,136,2,1,69,0.663414634146,0.666666666667,0.999927520752,0.0
3,11,119,0,3,86,0.580487804878,0.0,1.00016593933,0.0
4,11,196,0,3,9,0.956097560976,0.0,0.999927520752,1.00016593933
5,11,150,1,2,55,0.731707317073,0.333333333333,2.00009346008,0.0
6,11,141,2,0,64,0.687804878049,1.0,0.999927520752,0.0
7,11,154,0,2,51,0.751219512195,0.0,1.9998550415,0.0
8,11,165,0,2,40,0.80487804878,0.0,0.999927520752,0.0
9,11,0,2,0,205,0.0,1.0,0.999927520752,0.0
10,11,186,0,2,19,0.907317073171,0.0,1.9998550415,0.0
1,14,119,2,1,86,0.580487804878,0.666666666667,2.00009346008,0.0
2,14,136,2,1,69,0.663414634146,0.666666666667,1.00016593933,0.0
3,14,119,0,3,86,0.580487804878,0.0,1.9998550415,0.0
4,14,196,0,3,9,0.956097560976,0.0,2.00009346008,0.0
5,14,150,1,2,55,0.731707317073,0.333333333333,2.00009346008,0.0
6,14,141,2,0,64,0.687804878049,1.0,1.9998550415,0.0
7,14,154,0,2,51,0.751219512195,0.0,2.00009346008,0.0
8,14,165,0,2,40,0.80487804878,0.0,0.999927520752,0.0
9,14,0,2,0,205,0.0,1.0,0.999927520752,0.0
10,14,186,0,2,19,0.907317073171,0.0,1.9998550415,0.0
1,17,119,2,1,86,0.580487804878,0.666666666667,2.00009346008,0.0
2,17,136,2,1,69,0.663414634146,0.666666666667,2.00009346008,0.0
3,17,119,0,3,86,0.580487804878,0.0,1.9998550415,0.0
4,17,196,0,3,9,0.956097560976,0.0,1.00016593933,0.0
5,17,150,1,2,55,0.731707317073,0.333333333333,1.9998550415,0.0
6,17,141,2,0,64,0.687804878049,1.0,0.999927520752,0.0
7,17,154,0,2,51,0.751219512195,0.0,1.9998550415,0.0
8,17,165,0,2,40,0.80487804878,0.0,0.999927520752,0.0
9,17,0,2,0,205,0.0,1.0,1.00016593933,0.0
10,17,186,0,2,19,0.907317073171,0.0,2.00009346008,0.0
