Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,130,1,2,75,0.634146341463,0.333333333333,1.9998550415,0.999927520752
2,5,121,2,1,84,0.590243902439,0.666666666667,1.9998550415,0.0
3,5,117,3,0,88,0.570731707317,1.0,2.00009346008,0.0
4,5,129,1,2,76,0.629268292683,0.333333333333,2.00009346008,0.0
5,5,129,1,2,76,0.629268292683,0.333333333333,2.00009346008,0.0
6,5,103,1,1,102,0.50243902439,0.5,2.00009346008,0.0
7,5,127,1,1,78,0.619512195122,0.5,1.9998550415,0.0
8,5,145,1,1,60,0.707317073171,0.5,2.00009346008,0.0
9,5,126,0,2,79,0.614634146341,0.0,69.000005722,0.0
10,5,106,1,1,99,0.517073170732,0.5,1.9998550415,0.0
1,8,130,1,2,75,0.634146341463,0.333333333333,2.99978256226,0.0
2,8,121,2,1,84,0.590243902439,0.666666666667,1.9998550415,0.0
3,8,117,3,0,88,0.570731707317,1.0,1.9998550415,0.0
4,8,129,1,2,76,0.629268292683,0.333333333333,2.00009346008,0.0
5,8,129,1,2,76,0.629268292683,0.333333333333,2.00009346008,0.0
6,8,103,1,1,102,0.50243902439,0.5,3.00002098083,0.0
7,8,127,1,1,78,0.619512195122,0.5,2.00009346008,0.0
8,8,145,1,1,60,0.707317073171,0.5,2.00009346008,0.999927520752
9,8,126,0,2,79,0.614634146341,0.0,2.00009346008,0.0
10,8,106,1,1,99,0.517073170732,0.5,2.00009346008,0.0
1,11,130,1,2,75,0.634146341463,0.333333333333,1.9998550415,0.0
2,11,121,2,1,84,0.590243902439,0.666666666667,2.00009346008,0.0
3,11,117,3,0,88,0.570731707317,1.0,1.9998550415,0.0
4,11,129,1,2,76,0.629268292683,0.333333333333,1.9998550415,0.0
5,11,129,1,2,76,0.629268292683,0.333333333333,2.00009346008,0.0
6,11,103,1,1,102,0.50243902439,0.5,3.00002098083,0.0
7,11,127,1,1,78,0.619512195122,0.5,1.9998550415,0.0
8,11,145,1,1,60,0.707317073171,0.5,1.9998550415,0.0
9,11,126,0,2,79,0.614634146341,0.0,1.9998550415,0.0
10,11,106,1,1,99,0.517073170732,0.5,2.00009346008,0.0
1,14,130,1,2,75,0.634146341463,0.333333333333,2.00009346008,0.0
2,14,121,2,1,84,0.590243902439,0.666666666667,1.9998550415,0.0
3,14,117,3,0,88,0.570731707317,1.0,2.00009346008,0.0
4,14,129,1,2,76,0.629268292683,0.333333333333,2.00009346008,0.999927520752
5,14,129,1,2,76,0.629268292683,0.333333333333,2.00009346008,0.0
6,14,103,1,1,102,0.50243902439,0.5,1.9998550415,0.0
7,14,127,1,1,78,0.619512195122,0.5,3.00002098083,0.0
8,14,145,1,1,60,0.707317073171,0.5,2.00009346008,0.0
9,14,126,0,2,79,0.614634146341,0.0,1.9998550415,0.0
10,14,106,1,1,99,0.517073170732,0.5,2.00009346008,0.0
1,17,130,1,2,75,0.634146341463,0.333333333333,3.00002098083,0.0
2,17,121,2,1,84,0.590243902439,0.666666666667,3.00002098083,0.0
3,17,117,3,0,88,0.570731707317,1.0,3.00002098083,0.0
4,17,129,1,2,76,0.629268292683,0.333333333333,3.00002098083,0.999927520752
5,17,129,1,2,76,0.629268292683,0.333333333333,1.9998550415,0.0
6,17,103,1,1,102,0.50243902439,0.5,2.00009346008,0.0
7,17,127,1,1,78,0.619512195122,0.5,3.00002098083,0.0
8,17,145,1,1,60,0.707317073171,0.5,1.9998550415,0.0
9,17,126,0,2,79,0.614634146341,0.0,3.00002098083,0.0
10,17,106,1,1,99,0.517073170732,0.5,1.9998550415,0.0
