Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,118,2,1,87,0.575609756098,0.666666666667,2.00009346008,0.0
2,5,138,2,1,67,0.673170731707,0.666666666667,2.00009346008,0.0
3,5,174,0,3,31,0.848780487805,0.0,0.999927520752,0.0
4,5,193,0,3,12,0.941463414634,0.0,1.9998550415,0.0
5,5,157,0,3,48,0.765853658537,0.0,1.9998550415,0.0
6,5,148,2,0,57,0.721951219512,1.0,2.00009346008,0.0
7,5,167,1,1,38,0.814634146341,0.5,2.00009346008,0.0
8,5,166,0,2,39,0.809756097561,0.0,2.00009346008,0.0
9,5,0,2,0,205,0.0,1.0,1.00016593933,0.0
10,5,184,0,2,21,0.89756097561,0.0,0.999927520752,0.0
1,8,118,2,1,87,0.575609756098,0.666666666667,0.999927520752,0.0
2,8,138,2,1,67,0.673170731707,0.666666666667,2.00009346008,0.0
3,8,174,0,3,31,0.848780487805,0.0,2.00009346008,0.0
4,8,193,0,3,12,0.941463414634,0.0,2.00009346008,0.0
5,8,157,0,3,48,0.765853658537,0.0,1.9998550415,0.0
6,8,148,2,0,57,0.721951219512,1.0,1.9998550415,0.0
7,8,167,1,1,38,0.814634146341,0.5,0.999927520752,0.999927520752
8,8,166,0,2,39,0.809756097561,0.0,0.999927520752,0.0
9,8,0,2,0,205,0.0,1.0,1.00016593933,0.0
10,8,184,0,2,21,0.89756097561,0.0,2.00009346008,0.0
1,11,118,2,1,87,0.575609756098,0.666666666667,1.00016593933,0.0
2,11,138,2,1,67,0.673170731707,0.666666666667,0.999927520752,0.0
3,11,174,0,3,31,0.848780487805,0.0,0.999927520752,0.999927520752
4,11,193,0,3,12,0.941463414634,0.0,0.999927520752,0.0
5,11,157,0,3,48,0.765853658537,0.0,1.9998550415,0.0
6,11,148,2,0,57,0.721951219512,1.0,2.00009346008,0.0
7,11,167,1,1,38,0.814634146341,0.5,2.00009346008,0.0
8,11,166,0,2,39,0.809756097561,0.0,1.9998550415,0.0
9,11,0,2,0,205,0.0,1.0,1.9998550415,0.0
10,11,184,0,2,21,0.89756097561,0.0,2.00009346008,0.0
1,14,118,2,1,87,0.575609756098,0.666666666667,2.00009346008,0.0
2,14,138,2,1,67,0.673170731707,0.666666666667,1.00016593933,0.0
3,14,174,0,3,31,0.848780487805,0.0,2.00009346008,0.0
4,14,193,0,3,12,0.941463414634,0.0,2.00009346008,0.0
5,14,157,0,3,48,0.765853658537,0.0,2.00009346008,0.0
6,14,148,2,0,57,0.721951219512,1.0,0.999927520752,0.999927520752
7,14,167,1,1,38,0.814634146341,0.5,2.00009346008,0.0
8,14,166,0,2,39,0.809756097561,0.0,2.00009346008,0.0
9,14,0,2,0,205,0.0,1.0,0.999927520752,0.0
10,14,184,0,2,21,0.89756097561,0.0,2.00009346008,0.0
1,17,118,2,1,87,0.575609756098,0.666666666667,3.00002098083,0.0
2,17,138,2,1,67,0.673170731707,0.666666666667,1.9998550415,0.0
3,17,174,0,3,31,0.848780487805,0.0,1.9998550415,0.0
4,17,193,0,3,12,0.941463414634,0.0,1.9998550415,0.0
5,17,157,0,3,48,0.765853658537,0.0,0.999927520752,0.0
6,17,148,2,0,57,0.721951219512,1.0,2.00009346008,0.0
7,17,167,1,1,38,0.814634146341,0.5,2.00009346008,0.0
8,17,166,0,2,39,0.809756097561,0.0,1.9998550415,0.0
9,17,0,2,0,205,0.0,1.0,2.00009346008,0.0
10,17,184,0,2,21,0.89756097561,0.0,1.9998550415,0.0
