Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,180,0,3,25,0.878048780488,0.0,170.000076294,3.99994850159
2,5,202,0,3,3,0.985365853659,0.0,180.999994278,5.00011444092
3,5,199,0,3,6,0.970731707317,0.0,177.999973297,3.99994850159
4,5,204,1,2,1,0.99512195122,0.333333333333,175.000190735,3.99994850159
5,5,202,0,3,3,0.985365853659,0.0,177.000045776,3.99994850159
6,5,200,0,2,5,0.975609756098,0.0,174.000024796,3.99994850159
7,5,193,0,2,12,0.941463414634,0.0,179.000139236,3.99994850159
8,5,175,0,2,30,0.853658536585,0.0,181.999921799,4.00018692017
9,5,201,0,2,4,0.980487804878,0.0,190.999984741,3.99994850159
10,5,196,0,2,9,0.956097560976,0.0,177.999973297,3.99994850159
1,8,180,0,3,25,0.878048780488,0.0,171.999931335,3.99994850159
2,8,202,0,3,3,0.985365853659,0.0,179.000139236,3.99994850159
3,8,199,0,3,6,0.970731707317,0.0,176.000118256,5.00011444092
4,8,204,1,2,1,0.99512195122,0.333333333333,174.999952316,3.99994850159
5,8,202,0,3,3,0.985365853659,0.0,178.999900818,3.99994850159
6,8,200,0,2,5,0.975609756098,0.0,174.999952316,3.99994850159
7,8,193,0,2,12,0.941463414634,0.0,174.000024796,4.99987602234
8,8,175,0,2,30,0.853658536585,0.0,180.999994278,3.99994850159
9,8,201,0,2,4,0.980487804878,0.0,177.999973297,3.99994850159
10,8,196,0,2,9,0.956097560976,0.0,174.999952316,3.99994850159
1,11,180,0,3,25,0.878048780488,0.0,172.999858856,4.00018692017
2,11,202,0,3,3,0.985365853659,0.0,180.999994278,3.99994850159
3,11,199,0,3,6,0.970731707317,0.0,176.999807358,5.00011444092
4,11,204,1,2,1,0.99512195122,0.333333333333,179.000139236,4.99987602234
5,11,202,0,3,3,0.985365853659,0.0,175.999879837,5.00011444092
6,11,200,0,2,5,0.975609756098,0.0,173.000097275,3.99994850159
7,11,193,0,2,12,0.941463414634,0.0,174.000024796,5.00011444092
8,11,175,0,2,30,0.853658536585,0.0,182.999849319,3.99994850159
9,11,201,0,2,4,0.980487804878,0.0,184.99994278,4.99987602234
10,11,196,0,2,9,0.956097560976,0.0,176.000118256,3.99994850159
1,14,180,0,3,25,0.878048780488,0.0,171.000003815,3.99994850159
2,14,202,0,3,3,0.985365853659,0.0,180.000066757,3.99994850159
3,14,199,0,3,6,0.970731707317,0.0,180.999994278,4.00018692017
4,14,204,1,2,1,0.99512195122,0.333333333333,176.000118256,3.99994850159
5,14,202,0,3,3,0.985365853659,0.0,177.000045776,3.99994850159
6,14,200,0,2,5,0.975609756098,0.0,174.999952316,3.99994850159
7,14,193,0,2,12,0.941463414634,0.0,174.000024796,3.99994850159
8,14,175,0,2,30,0.853658536585,0.0,182.999849319,4.00018692017
9,14,201,0,2,4,0.980487804878,0.0,178.000211716,3.99994850159
10,14,196,0,2,9,0.956097560976,0.0,174.999952316,3.99994850159
1,17,180,0,3,25,0.878048780488,0.0,171.999931335,3.99994850159
2,17,202,0,3,3,0.985365853659,0.0,180.999994278,4.00018692017
3,17,199,0,3,6,0.970731707317,0.0,176.000118256,3.99994850159
4,17,204,1,2,1,0.99512195122,0.333333333333,174.999952316,4.99987602234
5,17,202,0,3,3,0.985365853659,0.0,178.999900818,4.00018692017
6,17,200,0,2,5,0.975609756098,0.0,173.000097275,3.99994850159
7,17,193,0,2,12,0.941463414634,0.0,176.000118256,3.99994850159
8,17,175,0,2,30,0.853658536585,0.0,182.000160217,3.99994850159
9,17,201,0,2,4,0.980487804878,0.0,179.000139236,3.99994850159
10,17,196,0,2,9,0.956097560976,0.0,174.999952316,3.99994850159
