Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,193,33,0,5,0.974747474747,1.0,18352.9999256,21.0001468658
2,5,197,32,1,1,0.994949494949,0.969696969697,18576.9999027,21.0001468658
3,5,198,32,1,0,1.0,0.969696969697,19666.9998169,21.0001468658
4,5,198,32,1,0,1.0,0.969696969697,18243.999958,21.0001468658
5,5,197,33,0,1,0.994949494949,1.0,18813.9998913,20.9999084473
6,5,198,32,1,0,1.0,0.969696969697,18276.0000229,21.0001468658
7,5,198,32,1,0,1.0,0.969696969697,18460.0000381,19.9999809265
8,5,193,26,7,5,0.974747474747,0.787878787879,17840.0001526,20.9999084473
9,5,198,30,3,0,1.0,0.909090909091,18225.9998322,20.0002193451
10,5,194,31,1,3,0.984771573604,0.96875,18312.9999638,20.0002193451
1,8,193,33,0,5,0.974747474747,1.0,22388.999939,26.9999504089
2,8,197,32,1,1,0.994949494949,0.969696969697,23119.9998856,24.0001678467
3,8,198,32,1,0,1.0,0.969696969697,24768.999815,25.0000953674
4,8,198,32,1,0,1.0,0.969696969697,22259.9999905,25.0000953674
5,8,197,33,0,1,0.994949494949,1.0,23330.9998512,25.0000953674
6,8,198,32,1,0,1.0,0.969696969697,22366.9998646,23.9999294281
7,8,198,32,1,0,1.0,0.969696969697,22394.9999809,24.0001678467
8,8,193,26,7,5,0.974747474747,0.787878787879,21598.9999771,23.9999294281
9,8,198,30,3,0,1.0,0.909090909091,22200.9999752,23.9999294281
10,8,194,31,1,3,0.984771573604,0.96875,22407.0000648,23.9999294281
1,11,193,33,0,5,0.974747474747,1.0,26250.0,29.9999713898
2,11,197,32,1,1,0.994949494949,0.969696969697,26731.9998741,28.0001163483
3,11,198,32,1,0,1.0,0.969696969697,29621.999979,27.9998779297
4,11,198,32,1,0,1.0,0.969696969697,26169.0001488,27.9998779297
5,11,197,33,0,1,0.994949494949,1.0,27496.999979,29.000043869
6,11,198,32,1,0,1.0,0.969696969697,26065.9999847,27.9998779297
7,11,198,32,1,0,1.0,0.969696969697,26144.0000534,28.0001163483
8,11,193,26,7,5,0.974747474747,0.787878787879,25253.9999485,26.9999504089
9,11,198,30,3,0,1.0,0.909090909091,25973.9999771,26.0000228882
10,11,194,31,1,3,0.984771573604,0.96875,26180.0000668,29.000043869
1,14,193,33,0,5,0.974747474747,1.0,30346.0001945,35.9997749329
2,14,197,32,1,1,0.994949494949,0.969696969697,30976.9999981,31.9998264313
3,14,198,32,1,0,1.0,0.969696969697,34707.9999447,31.0001373291
4,14,198,32,1,0,1.0,0.969696969697,29963.0000591,30.9998989105
5,14,197,33,0,1,0.994949494949,1.0,31638.0000114,32.9999923706
6,14,198,32,1,0,1.0,0.969696969697,29980.0000191,31.9998264313
7,14,198,32,1,0,1.0,0.969696969697,30131.000042,30.9998989105
8,14,193,26,7,5,0.974747474747,0.787878787879,28804.0001392,30.9998989105
9,14,198,30,3,0,1.0,0.909090909091,29785.0000858,30.9998989105
10,14,194,31,1,3,0.984771573604,0.96875,30126.999855,32.0000648499
1,17,193,33,0,5,0.974747474747,1.0,34276.9999504,39.999961853
2,17,197,32,1,1,0.994949494949,0.969696969697,34917.0000553,36.0000133514
3,17,198,32,1,0,1.0,0.969696969697,39532.9999924,36.0000133514
4,17,198,32,1,0,1.0,0.969696969697,33898.9999294,36.0000133514
5,17,197,33,0,1,0.994949494949,1.0,35911.0000134,36.0000133514
6,17,198,32,1,0,1.0,0.969696969697,33931.9999218,35.0000858307
7,17,198,32,1,0,1.0,0.969696969697,33996.0000515,36.0000133514
8,17,193,26,7,5,0.974747474747,0.787878787879,32399.0001678,36.0000133514
9,17,198,30,3,0,1.0,0.909090909091,33503.000021,34.0001583099
10,17,194,31,1,3,0.984771573604,0.96875,33996.0000515,38.9997959137
