Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,194,33,0,4,0.979797979798,1.0,81482.0001125,20.9999084473
2,5,197,32,1,1,0.994949494949,0.969696969697,54785.0000858,20.9999084473
3,5,197,32,1,1,0.994949494949,0.969696969697,69890.0001049,19.9999809265
4,5,196,33,0,2,0.989898989899,1.0,66376.999855,19.9999809265
5,5,198,33,0,0,1.0,1.0,88674.9999523,19.9999809265
6,5,194,29,4,4,0.979797979798,0.878787878788,72904.0000439,20.9999084473
7,5,198,32,1,0,1.0,0.969696969697,67305.0000668,20.9999084473
8,5,184,29,4,14,0.929292929293,0.878787878788,66970.0000286,23.0000019073
9,5,197,33,0,1,0.994949494949,1.0,55836.9998932,21.0001468658
10,5,197,31,1,0,1.0,0.96875,58901.9999504,19.9999809265
1,8,194,33,0,4,0.979797979798,1.0,111582.000017,26.0000228882
2,8,197,32,1,1,0.994949494949,0.969696969697,65161.9999409,23.9999294281
3,8,197,32,1,1,0.994949494949,0.969696969697,91115.0000095,23.9999294281
4,8,196,33,0,2,0.989898989899,1.0,85875.0,25.0000953674
5,8,198,33,0,0,1.0,1.0,124224.999905,25.0000953674
6,8,194,29,4,4,0.979797979798,0.878787878788,96801.9998074,24.0001678467
7,8,198,32,1,0,1.0,0.969696969697,86753.000021,24.0001678467
8,8,184,29,4,14,0.929292929293,0.878787878788,86498.000145,27.9998779297
9,8,197,33,0,1,0.994949494949,1.0,66982.0001125,26.0000228882
10,8,197,31,1,0,1.0,0.96875,72560.0001812,23.9999294281
1,11,194,33,0,4,0.979797979798,1.0,141616.999865,29.9999713898
2,11,197,32,1,1,0.994949494949,0.969696969697,75999.0000725,27.9998779297
3,11,197,32,1,1,0.994949494949,0.969696969697,113365.00001,29.000043869
4,11,196,33,0,2,0.989898989899,1.0,105212.000132,28.9998054504
5,11,198,33,0,0,1.0,1.0,165567.000151,29.000043869
6,11,194,29,4,4,0.979797979798,0.878787878788,127128.000021,28.9998054504
7,11,198,32,1,0,1.0,0.969696969697,110916.000128,27.9998779297
8,11,184,29,4,14,0.929292929293,0.878787878788,107608.999968,32.0000648499
9,11,197,33,0,1,0.994949494949,1.0,79013.0000114,29.000043869
10,11,197,31,1,0,1.0,0.96875,86710.0000381,26.9999504089
1,14,194,33,0,4,0.979797979798,1.0,172739.000082,33.9999198914
2,14,197,32,1,1,0.994949494949,0.969696969697,86456.0000896,32.9999923706
3,14,197,32,1,1,0.994949494949,0.969696969697,134939.999819,32.0000648499
4,14,196,33,0,2,0.989898989899,1.0,124907.999992,32.9999923706
5,14,198,33,0,0,1.0,1.0,196467.999935,32.0000648499
6,14,194,29,4,4,0.979797979798,0.878787878788,145355.000019,32.9999923706
7,14,198,32,1,0,1.0,0.969696969697,126542.999983,33.9999198914
8,14,184,29,4,14,0.929292929293,0.878787878788,126543.99991,37.0001792908
9,14,197,33,0,1,0.994949494949,1.0,89569.0000057,32.9999923706
10,14,197,31,1,0,1.0,0.96875,100321.000099,32.0000648499
1,17,194,33,0,4,0.979797979798,1.0,202072.000027,37.9998683929
2,17,197,32,1,1,0.994949494949,0.969696969697,97119.9998856,36.9999408722
3,17,197,32,1,1,0.994949494949,0.969696969697,156513.999939,36.0000133514
4,17,196,33,0,2,0.989898989899,1.0,143503.000021,36.9999408722
5,17,198,33,0,0,1.0,1.0,231161.999941,36.0000133514
6,17,194,29,4,4,0.979797979798,0.878787878788,169447.999954,37.0001792908
7,17,198,32,1,0,1.0,0.969696969697,145860.000134,34.9998474121
8,17,184,29,4,14,0.929292929293,0.878787878788,145498.000145,41.9998168945
9,17,197,33,0,1,0.994949494949,1.0,100871.000051,36.9999408722
10,17,197,31,1,0,1.0,0.96875,114003.000021,35.0000858307
