Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,189,33,0,9,0.954545454545,1.0,23059.9999428,23.0000019073
2,5,190,32,1,8,0.959595959596,0.969696969697,23359.000206,23.0000019073
3,5,187,32,1,11,0.944444444444,0.969696969697,23182.9998493,23.0000019073
4,5,190,33,0,8,0.959595959596,1.0,22992.000103,22.0000743866
5,5,191,32,1,7,0.964646464646,0.969696969697,22865.0000095,23.0000019073
6,5,195,33,0,3,0.984848484848,1.0,23180.0000668,22.0000743866
7,5,191,32,1,7,0.964646464646,0.969696969697,22954.9999237,22.0000743866
8,5,191,33,0,7,0.964646464646,1.0,22812.9999638,23.0000019073
9,5,192,33,0,6,0.969696969697,1.0,23263.999939,23.0000019073
10,5,190,31,1,7,0.964467005076,0.96875,23282.9999924,35.9997749329
1,8,189,33,0,9,0.954545454545,1.0,29065.9999847,28.0001163483
2,8,190,32,1,8,0.959595959596,0.969696969697,29756.9999695,27.9998779297
3,8,187,32,1,11,0.944444444444,0.969696969697,28743.999958,27.9998779297
4,8,190,33,0,8,0.959595959596,1.0,29076.9999027,27.0001888275
5,8,191,32,1,7,0.964646464646,0.969696969697,28608.9999676,26.9999504089
6,8,195,33,0,3,0.984848484848,1.0,28838.0000591,26.9999504089
7,8,191,32,1,7,0.964646464646,0.969696969697,29222.0001221,26.9999504089
8,8,191,33,0,7,0.964646464646,1.0,28830.9998512,28.0001163483
9,8,192,33,0,6,0.969696969697,1.0,28984.9998951,29.9999713898
10,8,190,31,1,7,0.964467005076,0.96875,28788.9997959,26.0000228882
1,11,189,33,0,9,0.954545454545,1.0,33746.999979,34.0001583099
2,11,190,32,1,8,0.959595959596,0.969696969697,34129.999876,32.9999923706
3,11,187,32,1,11,0.944444444444,0.969696969697,33748.9998341,34.0001583099
4,11,190,33,0,8,0.959595959596,1.0,34151.9999504,32.9999923706
5,11,191,32,1,7,0.964646464646,0.969696969697,33973.0000496,32.0000648499
6,11,195,33,0,3,0.984848484848,1.0,34088.9999866,31.0001373291
7,11,191,32,1,7,0.964646464646,0.969696969697,34312.0000362,31.9998264313
8,11,191,33,0,7,0.964646464646,1.0,33935.0001812,36.0000133514
9,11,192,33,0,6,0.969696969697,1.0,34058.0000877,36.0000133514
10,11,190,31,1,7,0.964467005076,0.96875,33865.0000095,31.9998264313
1,14,189,33,0,9,0.954545454545,1.0,39475.0001431,39.0000343323
2,14,190,32,1,8,0.959595959596,0.969696969697,39625.9999275,37.0001792908
3,14,187,32,1,11,0.944444444444,0.969696969697,39395.9999084,39.0000343323
4,14,190,33,0,8,0.959595959596,1.0,39493.0000305,38.0001068115
5,14,191,32,1,7,0.964646464646,0.969696969697,39557.9998493,37.0001792908
6,14,195,33,0,3,0.984848484848,1.0,39690.9999847,35.0000858307
7,14,191,32,1,7,0.964646464646,0.969696969697,39904.9999714,36.9999408722
8,14,191,33,0,7,0.964646464646,1.0,39316.9999123,37.9998683929
9,14,192,33,0,6,0.969696969697,1.0,39460.9999657,36.9999408722
10,14,190,31,1,7,0.964467005076,0.96875,39370.000124,36.9999408722
1,17,189,33,0,9,0.954545454545,1.0,45694.0000057,45.0000762939
2,17,190,32,1,8,0.959595959596,0.969696969697,46148.0000019,43.9999103546
3,17,187,32,1,11,0.944444444444,0.969696969697,45632.0002079,44.9998378754
4,17,190,33,0,8,0.959595959596,1.0,45712.9998207,42.9999828339
5,17,191,32,1,7,0.964646464646,0.969696969697,45754.999876,42.0000553131
6,17,195,33,0,3,0.984848484848,1.0,46195.0001717,39.999961853
7,17,191,32,1,7,0.964646464646,0.969696969697,46070.9998608,42.0000553131
8,17,191,33,0,7,0.964646464646,1.0,45684.9999428,43.9999103546
9,17,192,33,0,6,0.969696969697,1.0,45623.9998341,45.0000762939
10,17,190,31,1,7,0.964467005076,0.96875,45884.9999905,42.0000553131
