Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,78,33,0,120,0.393939393939,1.0,8753.00002098,39.999961853
2,5,196,32,1,2,0.989898989899,0.969696969697,8618.00003052,21.0001468658
3,5,198,27,6,0,1.0,0.818181818182,8791.00012779,19.9999809265
4,5,198,31,2,0,1.0,0.939393939394,8376.99985504,21.0001468658
5,5,192,33,0,6,0.969696969697,1.0,8805.99999428,22.0000743866
6,5,197,27,6,1,0.994949494949,0.818181818182,8638.00001144,19.9999809265
7,5,196,26,7,2,0.989898989899,0.787878787879,8307.00016022,19.9999809265
8,5,187,26,7,11,0.944444444444,0.787878787879,8367.9997921,21.0001468658
9,5,197,33,0,1,0.994949494949,1.0,8446.99978828,21.0001468658
10,5,197,30,2,0,1.0,0.9375,8269.99998093,19.9999809265
1,8,78,33,0,120,0.393939393939,1.0,10891.0000324,58.000087738
2,8,196,32,1,2,0.989898989899,0.969696969697,10646.999836,25.0000953674
3,8,198,27,6,0,1.0,0.818181818182,10963.0000591,23.0000019073
4,8,198,31,2,0,1.0,0.939393939394,10228.000164,23.9999294281
5,8,192,33,0,6,0.969696969697,1.0,10845.0000286,26.0000228882
6,8,197,27,6,1,0.994949494949,0.818181818182,10485.9998226,23.0000019073
7,8,196,26,7,2,0.989898989899,0.787878787879,10051.0001183,23.0000019073
8,8,187,26,7,11,0.944444444444,0.787878787879,10307.9998493,25.0000953674
9,8,197,33,0,1,0.994949494949,1.0,10148.0000019,24.9998569489
10,8,197,30,2,0,1.0,0.9375,10031.0001373,23.0000019073
1,11,78,33,0,120,0.393939393939,1.0,13121.0000515,75.9999752045
2,11,196,32,1,2,0.989898989899,0.969696969697,12750.0,28.0001163483
3,11,198,27,6,0,1.0,0.818181818182,13208.9998722,27.0001888275
4,11,198,31,2,0,1.0,0.939393939394,12098.0000496,26.9999504089
5,11,192,33,0,6,0.969696969697,1.0,13118.0000305,31.0001373291
6,11,197,27,6,1,0.994949494949,0.818181818182,12528.0001163,26.9999504089
7,11,196,26,7,2,0.989898989899,0.787878787879,11923.0000973,26.9999504089
8,11,187,26,7,11,0.944444444444,0.787878787879,12139.9998665,31.0001373291
9,11,197,33,0,1,0.994949494949,1.0,12087.9998207,29.9999713898
10,11,197,30,2,0,1.0,0.9375,11860.0001335,26.0000228882
1,14,78,33,0,120,0.393939393939,1.0,15206.0000896,95.999956131
2,14,196,32,1,2,0.989898989899,0.969696969697,14802.9999733,32.9999923706
3,14,198,27,6,0,1.0,0.818181818182,15545.0000763,29.000043869
4,14,198,31,2,0,1.0,0.939393939394,13973.9999771,30.9998989105
5,14,192,33,0,6,0.969696969697,1.0,15197.0000267,34.9998474121
6,14,197,27,6,1,0.994949494949,0.818181818182,14574.9998093,30.0002098083
7,14,196,26,7,2,0.989898989899,0.787878787879,13677.9999733,31.0001373291
8,14,187,26,7,11,0.944444444444,0.787878787879,14033.9999199,33.9999198914
9,14,197,33,0,1,0.994949494949,1.0,13906.0001373,32.9999923706
10,14,197,30,2,0,1.0,0.9375,13680.9999943,30.0002098083
1,17,78,33,0,120,0.393939393939,1.0,17552.0000458,113.999843597
2,17,196,32,1,2,0.989898989899,0.969696969697,17211.9998932,36.9999408722
3,17,198,27,6,0,1.0,0.818181818182,17911.0000134,32.0000648499
4,17,198,31,2,0,1.0,0.939393939394,16085.9999657,35.0000858307
5,17,192,33,0,6,0.969696969697,1.0,17665.9998894,41.0001277924
6,17,197,27,6,1,0.994949494949,0.818181818182,16777.9998779,33.9999198914
7,17,196,26,7,2,0.989898989899,0.787878787879,15731.000185,33.9999198914
8,17,187,26,7,11,0.944444444444,0.787878787879,16108.9999676,39.0000343323
9,17,197,33,0,1,0.994949494949,1.0,15970.9999561,37.0001792908
10,17,197,30,2,0,1.0,0.9375,15676.0001183,34.9998474121
