Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,198,33,0,0,1.0,1.0,42893.0001259,24.9998569489
2,5,196,33,0,2,0.989898989899,1.0,40957.0000172,26.0000228882
3,5,197,33,0,1,0.994949494949,1.0,41439.0001297,25.9997844696
4,5,197,33,0,1,0.994949494949,1.0,33935.0001812,26.0000228882
5,5,198,33,0,0,1.0,1.0,42809.9999428,26.0000228882
6,5,197,33,0,1,0.994949494949,1.0,43144.9999809,26.0000228882
7,5,198,33,0,0,1.0,1.0,45032.9999924,26.0000228882
8,5,198,33,0,0,1.0,1.0,43933.0000877,26.0000228882
9,5,197,28,5,1,0.994949494949,0.848484848485,43253.000021,24.9998569489
10,5,195,32,0,2,0.989847715736,1.0,41988.9998436,26.0000228882
1,8,198,33,0,0,1.0,1.0,60105.9999466,30.9998989105
2,8,196,33,0,2,0.989898989899,1.0,57178.9999008,32.0000648499
3,8,197,33,0,1,0.994949494949,1.0,57999.0000725,30.9998989105
4,8,197,33,0,1,0.994949494949,1.0,45926.0001183,31.9998264313
5,8,198,33,0,0,1.0,1.0,59702.0001411,30.9998989105
6,8,197,33,0,1,0.994949494949,1.0,60401.0000229,30.9998989105
7,8,198,33,0,0,1.0,1.0,63292.9999828,31.0001373291
8,8,198,33,0,0,1.0,1.0,62224.0002155,31.9998264313
9,8,197,28,5,1,0.994949494949,0.848484848485,60782.0000648,29.9999713898
10,8,195,32,0,2,0.989847715736,1.0,58969.0001011,40.9998893738
1,11,198,33,0,0,1.0,1.0,77372.9999065,37.0001792908
2,11,196,33,0,2,0.989898989899,1.0,73485.0001335,36.9999408722
3,11,197,33,0,1,0.994949494949,1.0,75544.0001488,37.9998683929
4,11,197,33,0,1,0.994949494949,1.0,59990.0000095,38.0001068115
5,11,198,33,0,0,1.0,1.0,79542.9999828,36.9999408722
6,11,197,33,0,1,0.994949494949,1.0,80582.9999447,37.9998683929
7,11,198,33,0,0,1.0,1.0,84852.9999256,39.0000343323
8,11,198,33,0,0,1.0,1.0,82743.0000305,37.9998683929
9,11,197,28,5,1,0.994949494949,0.848484848485,80846.9998837,35.0000858307
10,11,195,32,0,2,0.989847715736,1.0,78201.9999027,38.0001068115
1,14,198,33,0,0,1.0,1.0,94859.9998951,42.0000553131
2,14,196,33,0,2,0.989898989899,1.0,89799.9999523,45.0000762939
3,14,197,33,0,1,0.994949494949,1.0,90988.0001545,42.9999828339
4,14,197,33,0,1,0.994949494949,1.0,69895.9999084,42.9999828339
5,14,198,33,0,0,1.0,1.0,94397.0000744,41.9998168945
6,14,197,33,0,1,0.994949494949,1.0,95557.0001602,41.9998168945
7,14,198,33,0,0,1.0,1.0,101023.999929,45.0000762939
8,14,198,33,0,0,1.0,1.0,97898.0000019,42.9999828339
9,14,197,28,5,1,0.994949494949,0.848484848485,95861.9999886,39.999961853
10,14,195,32,0,2,0.989847715736,1.0,92485.0001335,42.9999828339
1,17,198,33,0,0,1.0,1.0,111773.999929,48.0000972748
2,17,196,33,0,2,0.989898989899,1.0,105664.999962,48.0000972748
3,17,197,33,0,1,0.994949494949,1.0,107409.999847,48.0000972748
4,17,197,33,0,1,0.994949494949,1.0,81713.9999866,47.9998588562
5,17,198,33,0,0,1.0,1.0,111144.000053,46.9999313354
6,17,197,33,0,1,0.994949494949,1.0,113101.000071,46.9999313354
7,17,198,33,0,0,1.0,1.0,119129.999876,51.0001182556
8,17,198,33,0,0,1.0,1.0,115988.000154,47.9998588562
9,17,197,28,5,1,0.994949494949,0.848484848485,114226.999998,48.0000972748
10,17,195,32,0,2,0.989847715736,1.0,109607.999802,47.000169754
