Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,198,33,0,0,1.0,1.0,2.00009346008,0.0
2,5,193,32,1,5,0.974747474747,0.969696969697,2.00009346008,0.0
3,5,198,32,1,0,1.0,0.969696969697,2.00009346008,0.0
4,5,198,33,0,0,1.0,1.0,1.9998550415,0.0
5,5,197,33,0,1,0.994949494949,1.0,1.9998550415,0.0
6,5,187,33,0,11,0.944444444444,1.0,0.999927520752,1.00016593933
7,5,198,32,1,0,1.0,0.969696969697,1.9998550415,0.0
8,5,197,33,0,1,0.994949494949,1.0,2.00009346008,0.0
9,5,153,33,0,45,0.772727272727,1.0,1.9998550415,0.999927520752
10,5,197,31,1,0,1.0,0.96875,1.9998550415,0.0
1,8,198,33,0,0,1.0,1.0,2.00009346008,0.0
2,8,193,32,1,5,0.974747474747,0.969696969697,2.00009346008,0.0
3,8,198,32,1,0,1.0,0.969696969697,2.00009346008,0.0
4,8,198,33,0,0,1.0,1.0,2.00009346008,0.0
5,8,197,33,0,1,0.994949494949,1.0,2.00009346008,0.0
6,8,187,33,0,11,0.944444444444,1.0,1.9998550415,0.0
7,8,198,32,1,0,1.0,0.969696969697,0.999927520752,1.00016593933
8,8,197,33,0,1,0.994949494949,1.0,2.00009346008,0.0
9,8,153,33,0,45,0.772727272727,1.0,1.00016593933,0.999927520752
10,8,197,31,1,0,1.0,0.96875,2.00009346008,0.0
1,11,198,33,0,0,1.0,1.0,2.00009346008,0.0
2,11,193,32,1,5,0.974747474747,0.969696969697,2.00009346008,0.0
3,11,198,32,1,0,1.0,0.969696969697,1.9998550415,0.0
4,11,198,33,0,0,1.0,1.0,1.9998550415,0.0
5,11,197,33,0,1,0.994949494949,1.0,2.00009346008,0.0
6,11,187,33,0,11,0.944444444444,1.0,0.999927520752,0.999927520752
7,11,198,32,1,0,1.0,0.969696969697,1.9998550415,0.0
8,11,197,33,0,1,0.994949494949,1.0,2.00009346008,0.0
9,11,153,33,0,45,0.772727272727,1.0,1.9998550415,0.0
10,11,197,31,1,0,1.0,0.96875,1.00016593933,0.999927520752
1,14,198,33,0,0,1.0,1.0,1.9998550415,0.0
2,14,193,32,1,5,0.974747474747,0.969696969697,2.00009346008,0.999927520752
3,14,198,32,1,0,1.0,0.969696969697,2.00009346008,0.0
4,14,198,33,0,0,1.0,1.0,2.00009346008,0.0
5,14,197,33,0,1,0.994949494949,1.0,2.00009346008,0.0
6,14,187,33,0,11,0.944444444444,1.0,1.9998550415,0.0
7,14,198,32,1,0,1.0,0.969696969697,1.9998550415,0.0
8,14,197,33,0,1,0.994949494949,1.0,2.00009346008,0.0
9,14,153,33,0,45,0.772727272727,1.0,2.00009346008,0.0
10,14,197,31,1,0,1.0,0.96875,2.00009346008,0.0
1,17,198,33,0,0,1.0,1.0,1.9998550415,0.0
2,17,193,32,1,5,0.974747474747,0.969696969697,2.00009346008,0.999927520752
3,17,198,32,1,0,1.0,0.969696969697,2.00009346008,0.0
4,17,198,33,0,0,1.0,1.0,2.00009346008,0.999927520752
5,17,197,33,0,1,0.994949494949,1.0,2.00009346008,0.0
6,17,187,33,0,11,0.944444444444,1.0,2.00009346008,0.0
7,17,198,32,1,0,1.0,0.969696969697,1.9998550415,0.0
8,17,197,33,0,1,0.994949494949,1.0,1.9998550415,0.0
9,17,153,33,0,45,0.772727272727,1.0,2.00009346008,0.0
10,17,197,31,1,0,1.0,0.96875,1.9998550415,0.0
