Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,103,33,0,95,0.520202020202,1.0,0.999927520752,0.999927520752
2,5,192,32,1,6,0.969696969697,0.969696969697,2.00009346008,0.0
3,5,198,28,5,0,1.0,0.848484848485,2.00009346008,0.0
4,5,198,33,0,0,1.0,1.0,1.9998550415,0.0
5,5,197,33,0,1,0.994949494949,1.0,1.9998550415,0.0
6,5,78,33,0,120,0.393939393939,1.0,1.9998550415,0.0
7,5,198,22,11,0,1.0,0.666666666667,1.9998550415,0.0
8,5,198,33,0,0,1.0,1.0,2.00009346008,0.0
9,5,197,33,0,1,0.994949494949,1.0,2.00009346008,0.0
10,5,179,32,0,18,0.908629441624,1.0,2.00009346008,0.0
1,8,103,33,0,95,0.520202020202,1.0,0.999927520752,1.00016593933
2,8,192,32,1,6,0.969696969697,0.969696969697,2.00009346008,0.0
3,8,198,28,5,0,1.0,0.848484848485,2.00009346008,0.0
4,8,198,33,0,0,1.0,1.0,1.9998550415,0.0
5,8,197,33,0,1,0.994949494949,1.0,1.9998550415,0.0
6,8,78,33,0,120,0.393939393939,1.0,2.00009346008,0.0
7,8,198,22,11,0,1.0,0.666666666667,2.00009346008,0.0
8,8,198,33,0,0,1.0,1.0,0.999927520752,0.999927520752
9,8,197,33,0,1,0.994949494949,1.0,1.9998550415,0.0
10,8,179,32,0,18,0.908629441624,1.0,2.00009346008,0.0
1,11,103,33,0,95,0.520202020202,1.0,1.9998550415,0.0
2,11,192,32,1,6,0.969696969697,0.969696969697,1.9998550415,0.0
3,11,198,28,5,0,1.0,0.848484848485,1.9998550415,0.0
4,11,198,33,0,0,1.0,1.0,1.9998550415,0.0
5,11,197,33,0,1,0.994949494949,1.0,3.00002098083,0.0
6,11,78,33,0,120,0.393939393939,1.0,1.9998550415,0.0
7,11,198,22,11,0,1.0,0.666666666667,2.00009346008,0.0
8,11,198,33,0,0,1.0,1.0,2.00009346008,0.0
9,11,197,33,0,1,0.994949494949,1.0,1.9998550415,0.0
10,11,179,32,0,18,0.908629441624,1.0,1.9998550415,0.0
1,14,103,33,0,95,0.520202020202,1.0,0.999927520752,0.999927520752
2,14,192,32,1,6,0.969696969697,0.969696969697,2.00009346008,0.0
3,14,198,28,5,0,1.0,0.848484848485,0.999927520752,0.0
4,14,198,33,0,0,1.0,1.0,1.9998550415,0.0
5,14,197,33,0,1,0.994949494949,1.0,2.00009346008,0.0
6,14,78,33,0,120,0.393939393939,1.0,2.00009346008,0.0
7,14,198,22,11,0,1.0,0.666666666667,2.00009346008,0.0
8,14,198,33,0,0,1.0,1.0,1.9998550415,0.0
9,14,197,33,0,1,0.994949494949,1.0,0.999927520752,0.999927520752
10,14,179,32,0,18,0.908629441624,1.0,1.9998550415,0.0
1,17,103,33,0,95,0.520202020202,1.0,1.9998550415,0.0
2,17,192,32,1,6,0.969696969697,0.969696969697,0.999927520752,0.999927520752
3,17,198,28,5,0,1.0,0.848484848485,1.9998550415,0.0
4,17,198,33,0,0,1.0,1.0,1.9998550415,0.0
5,17,197,33,0,1,0.994949494949,1.0,1.9998550415,0.0
6,17,78,33,0,120,0.393939393939,1.0,1.9998550415,0.0
7,17,198,22,11,0,1.0,0.666666666667,1.9998550415,0.0
8,17,198,33,0,0,1.0,1.0,1.9998550415,0.0
9,17,197,33,0,1,0.994949494949,1.0,0.999927520752,0.0
10,17,179,32,0,18,0.908629441624,1.0,2.00009346008,0.0
