Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,189,33,0,9,0.954545454545,1.0,3.00002098083,0.0
2,5,190,32,1,8,0.959595959596,0.969696969697,3.00002098083,0.0
3,5,187,32,1,11,0.944444444444,0.969696969697,1.9998550415,0.0
4,5,189,33,0,9,0.954545454545,1.0,3.00002098083,0.0
5,5,191,32,1,7,0.964646464646,0.969696969697,2.00009346008,0.999927520752
6,5,195,33,0,3,0.984848484848,1.0,3.00002098083,0.0
7,5,193,32,1,5,0.974747474747,0.969696969697,3.00002098083,0.0
8,5,191,33,0,7,0.964646464646,1.0,3.00002098083,0.0
9,5,192,33,0,6,0.969696969697,1.0,3.00002098083,0.0
10,5,190,31,1,7,0.964467005076,0.96875,1.9998550415,1.00016593933
1,8,189,33,0,9,0.954545454545,1.0,2.00009346008,0.999927520752
2,8,190,32,1,8,0.959595959596,0.969696969697,3.00002098083,0.0
3,8,187,32,1,11,0.944444444444,0.969696969697,3.00002098083,0.0
4,8,189,33,0,9,0.954545454545,1.0,3.00002098083,0.0
5,8,191,32,1,7,0.964646464646,0.969696969697,3.00002098083,0.0
6,8,195,33,0,3,0.984848484848,1.0,3.00002098083,0.0
7,8,193,32,1,5,0.974747474747,0.969696969697,3.00002098083,0.0
8,8,191,33,0,7,0.964646464646,1.0,3.00002098083,0.0
9,8,192,33,0,6,0.969696969697,1.0,3.00002098083,0.0
10,8,190,31,1,7,0.964467005076,0.96875,2.99978256226,0.0
1,11,189,33,0,9,0.954545454545,1.0,3.00002098083,0.0
2,11,190,32,1,8,0.959595959596,0.969696969697,3.00002098083,0.0
3,11,187,32,1,11,0.944444444444,0.969696969697,3.00002098083,0.0
4,11,189,33,0,9,0.954545454545,1.0,3.00002098083,0.0
5,11,191,32,1,7,0.964646464646,0.969696969697,2.00009346008,0.0
6,11,195,33,0,3,0.984848484848,1.0,3.00002098083,0.0
7,11,193,32,1,5,0.974747474747,0.969696969697,2.99978256226,0.0
8,11,191,33,0,7,0.964646464646,1.0,3.99994850159,0.0
9,11,192,33,0,6,0.969696969697,1.0,3.00002098083,0.0
10,11,190,31,1,7,0.964467005076,0.96875,1.9998550415,1.00016593933
1,14,189,33,0,9,0.954545454545,1.0,3.00002098083,0.0
2,14,190,32,1,8,0.959595959596,0.969696969697,3.00002098083,0.0
3,14,187,32,1,11,0.944444444444,0.969696969697,3.00002098083,0.0
4,14,189,33,0,9,0.954545454545,1.0,3.00002098083,0.0
5,14,191,32,1,7,0.964646464646,0.969696969697,3.99994850159,0.0
6,14,195,33,0,3,0.984848484848,1.0,3.00002098083,0.0
7,14,193,32,1,5,0.974747474747,0.969696969697,3.00002098083,0.0
8,14,191,33,0,7,0.964646464646,1.0,3.00002098083,0.0
9,14,192,33,0,6,0.969696969697,1.0,3.00002098083,0.0
10,14,190,31,1,7,0.964467005076,0.96875,3.00002098083,0.0
1,17,189,33,0,9,0.954545454545,1.0,3.00002098083,0.0
2,17,190,32,1,8,0.959595959596,0.969696969697,4.00018692017,0.0
3,17,187,32,1,11,0.944444444444,0.969696969697,2.99978256226,0.0
4,17,189,33,0,9,0.954545454545,1.0,3.00002098083,0.0
5,17,191,32,1,7,0.964646464646,0.969696969697,2.99978256226,0.0
6,17,195,33,0,3,0.984848484848,1.0,3.00002098083,0.0
7,17,193,32,1,5,0.974747474747,0.969696969697,2.99978256226,0.0
8,17,191,33,0,7,0.964646464646,1.0,3.99994850159,0.0
9,17,192,33,0,6,0.969696969697,1.0,4.00018692017,0.0
10,17,190,31,1,7,0.964467005076,0.96875,3.00002098083,0.0
