Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,198,30,3,0,1.0,0.909090909091,1.9998550415,0.0
2,5,189,32,1,9,0.954545454545,0.969696969697,0.999927520752,0.0
3,5,181,32,1,17,0.914141414141,0.969696969697,2.00009346008,0.0
4,5,196,33,0,2,0.989898989899,1.0,2.00009346008,0.0
5,5,131,33,0,67,0.661616161616,1.0,2.00009346008,0.0
6,5,79,33,0,119,0.39898989899,1.0,1.9998550415,0.0
7,5,197,31,2,1,0.994949494949,0.939393939394,2.00009346008,0.0
8,5,194,26,7,4,0.979797979798,0.787878787879,2.00009346008,0.0
9,5,198,32,1,0,1.0,0.969696969697,1.9998550415,0.0
10,5,197,31,1,0,1.0,0.96875,2.00009346008,0.999927520752
1,8,198,30,3,0,1.0,0.909090909091,2.00009346008,0.0
2,8,189,32,1,9,0.954545454545,0.969696969697,2.00009346008,0.0
3,8,181,32,1,17,0.914141414141,0.969696969697,2.00009346008,0.0
4,8,196,33,0,2,0.989898989899,1.0,2.00009346008,0.0
5,8,131,33,0,67,0.661616161616,1.0,1.9998550415,0.0
6,8,79,33,0,119,0.39898989899,1.0,1.9998550415,0.0
7,8,197,31,2,1,0.994949494949,0.939393939394,1.9998550415,0.0
8,8,194,26,7,4,0.979797979798,0.787878787879,2.00009346008,0.0
9,8,198,32,1,0,1.0,0.969696969697,0.999927520752,0.999927520752
10,8,197,31,1,0,1.0,0.96875,2.00009346008,0.0
1,11,198,30,3,0,1.0,0.909090909091,1.9998550415,0.0
2,11,189,32,1,9,0.954545454545,0.969696969697,2.00009346008,0.0
3,11,181,32,1,17,0.914141414141,0.969696969697,1.9998550415,0.0
4,11,196,33,0,2,0.989898989899,1.0,1.9998550415,0.0
5,11,131,33,0,67,0.661616161616,1.0,1.9998550415,0.0
6,11,79,33,0,119,0.39898989899,1.0,2.00009346008,0.0
7,11,197,31,2,1,0.994949494949,0.939393939394,2.00009346008,0.0
8,11,194,26,7,4,0.979797979798,0.787878787879,1.9998550415,1.00016593933
9,11,198,32,1,0,1.0,0.969696969697,1.9998550415,0.0
10,11,197,31,1,0,1.0,0.96875,2.00009346008,0.0
1,14,198,30,3,0,1.0,0.909090909091,2.00009346008,0.0
2,14,189,32,1,9,0.954545454545,0.969696969697,2.00009346008,0.0
3,14,181,32,1,17,0.914141414141,0.969696969697,2.00009346008,0.0
4,14,196,33,0,2,0.989898989899,1.0,2.00009346008,0.0
5,14,131,33,0,67,0.661616161616,1.0,1.9998550415,0.0
6,14,79,33,0,119,0.39898989899,1.0,1.9998550415,0.0
7,14,197,31,2,1,0.994949494949,0.939393939394,2.00009346008,0.0
8,14,194,26,7,4,0.979797979798,0.787878787879,0.999927520752,0.999927520752
9,14,198,32,1,0,1.0,0.969696969697,2.00009346008,0.0
10,14,197,31,1,0,1.0,0.96875,2.00009346008,0.0
1,17,198,30,3,0,1.0,0.909090909091,1.9998550415,0.0
2,17,189,32,1,9,0.954545454545,0.969696969697,1.9998550415,0.0
3,17,181,32,1,17,0.914141414141,0.969696969697,2.00009346008,0.0
4,17,196,33,0,2,0.989898989899,1.0,2.00009346008,0.0
5,17,131,33,0,67,0.661616161616,1.0,0.999927520752,1.00016593933
6,17,79,33,0,119,0.39898989899,1.0,1.9998550415,0.0
7,17,197,31,2,1,0.994949494949,0.939393939394,2.00009346008,0.0
8,17,194,26,7,4,0.979797979798,0.787878787879,2.00009346008,0.0
9,17,198,32,1,0,1.0,0.969696969697,0.999927520752,0.999927520752
10,17,197,31,1,0,1.0,0.96875,1.9998550415,0.0
