Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,198,33,0,0,1.0,1.0,36.0000133514,0.999927520752
2,5,196,29,4,2,0.989898989899,0.878787878788,36.0000133514,0.0
3,5,197,33,0,1,0.994949494949,1.0,30.9998989105,0.999927520752
4,5,197,33,0,1,0.994949494949,1.0,32.9999923706,0.999927520752
5,5,198,33,0,0,1.0,1.0,59.9999427795,0.999927520752
6,5,197,33,0,1,0.994949494949,1.0,31.0001373291,0.999927520752
7,5,197,32,1,1,0.994949494949,0.969696969697,42.9999828339,1.00016593933
8,5,198,33,0,0,1.0,1.0,29.9999713898,1.00016593933
9,5,197,33,0,1,0.994949494949,1.0,44.0001487732,0.0
10,5,195,32,0,2,0.989847715736,1.0,34.9998474121,0.0
1,8,198,33,0,0,1.0,1.0,36.0000133514,0.0
2,8,196,29,4,2,0.989898989899,0.878787878788,36.0000133514,0.0
3,8,197,33,0,1,0.994949494949,1.0,30.9998989105,0.0
4,8,197,33,0,1,0.994949494949,1.0,34.9998474121,0.0
5,8,198,33,0,0,1.0,1.0,46.9999313354,0.0
6,8,197,33,0,1,0.994949494949,1.0,31.9998264313,0.0
7,8,197,32,1,1,0.994949494949,0.969696969697,44.0001487732,0.0
8,8,198,33,0,0,1.0,1.0,27.9998779297,0.0
9,8,197,33,0,1,0.994949494949,1.0,44.0001487732,0.999927520752
10,8,195,32,0,2,0.989847715736,1.0,35.0000858307,0.0
1,11,198,33,0,0,1.0,1.0,36.0000133514,0.999927520752
2,11,196,29,4,2,0.989898989899,0.878787878788,36.0000133514,0.0
3,11,197,33,0,1,0.994949494949,1.0,32.0000648499,0.999927520752
4,11,197,33,0,1,0.994949494949,1.0,34.0001583099,0.999927520752
5,11,198,33,0,0,1.0,1.0,49.0000247955,1.00016593933
6,11,197,33,0,1,0.994949494949,1.0,30.9998989105,0.999927520752
7,11,197,32,1,1,0.994949494949,0.969696969697,46.0000038147,0.0
8,11,198,33,0,0,1.0,1.0,28.9998054504,0.0
9,11,197,33,0,1,0.994949494949,1.0,45.0000762939,0.0
10,11,195,32,0,2,0.989847715736,1.0,36.0000133514,1.00016593933
1,14,198,33,0,0,1.0,1.0,41.0001277924,0.999927520752
2,14,196,29,4,2,0.989898989899,0.878787878788,36.0000133514,0.999927520752
3,14,197,33,0,1,0.994949494949,1.0,32.0000648499,0.0
4,14,197,33,0,1,0.994949494949,1.0,32.9999923706,0.999927520752
5,14,198,33,0,0,1.0,1.0,47.9998588562,0.0
6,14,197,33,0,1,0.994949494949,1.0,31.9998264313,0.0
7,14,197,32,1,1,0.994949494949,0.969696969697,43.9999103546,0.0
8,14,198,33,0,0,1.0,1.0,27.9998779297,0.0
9,14,197,33,0,1,0.994949494949,1.0,42.9999828339,1.00016593933
10,14,195,32,0,2,0.989847715736,1.0,34.0001583099,0.999927520752
1,17,198,33,0,0,1.0,1.0,36.0000133514,0.999927520752
2,17,196,29,4,2,0.989898989899,0.878787878788,36.9999408722,0.0
3,17,197,33,0,1,0.994949494949,1.0,31.0001373291,0.999927520752
4,17,197,33,0,1,0.994949494949,1.0,32.9999923706,0.999927520752
5,17,198,33,0,0,1.0,1.0,47.000169754,0.999927520752
6,17,197,33,0,1,0.994949494949,1.0,31.0001373291,0.999927520752
7,17,197,32,1,1,0.994949494949,0.969696969697,44.0001487732,0.0
8,17,198,33,0,0,1.0,1.0,26.9999504089,0.999927520752
9,17,197,33,0,1,0.994949494949,1.0,43.9999103546,0.0
10,17,195,32,0,2,0.989847715736,1.0,35.0000858307,0.0
