Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,167,13,0,4,0.976608187135,1.0,13928.9999008,16.0000324249
2,5,166,9,4,5,0.970760233918,0.692307692308,14388.999939,16.0000324249
3,5,166,12,1,5,0.970760233918,0.923076923077,14021.999836,16.0000324249
4,5,159,12,0,12,0.929824561404,1.0,16151.9999504,17.0001983643
5,5,148,12,0,23,0.865497076023,1.0,14061.0001087,17.9998874664
6,5,160,12,0,11,0.93567251462,1.0,14132.999897,16.9999599457
7,5,153,12,0,17,0.9,1.0,13969.0001011,16.9999599457
8,5,166,10,2,4,0.976470588235,0.833333333333,14940.0000572,14.9998664856
9,5,169,4,8,1,0.994117647059,0.333333333333,15519.0000534,13.9999389648
10,5,164,11,1,6,0.964705882353,0.916666666667,15601.0000706,15.0001049042
1,8,167,13,0,4,0.976608187135,1.0,15645.0002193,17.9998874664
2,8,166,9,4,5,0.970760233918,0.692307692308,16542.9999828,16.9999599457
3,8,166,12,1,5,0.970760233918,0.923076923077,15825.0000477,17.9998874664
4,8,159,12,0,12,0.929824561404,1.0,19725.0001431,19.9999809265
5,8,148,12,0,23,0.865497076023,1.0,16003.9999485,22.0000743866
6,8,160,12,0,11,0.93567251462,1.0,16062.0000362,19.0000534058
7,8,153,12,0,17,0.9,1.0,15851.9999981,21.0001468658
8,8,166,10,2,4,0.976470588235,0.833333333333,17377.0000935,16.9999599457
9,8,169,4,8,1,0.994117647059,0.333333333333,18496.0000515,14.9998664856
10,8,164,11,1,6,0.964705882353,0.916666666667,18622.9999065,16.9999599457
1,11,167,13,0,4,0.976608187135,1.0,17298.0000973,19.9999809265
2,11,166,9,4,5,0.970760233918,0.692307692308,18383.0001354,17.9998874664
3,11,166,12,1,5,0.970760233918,0.923076923077,17506.000042,18.9998149872
4,11,159,12,0,12,0.929824561404,1.0,22861.9999886,22.0000743866
5,11,148,12,0,23,0.865497076023,1.0,17771.999836,26.0000228882
6,11,160,12,0,11,0.93567251462,1.0,17682.0001602,20.9999084473
7,11,153,12,0,17,0.9,1.0,17573.9998817,23.0000019073
8,11,166,10,2,4,0.976470588235,0.833333333333,19778.0001163,17.9998874664
9,11,169,4,8,1,0.994117647059,0.333333333333,21178.9999008,16.0000324249
10,11,164,11,1,6,0.964705882353,0.916666666667,21449.0001202,19.0000534058
1,14,167,13,0,4,0.976608187135,1.0,18993.999958,22.0000743866
2,14,166,9,4,5,0.970760233918,0.692307692308,20565.9999847,18.9998149872
3,14,166,12,1,5,0.970760233918,0.923076923077,19216.0000801,20.9999084473
4,14,159,12,0,12,0.929824561404,1.0,26232.0001125,23.9999294281
5,14,148,12,0,23,0.865497076023,1.0,19599.9999046,28.0001163483
6,14,160,12,0,11,0.93567251462,1.0,19526.9999504,24.0001678467
7,14,153,12,0,17,0.9,1.0,19260.999918,26.0000228882
8,14,166,10,2,4,0.976470588235,0.833333333333,22110.9998226,19.9999809265
9,14,169,4,8,1,0.994117647059,0.333333333333,24042.0000553,16.0000324249
10,14,164,11,1,6,0.964705882353,0.916666666667,24486.9999886,20.9999084473
1,17,167,13,0,4,0.976608187135,1.0,20766.0000324,23.0000019073
2,17,166,9,4,5,0.970760233918,0.692307692308,22437.9999638,20.9999084473
3,17,166,12,1,5,0.970760233918,0.923076923077,20849.9999046,23.0000019073
4,17,159,12,0,12,0.929824561404,1.0,29539.9999619,26.9999504089
5,17,148,12,0,23,0.865497076023,1.0,21278.9998055,32.0000648499
6,17,160,12,0,11,0.93567251462,1.0,21394.0000534,26.0000228882
7,17,153,12,0,17,0.9,1.0,20882.999897,29.000043869
8,17,166,10,2,4,0.976470588235,0.833333333333,24444.9999332,20.9999084473
9,17,169,4,8,1,0.994117647059,0.333333333333,26799.0000248,16.0000324249
10,17,164,11,1,6,0.964705882353,0.916666666667,27230.0000191,23.0000019073
