Fold,Number_Of_Clusters,TP,TN,FP,FN,Senitivity,Specificity,Train Time,Prediction Time
1,5,130,13,0,41,0.760233918129,1.0,50407.0000648,20.9999084473
2,5,140,13,0,31,0.818713450292,1.0,54562.0000362,19.0000534058
3,5,135,12,1,36,0.789473684211,0.923076923077,63642.9998875,21.0001468658
4,5,129,12,0,42,0.754385964912,1.0,47121.999979,21.0001468658
5,5,138,12,0,33,0.80701754386,1.0,53796.0000038,19.9999809265
6,5,128,12,0,43,0.748538011696,1.0,58949.0001202,20.9999084473
7,5,170,0,12,0,1.0,0.0,52738.0001545,13.0000114441
8,5,143,12,0,27,0.841176470588,1.0,54596.9998837,19.0000534058
9,5,160,12,0,10,0.941176470588,1.0,43858.9999676,16.9999599457
10,5,164,11,1,6,0.964705882353,0.916666666667,44819.9999332,14.9998664856
1,8,130,13,0,41,0.760233918129,1.0,60509.0000629,26.0000228882
2,8,140,13,0,31,0.818713450292,1.0,68429.9998283,25.0000953674
3,8,135,12,1,36,0.789473684211,0.923076923077,84003.000021,24.9998569489
4,8,129,12,0,42,0.754385964912,1.0,55665.9998894,26.0000228882
5,8,138,12,0,33,0.80701754386,1.0,66261.9998455,24.0001678467
6,8,128,12,0,43,0.748538011696,1.0,75725.0001431,26.9999504089
7,8,170,0,12,0,1.0,0.0,65102.9999256,13.9999389648
8,8,143,12,0,27,0.841176470588,1.0,68182.9998493,23.0000019073
9,8,160,12,0,10,0.941176470588,1.0,49736.000061,19.0000534058
10,8,164,11,1,6,0.964705882353,0.916666666667,51447.0000267,18.000125885
1,11,130,13,0,41,0.760233918129,1.0,71151.0000229,32.0000648499
2,11,140,13,0,31,0.818713450292,1.0,82062.9999638,28.0001163483
3,11,135,12,1,36,0.789473684211,0.923076923077,104444.000006,30.9998989105
4,11,129,12,0,42,0.754385964912,1.0,63563.9998913,32.0000648499
5,11,138,12,0,33,0.80701754386,1.0,79430.0000668,29.9999713898
6,11,128,12,0,43,0.748538011696,1.0,92211.9998932,32.0000648499
7,11,170,0,12,0,1.0,0.0,76920.0000763,13.0000114441
8,11,143,12,0,27,0.841176470588,1.0,81342.0000076,28.0001163483
9,11,160,12,0,10,0.941176470588,1.0,55541.0001278,20.9999084473
10,11,164,11,1,6,0.964705882353,0.916666666667,58025.0000954,19.9999809265
1,14,130,13,0,41,0.760233918129,1.0,81194.0000057,38.0001068115
2,14,140,13,0,31,0.818713450292,1.0,95271.999836,32.9999923706
3,14,135,12,1,36,0.789473684211,0.923076923077,124070.999861,34.0001583099
4,14,129,12,0,42,0.754385964912,1.0,71447.0000267,38.0001068115
5,14,138,12,0,33,0.80701754386,1.0,91877.0000935,36.0000133514
6,14,128,12,0,43,0.748538011696,1.0,109161.000013,37.9998683929
7,14,170,0,12,0,1.0,0.0,89039.9999619,14.0001773834
8,14,143,12,0,27,0.841176470588,1.0,94269.9999809,31.0001373291
9,14,160,12,0,10,0.941176470588,1.0,61643.0001259,23.9999294281
10,14,164,11,1,6,0.964705882353,0.916666666667,64243.0000305,20.9999084473
1,17,130,13,0,41,0.760233918129,1.0,91558.0000877,43.9999103546
2,17,140,13,0,31,0.818713450292,1.0,108656.000137,37.9998683929
3,17,135,12,1,36,0.789473684211,0.923076923077,144590.000153,39.999961853
4,17,129,12,0,42,0.754385964912,1.0,79493.0000305,42.0000553131
5,17,138,12,0,33,0.80701754386,1.0,104664.000034,38.0001068115
6,17,128,12,0,43,0.748538011696,1.0,125470.999956,43.0002212524
7,17,170,0,12,0,1.0,0.0,101052.000046,13.9999389648
8,17,143,12,0,27,0.841176470588,1.0,107443.000078,34.9998474121
9,17,160,12,0,10,0.941176470588,1.0,67138.999939,23.9999294281
10,17,164,11,1,6,0.964705882353,0.916666666667,70528.9998055,22.0000743866
